Throws,xMLBAMID,Name,Team,Season,Age,AgeR,SeasonMin,SeasonMax,W,L,ERA,G,GS,QS,CG,ShO,SV,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GB,FB,LD,IFFB,Pitches,Balls,Strikes,RS,IFH,BU,BUH,K/9,BB/9,K/BB,H/9,HR/9,AVG,WHIP,BABIP,LOB%,FIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,TTO%,CFraming,Starting,Start-IP,Relieving,Relief-IP,RAR,WAR,Dollars,RA9-Wins,LOB-Wins,BIP-Wins,BS-Wins,tERA,xFIP,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,Games,WPA/LI,Clutch,FB%1,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,C+SwStr%,HLD,SD,MD,ERA-,FIP-,xFIP-,K%,BB%,K-BB%,SIERA,kwERA,RS/9,E-F,Pull,Cent,Oppo,Soft,Med,Hard,bipCount,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,K/9+,BB/9+,K/BB+,H/9+,HR/9+,AVG+,WHIP+,BABIP+,LOB%+,K%+,BB%+,LD%+,GB%+,FB%+,HRFB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,xERA,pb_o_CH,pb_s_CH,pb_c_CH,pb_o_CU,pb_s_CU,pb_c_CU,pb_o_FF,pb_s_FF,pb_c_FF,pb_o_SI,pb_s_SI,pb_c_SI,pb_o_SL,pb_s_SL,pb_c_SL,pb_o_KC,pb_s_KC,pb_c_KC,pb_o_FC,pb_s_FC,pb_c_FC,pb_o_FS,pb_s_FS,pb_c_FS,pb_overall,pb_stuff,pb_command,pb_xRV100,pb_ERA,sp_s_CH,sp_l_CH,sp_p_CH,sp_s_CU,sp_l_CU,sp_p_CU,sp_s_FF,sp_l_FF,sp_p_FF,sp_s_SI,sp_l_SI,sp_p_SI,sp_s_SL,sp_l_SL,sp_p_SL,sp_s_KC,sp_l_KC,sp_p_KC,sp_s_FC,sp_l_FC,sp_p_FC,sp_s_FS,sp_l_FS,sp_p_FS,sp_s_FO,sp_l_FO,sp_p_FO,sp_stuff,sp_location,sp_pitching,PPTV,CPTV,BPTV,DSV,DGV,BTV,rPPTV,rCPTV,rBPTV,rDSV,rDGV,rBTV,EBV,ESV,rFTeamV,rBTeamV,rTV,BReview,BOverturned,BCorrect%,wBReview,PReview,POverturned,PCorrect%,wPReview,CReview,COverturned,CCorrect%,wCReview,pfxFA%,pfxFT%,pfxFC%,pfxFS%,pfxFO%,pfxSI%,pfxSL%,pfxCU%,pfxKC%,pfxEP%,pfxCH%,pfxSC%,pfxKN%,pfxUN%,pfxSLO%,pfxST%,pfxCUO%,pfxCV%,pfxvFA,pfxvFT,pfxvFC,pfxvFS,pfxvFO,pfxvSI,pfxvSL,pfxvCU,pfxvKC,pfxvEP,pfxvCH,pfxvSC,pfxvKN,pfxvSLO,pfxvST,pfxvCUO,pfxvCV,pfxFA-X,pfxFT-X,pfxFC-X,pfxFS-X,pfxFO-X,pfxSI-X,pfxSL-X,pfxCU-X,pfxKC-X,pfxEP-X,pfxCH-X,pfxSC-X,pfxKN-X,pfxSLO-X,pfxST-X,pfxCUO-X,pfxCV-X,pfxFA-Z,pfxFT-Z,pfxFC-Z,pfxFS-Z,pfxFO-Z,pfxSI-Z,pfxSL-Z,pfxCU-Z,pfxKC-Z,pfxEP-Z,pfxCH-Z,pfxSC-Z,pfxKN-Z,pfxSLO-Z,pfxST-Z,pfxCUO-Z,pfxCV-Z,pfxwFA,pfxwFT,pfxwFC,pfxwFS,pfxwFO,pfxwSI,pfxwSL,pfxwCU,pfxwKC,pfxwEP,pfxwCH,pfxwSC,pfxwKN,pfxwSLO,pfxwST,pfxwCUO,pfxwCV,pfxwFA/C,pfxwFT/C,pfxwFC/C,pfxwFS/C,pfxwFO/C,pfxwSI/C,pfxwSL/C,pfxwCU/C,pfxwKC/C,pfxwEP/C,pfxwCH/C,pfxwSC/C,pfxwKN/C,pfxwSLO/C,pfxwST/C,pfxwCUO/C,pfxwCV/C,pfxaaFA,pfxaaFT,pfxaaFC,pfxaaFS,pfxaaFO,pfxaaSI,pfxaaSL,pfxaaCU,pfxaaKC,pfxaaEP,pfxaaCH,pfxaaSC,pfxaaKN,pfxaaSLO,pfxaaST,pfxaaCUO,pfxaaCV,pfxspFA,pfxspFT,pfxspFC,pfxspFS,pfxspFO,pfxspSI,pfxspSL,pfxspCU,pfxspKC,pfxspEP,pfxspCH,pfxspSC,pfxspKN,pfxspSLO,pfxspST,pfxspCUO,pfxspCV,pfxO-Swing%,pfxZ-Swing%,pfxSwing%,pfxO-Contact%,pfxZ-Contact%,pfxContact%,pfxZone%,pfxPace,AvgBatSpeed,FastSwing%,SwingLength,SquaredUpContact%,SquaredUpSwing%,BlastContact%,BlastSwing%,Swords,CompetitiveSwings,Tilt,AttackAngle,AttackDirection,IdealAttackAngle%,DepthInBox,DistanceOffPlate,scH-Swing%,scH-Contact%,scH-Zone%,scS-Swing%,scS-Contact%,scS-Zone%,scC-Swing%,scC-Contact%,scC-Zone%,scW-Swing%,scW-Contact%,scW-Zone%,scSI-Swing%,scSI-Contact%,scSI-Zone%,scSO-Swing%,scSO-Contact%,scSO-Zone%,scO-Swing%,scO-Contact%,scO-Zone%,scZ-Swing%,scZ-Contact%,scZ-Zone%,piCH%,piCS%,piCU%,piFA%,piFC%,piFS%,piKN%,piSB%,piSI%,piSL%,piXX%,pivCH,pivCS,pivCU,pivFA,pivFC,pivFS,pivKN,pivSB,pivSI,pivSL,pivXX,piCH-X,piCS-X,piCU-X,piFA-X,piFC-X,piFS-X,piKN-X,piSB-X,piSI-X,piSL-X,piXX-X,piCH-Z,piCS-Z,piCU-Z,piFA-Z,piFC-Z,piFS-Z,piKN-Z,piSB-Z,piSI-Z,piSL-Z,piXX-Z,piwCH,piwCS,piwCU,piwFA,piwFC,piwFS,piwKN,piwSB,piwSI,piwSL,piwXX,piwCH/C,piwCS/C,piwCU/C,piwFA/C,piwFC/C,piwFS/C,piwKN/C,piwSB/C,piwSI/C,piwSL/C,piwXX/C,piO-Swing%,piZ-Swing%,piSwing%,piO-Contact%,piZ-Contact%,piContact%,piZone%,piPace,Events,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Q,TG,TIP,PlayerNameRoute,PlayerName,positionDB,position,TeamName,TeamNameAbb,teamid,playerTeamId,playerid,EV90
R,114552.0,Pud Galvin,BUF,1884,27.0,27 - 27,1884,1884,46.0,22.0,1.994237884609021,72.0,72.0,,71.0,12.0,0.0,,636.1,,566.0,254.0,141.0,23.0,63.0,,0.0,16.0,0.0,369.0,,,,,,,,,,,,5.218962974615097,0.8910424590806264,5.85714286,8.00523860062912,0.32530121521991123,0.23978377678805227,0.9884756733010829,0.27585016501547627,0.62835121,2.876598833320874,,,,,,,,,,,,,,,120.93460845947266,10.744744300842285,,20.578975677490234,6.884274959564209,2.9499568939208984,9.83423137664795,,,,,,,,,,,,,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.60112632826711,79.67995992357811,,,,,,2.6910703305628494,,-0.8823609487118531,,,,,,,,,,,,,,107.62982438266762,43.74475489170227,246.0405309723149,88.6825659917894,90.316546985242,91.3963024048941,80.40921494563075,92.93288642192833,121.95233124490703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,5.58187,114.0,636.3333129882812,Pud Galvin,Pud Galvin,P,P,BUF,BUF,1015,,1004469,
R,115688.0,Guy Hecker,LOU,1884,28.0,28 - 28,1884,1884,52.0,20.0,1.7982106810367446,75.0,73.0,,72.0,6.0,0.0,,670.2,,526.0,230.0,134.0,4.0,56.0,,16.0,0.0,0.0,385.0,,,,,,,,,,,,5.166500837307065,0.7514910308810276,6.875,7.0586478972039375,0.053677930777216255,0.21759994188328552,0.8677932142316628,0.2573609093588758,0.62120189,2.5209657734974105,,,,,,,,,,,,,,,115.564208984375,10.433409690856934,,22.94442367553711,7.686859607696533,4.824155330657959,12.511014938354492,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.736956655140354,80.6566327704396,,,,,,2.620258658938873,,-0.7227550924606658,,,,,,,,,,,,,,116.40684813519329,48.211732661777425,241.44923262242065,81.52453736900547,27.549561521015665,85.54480517711724,76.44227384924267,89.41649438703796,123.30857494450709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,6.09697,110.0,670.6666870117188,Guy Hecker,Guy Hecker,P/1B,P/1B,LOU,LOU,1044,,1005573,
R,111672.0,Charlie Buffinton,BSN,1884,23.0,23 - 23,1884,1884,48.0,16.0,2.1465076660988074,67.0,67.0,,63.0,8.0,0.0,,587.0,,506.0,225.0,140.0,15.0,76.0,,0.0,24.0,0.0,417.0,,,,,,,,,,,,6.393526405451448,1.1652470187393527,5.48684211,7.7580919931856895,0.22998296422487224,0.23411402185681104,0.9914821124361158,0.2839233464790035,0.63636364,2.56930433936176,,,,,,,,,,,,,,,111.85694122314453,9.937081336975098,,18.485836029052734,6.863464832305908,1.6852895021438599,8.548754692077637,,,,,,,,,,,,,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.71779756559545,73.92109441348097,,,,,,2.377301792254596,,-0.42279667326295245,,,,,,,,,,,,,,131.85265493389286,57.20652781870119,230.48533693557712,85.94465942614046,63.85241192591008,89.23521109505373,80.65377878990067,95.65271099035483,123.50740825933171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,5.06034,116.0,587.0,Charlie Buffinton,Charlie Buffinton,P,P,BSN,BSN,16,,1001634,
R,120867.0,Charley Radbourn,PRO,1884,29.0,29 - 29,1884,1884,59.0,12.0,1.3791748113073918,75.0,73.0,,73.0,11.0,1.0,,678.2,,528.0,216.0,104.0,18.0,98.0,,0.0,34.0,0.0,441.0,,,,,,,,,,,,5.848231651793845,1.2996070337319654,4.5,7.001964426637528,0.23870333272627936,0.2162303785646088,0.9223968289299437,0.25720682719899773,0.68242344,2.7478637107852415,,,,,,,,,,,,,,,109.00023651123047,9.518434524536133,,26.455480575561523,10.817037582397461,6.12000846862793,16.93704605102539,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.245308030499665,81.54090863040399,,,,,,2.5856849059200693,,-1.3686888994778497,,,,,,,,,,,,,,120.6071299400532,63.80278578957468,189.03113965407195,77.56822792123207,66.27353282751362,82.41865789729455,75.03392029355952,86.6520158060734,132.4468354635533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,5.95322,114.0,678.6666870117188,Charley Radbourn,Old Hoss Radbourn,P,P,PRO,PRO,1064,,1010631,
L,122077.0,Dupee Shaw,- - -,1884,25.0,25 - 25,1884,1884,30.0,33.0,2.302453750638517,67.0,66.0,,60.0,5.0,0.0,,543.1,,446.0,281.0,139.0,9.0,109.0,,0.0,9.0,0.0,451.0,,,,,,,,,,,,7.470551377971016,1.8055212864719306,4.13761468,7.3877293006099185,0.14907973924997592,0.22545746862210583,1.0214722874535387,0.287840834267988,0.50516224,2.426529998637865,,,,,,,,,,,,,,,86.8131046295166,8.262848377227783,,10.41060882806778,0.013783097267150879,2.1339773489162326,2.1477603912353516,,,,,,,,,,,,,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.4053839161266,83.42491955744246,,,,,,2.239988940563447,,-0.1240762479993478,,,,,,,,,,,,,,135.60834370339413,102.97318859908219,121.28225043087137,81.63171576820352,47.68329887159174,85.77298115227849,85.40569671288203,94.25444790614131,104.3758021274041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4.87295,111.5,543.3333892822266,Dupee Shaw,Dupee Shaw,P,P,- - -,2 Tms,0,,1011821,
R,119489.0,Tony Mullane,TOL,1884,25.0,25 - 25,1884,1884,36.0,26.0,2.5238095238095237,67.0,65.0,,64.0,7.0,0.0,,567.0,,481.0,276.0,159.0,5.0,89.0,,32.0,0.0,0.0,325.0,,,,,,,,,,,,5.158730158730159,1.4126984126984128,3.65168539,7.634920634920635,0.07936507936507936,0.23125667086550578,1.0052910052910053,0.2720093260340355,0.54789916,2.8779403055786457,,,,,,,,,,,,,,,89.49172973632812,7.991611480712891,,11.139443397521973,1.1738524436950684,1.9739794731140137,3.147831916809082,,,,,,,,,,,,,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.3534103830785,88.13648722550406,,,,,,2.919536448041522,,-0.35413078176912194,,,,,,,,,,,,,,116.23176634783007,90.63133877311145,128.24678340630584,88.18025515304933,40.73318596544335,90.91365872565055,88.55419593557778,94.5058844994538,108.75798286702556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,5.20183,109.0,567.0,Tony Mullane,Tony Mullane,P,P,TOL,TOL,1079,,1009291,
R,113000.0,Hugh Daily,- - -,1884,,,1884,1884,28.0,28.0,2.4267642156338662,58.0,58.0,,56.0,5.0,0.0,,500.2,,446.0,228.0,135.0,11.0,72.0,,,0.0,0.0,483.0,,,,,,,,,,,,8.682423082601165,1.294274248338062,6.70833333,8.017309927205217,0.1977363434960928,0.24005855395779566,1.034620463949253,0.31894300209788856,0.5769996,2.0570912576976,,,,,,,,,,,,,,,79.37553286552429,7.716622412204742,,12.59119276329875,5.402585953474045,-0.5280156880617142,4.874570339918137,,,,,,,,,,,,,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0951301329392,82.05725178373503,,,,,,1.6506601577926419,,0.3696729579362663,,,,,,,,,,,,,,147.74966124487656,93.80930985461676,157.50000128720612,88.36844459326788,130.01970091958864,91.16069649916078,89.08663221851768,101.62710730511036,126.55795316677396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4.9085,102.0,500.66668701171875,Hugh Daily,Hugh Daily,P,P,- - -,2 Tms,0,,1002934,
R,118419.0,Bobby Mathews,PHA,1884,32.0,32 - 32,1884,1884,30.0,18.0,3.3227552609869297,49.0,49.0,,48.0,3.0,0.0,,430.2,,401.0,238.0,159.0,10.0,49.0,,12.0,0.0,0.0,286.0,,,,,,,,,,,,5.976779903410453,1.0239937596752173,5.83673469,8.380030563872698,0.20897831830106478,0.24822342941953202,1.0448915915053238,0.2963288439375446,0.5,2.668081536668862,,,,,,,,,,,,,,,81.23582458496094,7.402997970581055,,6.085931777954102,-0.5340078473091125,-0.7830586433410645,-1.3170664310455322,,,,,,,,,,,,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.82370356437976,80.40411277661129,,,,,,2.5098479228294326,,0.6546737243180676,,,,,,,,,,,,,,134.66331129376442,65.694081978479,204.985470930256,96.78597442556487,107.25564404649634,97.58378024512164,92.04253717441277,102.95536519771429,99.24999982252717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,3.98765,108.0,430.66668701171875,Bobby Mathews,Bobby Mathews,P,P,PHA,PHA,1060,,1008234,
R,123034.0,Charlie Sweeney,- - -,1884,21.0,21 - 21,1884,1884,41.0,15.0,1.701219512195122,60.0,56.0,,53.0,6.0,1.0,,492.0,,360.0,182.0,93.0,6.0,42.0,,0.0,10.0,0.0,337.0,,,,,,,,,,,,6.164634146341464,0.7682926829268293,8.02380952,6.585365853658536,0.10975609756097561,0.20601565718994647,0.8170731707317073,0.2520577596764547,0.55894309,2.314190144267509,,,,,,,,,,,,,,,79.0445785522461,7.291735649108887,,16.301803588867188,3.0996395349502563,5.910427808761597,9.010067224502563,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.38536379166719,80.54587271448466,,,,,,2.2279868615031755,,-0.6129706320723871,,,,,,,,,,,,,,114.46819385952762,43.27987347242115,252.35308364576446,72.74160187216216,44.3714718205513,78.35725721999827,68.5941694485291,82.25212097369482,115.41110406477195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4.3348,113.5,492.0,Charlie Sweeney,Charlie Sweeney,P/OF,P/OF,- - -,2 Tms,0,,1012774,
R,118032.0,Jack Lynch,NYM,1884,27.0,27 - 27,1884,1884,37.0,15.0,2.6673387096774195,55.0,54.0,,54.0,5.0,0.0,,496.0,,420.0,226.0,147.0,10.0,42.0,,10.0,0.0,0.0,292.0,,,,,,,,,,,,5.298387096774194,0.7620967741935484,6.95238095,7.620967741935484,0.1814516129032258,0.23093164423330695,0.9314516129032258,0.2703201645656416,0.5371179,2.6686682455001343,,,,,,,,,,,,,,,79.07254028320312,7.080710411071777,,10.50121021270752,1.439093828201294,1.9814057350158691,3.420499563217163,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.75424230420496,84.90599993280041,,,,,,2.6025987710440526,,-0.001329535822714778,,,,,,,,,,,,,,119.37838811173785,48.89214166235221,244.16684301951048,88.01910486447574,93.12788888067088,90.7858813940567,82.0498225881025,93.9190086707442,106.61790355485232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4.38938,113.0,496.0,Jack Lynch,Jack Lynch,P,P,NYM,NYM,1055,,1007864,
