Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR,Dol,Spd,wRC+,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB%.1,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,Def,wSB,UBR,Age Rng,Off,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xBA,xSLG,xwOBA,L-WAR
Brian Anderson,MIL,30,5,15,19,8,4,1,0,3,6,10,3,0,4,0,1,0,0,0,0,.533,4,7,1,0,78,30,48,0,0,0,15.8%,21.1%,0.75,.579,1.200,1.779,.667,.556,0.57,8.3%,33.3%,58.3%,0.0%,42.9%,0.0%,0.0%,.682,5.6,8,5.6,0.0,0.6,0.0,6.3,0.6,$5.0,1.9,341,0.51,-0.11,0.62,8.73,0.91,0.71,,0,0.73,-0.01,48.7%,92.2,19.2%,83.7,6.4%,88.4,12.8%,77.6,9.0%,85.6,3.8%,84.3,,,,,3.3,1.0,1.9,-0.2,-0.2,0.0,,8.81,6.38,37.60,-1.91,-2.30,0.00,,31.1%,69.7%,47.4%,57.1%,87.0%,75.7%,42.3%,52.6%,11.5%,0.0,28.2%,,6.4%,3.8%,,20.5%,19.2%,12.8%,,,9.0%,,,,92.4,,88.4,84.4,,91.7,83.0,78.3,,,85.3,,,-3.9,,0.4,-4.6,,-7.7,-1.0,4.1,,,-7.9,,,8.7,,4.2,2.6,,6.2,0.3,-6.2,,,2.4,,,2.6,,1.9,0.0,,0.8,0.8,0.0,,,-0.2,,,11.77,,37.60,0.00,,4.75,5.17,-0.09,,,-2.30,,,22.2%,69.0%,47.4%,50.0%,82.8%,75.7%,53.8%,18.7,-0.1,-0.1,0.0,30 - 30,5.7,0.1,0.1,25.0%,58.3%,16.7%,16.7%,33.3%,50.0%,52.6%,9.0%,,10.3%,29.5%,6.4%,3.8%,,,19.2%,21.8%,,85.8,,77.2,93.0,88.9,84.8,,,92.0,83.7,,-7.4,,3.3,-3.5,0.3,-4.2,,,-7.3,0.8,,0.7,,-9.7,7.5,2.9,1.2,,,4.9,-1.2,,-0.2,,-0.1,2.5,1.9,0.0,,,0.8,0.8,,-2.30,,-0.80,11.06,37.60,0.00,,,5.37,4.88,,24.3%,68.3%,47.4%,44.4%,85.7%,75.7%,52.6%,18.7,,211,178,93,179,287,405,185,40,76,167,304,59,180,66,94,64,164,95.2,14.1,4,33.3%,108.8,8,66.7%,12,14.1%,25.6%,.330,.647,.527,0.6
Nolan Gorman,STL,23,4,12,17,6,4,0,0,2,3,6,5,1,4,0,0,0,0,0,0,.500,5,2,1,0,69,34,35,0,0,0,29.4%,23.5%,1.25,.647,1.000,1.647,.500,.667,2.50,12.5%,62.5%,25.0%,0.0%,100.0%,0.0%,0.0%,.649,4.6,7,4.7,,0.5,-0.4,5.1,0.5,$4.1,0.2,323,0.58,-0.07,0.64,7.13,0.78,0.70,,0,0.68,0.13,66.7%,92.9,1.4%,85.0,5.8%,88.0,7.2%,78.0,8.7%,84.5,10.1%,84.9,,,1.4%,,1.6,0.0,1.3,1.5,-0.1,0.2,,3.47,-4.42,33.57,29.54,-1.54,2.29,,17.4%,65.2%,33.3%,75.0%,66.7%,69.6%,33.3%,64.7%,10.1%,0.3,63.8%,,5.8%,10.1%,,2.9%,1.4%,7.2%,,,8.7%,,,,92.8,,87.9,84.8,,93.1,84.9,78.1,,,84.3,,,-5.9,,3.6,-7.7,,-9.4,2.3,3.0,,,-8.6,,,8.7,,5.8,3.0,,7.0,-1.8,-3.5,,,3.5,,,1.4,,1.3,0.2,,0.2,0.0,1.5,,,-0.1,,,3.21,,33.57,2.29,,9.28,-4.42,29.54,,,-1.54,,,15.0%,58.6%,33.3%,66.7%,70.6%,69.6%,42.0%,17.8,-0.4,-0.1,0.3,23 - 23,5.0,0.1,0.1,50.0%,37.5%,12.5%,12.5%,25.0%,62.5%,64.7%,8.7%,,2.9%,63.8%,5.8%,10.1%,,,2.9%,5.8%,,84.4,,75.4,92.9,88.2,85.0,,,92.9,81.5,,-8.7,,6.7,-5.7,3.6,-7.7,,,-9.0,0.9,,2.2,,-7.2,7.9,4.8,1.7,,,5.9,-3.4,,-0.1,,1.5,1.4,1.3,0.2,,,0.2,0.0,,-1.54,,74.10,3.21,33.57,2.29,,,9.28,-1.23,,13.5%,56.3%,33.3%,60.0%,72.2%,69.6%,46.4%,17.8,,198,332,104,200,240,303,221,60,142,72,710,118,116,49,71,48,204,90.9,7.3,2,25.0%,105.2,3,37.5%,8,17.4%,27.5%,.346,.831,.544,0.5
Adam Duvall,BOS,34,5,21,24,10,4,3,1,2,7,9,2,0,4,1,0,0,0,0,0,.476,2,8,7,2,98,38,60,1,0,0,8.3%,16.7%,0.50,.542,1.000,1.542,.524,.533,0.25,41.2%,11.8%,47.1%,25.0%,25.0%,50.0%,0.0%,.627,6.0,9,5.9,-0.2,0.7,0.1,7.0,0.7,$5.6,5.1,307,1.10,-0.65,1.75,6.36,0.63,1.63,,0,0.64,0.03,41.8%,95.1,33.7%,84.7,5.1%,90.0,12.2%,81.8,6.1%,84.5,1.0%,87.0,,,,,3.3,0.5,1.5,0.1,0.8,-0.2,,7.95,1.56,30.70,0.97,13.21,-16.91,,25.0%,69.0%,43.9%,71.4%,93.1%,86.0%,42.9%,58.3%,6.1%,0.4,33.7%,,5.1%,1.0%,,8.2%,31.6%,11.2%,3.1%,,6.1%,,,,95.1,,90.0,87.0,,94.6,85.2,79.4,85.5,,84.5,,,-1.2,,1.2,-3.8,,-6.5,0.9,1.0,-0.1,,0.0,,,10.2,,5.7,3.5,,6.1,1.5,-2.6,-5.4,,7.2,,,3.0,,1.5,-0.2,,0.1,0.5,0.1,0.1,,0.8,,,9.14,,30.70,-16.91,,1.18,1.58,0.62,3.17,,13.21,,,21.7%,63.5%,43.9%,80.0%,87.9%,86.0%,53.1%,20.6,-0.1,-0.1,0.4,34 - 34,6.4,0.0,0.1,76.5%,11.8%,11.8%,35.3%,29.4%,35.3%,33.3%,6.1%,,13.3%,30.6%,5.1%,1.0%,,,11.2%,32.7%,,85.1,,82.2,95.6,90.6,88.3,,,95.8,85.2,,0.3,,3.6,-0.1,2.5,-2.6,,,-5.8,1.3,,5.1,,-4.8,8.7,4.1,1.3,,,6.0,-0.2,,0.8,,0.2,3.1,1.5,-0.2,,,0.0,0.4,,13.21,,1.84,10.26,30.70,-16.91,,,0.30,1.29,,17.8%,66.0%,43.9%,75.0%,85.7%,83.7%,54.1%,20.6,,192,94,76,168,245,325,182,223,27,123,203,189,34,48,211,58,109,88.9,25.6,5,29.4%,108.6,8,47.1%,17,17.3%,23.5%,.438,1.003,.620,0.7
Matt Chapman,TOR,30,5,19,21,11,6,5,0,0,4,3,2,0,4,0,0,0,0,0,1,.579,7,5,3,0,85,31,54,0,0,0,9.5%,19.0%,0.50,.619,.842,1.461,.263,.733,1.40,20.0%,46.7%,33.3%,0.0%,0.0%,0.0%,0.0%,.618,5.1,8,5.2,-0.3,0.7,0.1,6.2,0.6,$5.0,2.6,307,0.20,-0.32,0.52,4.75,0.49,1.07,,0,0.43,-0.25,56.5%,94.5,15.3%,83.2,4.7%,86.3,14.1%,79.3,9.4%,83.8,,,,,,,3.3,1.0,-0.1,-0.6,1.0,,,6.87,7.91,-1.62,-4.94,13.02,,,26.7%,62.5%,43.5%,58.3%,96.0%,83.8%,47.1%,61.9%,7.1%,0.6,34.1%,,4.7%,,,22.4%,16.5%,11.8%,1.2%,,9.4%,,,,93.8,,86.2,,,95.3,83.5,78.8,76.7,,83.7,,,1.2,,1.7,,,-2.9,4.6,-1.4,7.9,,8.1,,,8.2,,3.6,,,5.6,-0.2,-7.6,-5.9,,3.7,,,2.0,,-0.1,,,1.3,1.0,-0.5,-0.1,,1.0,,,7.06,,-1.62,,,6.59,7.45,-5.48,-5.98,,13.02,,,24.4%,61.4%,43.5%,50.0%,96.3%,83.8%,51.8%,19.3,-0.3,-0.5,0.9,30 - 30,5.8,0.0,0.2,26.7%,40.0%,33.3%,0.0%,40.0%,60.0%,28.6%,9.4%,,12.9%,35.3%,3.5%,,,,21.2%,17.6%,,83.6,,78.6,93.5,85.9,,,,96.0,83.9,,7.6,,-1.2,1.8,0.0,,,,-4.7,4.9,,2.6,,-9.1,7.3,4.1,,,,4.5,-1.6,,1.0,,-0.6,2.0,0.0,,,,1.3,1.0,,13.02,,-5.53,6.53,-0.17,,,,7.44,6.55,,25.0%,60.0%,43.5%,50.0%,96.3%,83.8%,52.9%,19.3,,234,107,87,192,206,163,251,108,108,87,0,66,115,135,0,79,185,98.8,9.8,3,20.0%,112.8,11,73.3%,15,20.0%,27.1%,.377,.583,.448,0.7
Bryan Reynolds,PIT,28,5,21,22,9,4,1,0,4,5,6,1,0,4,0,0,0,0,0,0,.429,6,10,1,1,80,31,49,0,0,0,4.5%,18.2%,0.25,.455,1.048,1.502,.619,.385,0.60,5.9%,35.3%,58.8%,10.0%,40.0%,0.0%,0.0%,.617,5.4,8,5.3,-0.2,0.7,-0.1,6.0,0.6,$4.8,0.6,297,0.34,-0.32,0.66,3.89,0.38,1.01,,0,0.58,-0.24,35.0%,94.6,20.0%,85.4,15.0%,90.6,12.5%,80.4,15.0%,84.6,2.5%,83.0,,,,,0.9,1.4,2.7,1.1,-0.7,0.1,,3.11,8.45,22.40,11.05,-5.73,5.82,,31.3%,81.3%,51.3%,53.3%,88.5%,75.6%,40.0%,59.1%,12.5%,0.3,28.8%,,15.0%,2.5%,,6.3%,21.3%,11.3%,,,15.0%,,,,94.3,,90.3,82.7,,96.2,86.3,78.1,,,84.5,,,-2.5,,2.1,-6.4,,-6.6,4.2,-2.5,,,-1.3,,,9.6,,4.3,3.1,,5.3,2.1,-3.0,,,2.2,,,0.3,,2.7,0.1,,0.5,1.5,1.0,,,-0.7,,,1.46,,22.40,5.82,,10.72,8.77,10.73,,,-5.99,,,22.5%,80.0%,51.3%,33.3%,87.5%,75.6%,50.0%,19.0,-0.3,0.0,0.2,28 - 28,5.6,0.1,0.1,23.5%,47.1%,29.4%,17.6%,41.2%,41.2%,40.9%,13.8%,,5.0%,26.3%,16.3%,5.0%,,,6.3%,26.3%,1.3%,86.2,,78.3,94.4,90.4,82.0,,,96.8,84.4,100.1,-1.0,,3.3,-2.9,3.0,-5.0,,,-1.8,2.1,0.0,0.7,,-8.5,8.4,2.5,0.3,,,4.4,0.3,0.0,-0.9,,1.3,0.4,2.7,0.2,,,0.5,1.2,0.0,-7.73,,31.32,1.72,20.79,4.70,,,10.53,5.66,4.26,25.0%,79.5%,51.9%,50.0%,83.9%,75.6%,49.4%,19.0,,170,51,80,140,251,376,128,28,80,168,284,56,145,116,100,80,135,93.4,19.1,6,35.3%,109.0,9,52.9%,17,10.0%,22.5%,.341,.891,.524,0.6
Will Smith,LAD,28,5,19,23,8,3,2,0,3,5,10,3,0,2,0,1,0,0,0,0,.421,5,9,4,0,95,37,58,0,0,0,13.0%,8.7%,1.50,.478,1.000,1.478,.579,.333,0.56,22.2%,27.8%,50.0%,0.0%,33.3%,0.0%,0.0%,.579,4.9,8,4.9,-0.1,0.7,0.4,6.5,0.6,$5.2,1.1,274,0.39,-0.30,0.69,6.08,0.65,1.07,,0,0.58,-0.22,42.6%,94.2,27.7%,85.3,16.0%,88.6,8.5%,83.0,5.3%,84.4,,,,,1.1%,,0.4,1.9,-0.3,1.5,1.4,,,1.05,7.44,-2.32,18.39,28.79,,,30.0%,67.6%,43.6%,83.3%,95.7%,90.2%,36.2%,52.2%,4.2%,0.5,19.1%,,16.0%,,,23.4%,26.6%,6.4%,3.2%,,5.3%,,,,94.7,,88.6,,,93.5,85.4,80.8,87.0,,84.3,,,-4.2,,0.3,,,-8.2,0.9,4.2,-0.4,,-8.9,,,8.9,,5.2,,,4.6,0.5,-3.5,-2.4,,3.7,,,0.6,,-0.3,,,-0.2,0.5,2.1,0.8,,1.4,,,3.31,,-2.32,,,-0.94,1.89,34.55,27.58,,28.79,,,21.3%,66.0%,43.6%,100.0%,87.1%,90.2%,50.0%,20.1,0.3,0.0,0.2,28 - 28,5.4,0.1,0.3,33.3%,33.3%,33.3%,11.1%,50.0%,38.9%,34.8%,5.3%,,8.5%,19.1%,10.6%,,,,23.4%,33.0%,,84.6,,83.1,95.0,89.2,,,,93.8,85.9,,-8.6,,3.8,-3.4,0.5,,,,-7.6,1.9,,2.4,,-4.9,7.8,5.2,,,,3.4,-0.3,,1.4,,1.5,0.6,-0.7,,,,-0.2,2.2,,28.79,,18.39,3.31,-6.90,,,,-0.94,7.21,,19.6%,64.6%,42.6%,100.0%,90.3%,92.5%,51.1%,20.1,-0.1,167,147,38,148,240,351,111,106,63,143,237,79,103,132,63,97,127,89.8,13.0,1,5.6%,110.8,9,50.0%,18,17.9%,22.1%,.410,.610,.461,0.7
Ian Happ,CHC,28,5,16,23,7,4,2,0,1,6,2,7,0,7,0,0,0,0,0,0,.438,4,1,4,0,116,54,62,1,0,0,30.4%,30.4%,1.00,.609,.750,1.359,.313,.750,4.00,44.4%,44.4%,11.1%,0.0%,100.0%,25.0%,0.0%,.564,4.6,7,4.6,-0.6,0.7,-0.2,4.8,0.5,$3.8,1.9,263,0.64,-0.26,0.90,4.08,0.40,1.10,,0,0.51,0.07,37.1%,93.4,10.3%,85.0,18.1%,91.7,6.9%,81.1,24.1%,86.7,3.4%,82.0,,,,,2.2,-0.1,0.4,0.9,1.3,-0.3,,5.09,-0.76,2.05,10.80,4.73,-7.85,,23.9%,73.3%,43.1%,52.9%,75.8%,68.0%,38.8%,60.9%,13.8%,0.2,33.6%,,18.1%,3.4%,,3.4%,14.7%,2.6%,,,24.1%,,,,93.0,,91.7,81.6,,96.3,83.9,80.4,,,86.6,,,-1.5,,0.4,-2.9,,-9.6,4.3,3.0,,,-8.1,,,9.2,,7.0,1.9,,5.3,1.3,-2.5,,,3.2,,,1.5,,0.4,-0.3,,0.7,0.7,0.1,,,1.3,,,3.88,,2.05,-7.85,,16.87,4.04,2.87,,,4.73,,,20.0%,67.9%,43.1%,41.7%,76.3%,68.0%,48.3%,19.7,-0.8,-0.1,0.0,28 - 28,4.8,0.1,0.3,44.4%,22.2%,33.3%,22.2%,44.4%,33.3%,65.2%,22.4%,,2.6%,33.6%,14.7%,5.2%,,,3.4%,18.1%,,86.8,,80.9,93.5,93.7,84.8,,,96.8,84.7,,-7.8,,3.0,-1.3,0.7,-4.0,,,-9.3,4.1,,1.6,,-3.9,8.2,6.1,1.3,,,3.9,0.8,,0.9,,0.1,1.5,0.7,0.2,,,0.7,0.4,,3.30,,2.87,3.88,4.29,2.54,,,16.87,1.85,,22.0%,64.9%,43.1%,46.2%,75.7%,68.0%,49.1%,19.7,,173,344,134,188,180,190,249,212,101,32,710,105,69,132,126,86,109,91.3,2.4,1,11.1%,106.8,4,44.4%,9,10.3%,24.1%,.206,.415,.400,0.5
Yoan Moncada,CHW,28,5,21,22,9,3,4,0,2,3,4,1,0,7,0,0,0,1,0,0,.429,8,5,1,0,75,28,47,1,0,0,4.5%,31.8%,0.14,.455,.905,1.359,.476,.583,1.60,7.1%,57.1%,35.7%,0.0%,40.0%,12.5%,0.0%,.564,4.4,7,4.4,0.2,0.7,0.1,5.2,0.5,$4.1,0.3,268,-0.03,-0.55,0.51,1.68,0.18,1.24,,0,0.37,-0.39,30.7%,94.2,28.0%,86.8,5.3%,85.5,14.7%,80.1,17.3%,86.6,4.0%,85.3,,,,,0.2,1.4,0.3,0.7,2.2,-0.3,,0.94,6.51,7.60,6.44,16.97,-11.63,,27.9%,75.0%,48.0%,66.7%,87.5%,80.6%,42.7%,59.1%,9.3%,-0.2,21.3%,,5.3%,4.0%,,9.3%,26.7%,16.0%,,,17.3%,,,,93.5,,85.5,85.2,,95.9,86.8,80.5,,,86.6,,,-4.1,,1.6,-7.8,,9.8,3.5,3.1,,,-5.2,,,10.4,,5.5,-1.4,,4.7,2.1,-6.3,,,3.7,,,0.7,,0.3,-0.3,,-0.5,0.8,1.2,,,2.2,,,4.40,,7.60,-11.45,,-7.39,3.76,9.79,,,16.97,,,23.5%,68.3%,48.0%,62.5%,85.7%,80.6%,54.7%,18.3,0.3,0.0,-0.1,28 - 28,4.2,0.0,-0.1,57.1%,14.3%,28.6%,7.1%,57.1%,35.7%,45.5%,17.3%,,13.3%,22.7%,5.3%,4.0%,,,8.0%,29.3%,,86.7,,79.2,93.7,85.5,85.3,,,95.8,86.9,,-5.2,,2.9,-3.1,1.8,-7.5,,,9.7,4.3,,2.2,,-8.6,9.0,3.7,-3.4,,,2.8,0.1,,2.2,,0.9,0.4,0.3,-0.3,,,-0.2,1.0,,16.97,,9.32,2.13,7.60,-11.45,,,-2.94,4.52,,22.9%,70.0%,48.0%,62.5%,85.7%,80.6%,53.3%,18.3,,173,51,145,141,221,295,200,39,132,93,325,142,41,115,43,112,110,95.3,7.5,2,14.3%,104.9,8,57.1%,14,14.7%,24.0%,.218,.354,.266,0.5
Xander Bogaerts,SDP,30,6,22,25,9,3,3,0,3,5,7,2,0,4,0,1,0,0,0,0,.409,3,11,5,0,103,41,62,0,0,0,8.0%,16.0%,0.50,.440,.955,1.395,.545,.375,0.27,26.3%,15.8%,57.9%,0.0%,27.3%,0.0%,0.0%,.555,4.8,8,4.9,-0.1,0.8,0.3,5.9,0.6,$4.7,1.1,260,0.38,-0.31,0.69,5.01,0.55,0.81,,0,0.51,-0.04,37.9%,92.9,34.0%,84.3,5.8%,89.3,11.7%,80.8,10.7%,81.0,,,,,,,0.9,0.9,-0.1,1.9,1.3,,,2.40,2.64,-2.25,16.16,12.06,,,23.7%,52.3%,35.9%,78.6%,91.3%,86.5%,42.7%,56.0%,4.9%,0.0,20.4%,,7.8%,,,17.5%,30.1%,1.0%,11.7%,,11.7%,,,,93.6,,87.7,,,92.1,84.1,74.3,82.0,,81.5,,,-1.2,,0.7,,,-0.8,3.5,5.1,-0.1,,4.3,,,10.5,,3.5,,,5.5,2.0,-7.1,-5.0,,5.9,,,0.8,,0.1,,,0.1,0.2,0.0,2.4,,1.4,,,4.01,,0.98,,,0.58,0.80,-4.42,20.09,,11.35,,,17.0%,51.8%,35.9%,75.0%,89.7%,86.5%,54.4%,18.5,0.1,0.0,-0.1,30 - 30,4.9,0.1,0.1,36.8%,31.6%,31.6%,15.8%,57.9%,26.3%,36.0%,10.7%,,11.7%,22.3%,3.9%,,,,15.5%,35.9%,,81.7,,81.3,93.7,91.2,,,,93.0,84.8,,5.1,,0.9,0.7,0.3,,,,-3.1,3.6,,3.8,,-8.3,8.1,3.4,,,,3.4,-0.2,,1.3,,1.9,-0.4,-0.1,,,,1.3,0.9,,12.06,,16.16,-1.67,-3.10,,,,8.32,2.47,,17.4%,50.9%,35.9%,75.0%,89.7%,86.5%,55.3%,18.5,,162,90,70,136,229,331,125,125,36,166,194,87,98,125,89,112,86,89.1,26.7,2,10.5%,109.4,6,31.6%,19,24.3%,29.1%,.295,.662,.413,0.6
Patrick Wisdom,CHC,31,4,16,18,6,2,2,0,2,5,5,1,0,3,1,0,0,0,0,0,.375,4,5,3,0,65,22,43,0,1,0,5.6%,16.7%,0.33,.444,.875,1.319,.500,.364,0.80,25.0%,33.3%,41.7%,0.0%,40.0%,0.0%,0.0%,.541,3.3,5,3.3,0.1,0.6,0.0,4.5,0.4,$3.6,2.6,247,0.10,-0.25,0.36,2.79,0.28,0.94,,0,0.33,-0.22,49.2%,92.3,27.7%,83.2,9.2%,91.8,1.5%,75.0,12.3%,84.8,,,,,,,0.5,0.2,0.6,1.4,0.5,,,1.67,0.86,9.52,139.38,6.42,,,32.4%,71.4%,49.2%,66.7%,95.0%,84.4%,43.1%,55.6%,7.7%,0.5,24.6%,,9.2%,,,24.6%,27.7%,1.5%,,,12.3%,,,,91.8,,91.9,,,92.8,83.1,75.4,,,84.7,,,-1.2,,0.8,,,-7.1,4.2,-2.6,,,-1.5,,,8.8,,6.5,,,4.7,0.4,-3.7,,,2.7,,,-0.4,,0.6,,,1.3,0.2,1.4,,,0.5,,,-2.23,,9.52,,,7.94,0.86,139.38,,,6.42,,,30.0%,65.7%,49.2%,77.8%,87.0%,84.4%,53.8%,20.0,0.1,0.0,0.4,31 - 31,3.7,0.1,0.1,46.2%,38.5%,15.4%,7.7%,53.8%,38.5%,33.3%,10.8%,,1.5%,24.6%,7.7%,1.5%,,,24.6%,29.2%,,84.3,,75.8,92.0,93.7,90.6,,,93.5,83.7,,-0.8,,-3.1,0.0,1.6,-7.6,,,-7.7,4.6,,1.3,,-5.4,7.5,5.7,2.6,,,3.6,-0.7,,-0.3,,1.4,-0.6,0.6,0.8,,,1.2,0.1,,-4.60,,139.38,-3.83,12.62,83.60,,,7.24,0.50,,27.6%,66.7%,49.2%,75.0%,87.5%,84.4%,55.4%,20.0,,148,63,73,137,210,303,121,119,76,119,284,109,119,61,44,104,126,92.4,16.9,0,0.0%,107.5,5,38.5%,13,16.9%,24.6%,.169,.239,.268,0.5
