Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GB,FB,LD,IFFB,Balls,Strikes,Pitches,RS,IFH,BU,BUH,K/9,BB/9,K/BB,H/9,HR/9,AVG,WHIP,BABIP,LOB%,FIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Starting,Start-IP,Relieving,Relief-IP,RAR,WAR,Dollars,tERA,xFIP,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,FB%.1,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,HLD,SD,MD,ERA-,FIP-,xFIP-,K%,BB%,SIERA,RS/9,E-F,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,RA9-WAR,BIP-Wins,LOB-Wins,FDP-Wins,Age Rng,K-BB%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,kwERA,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,K/9+,BB/9+,K/BB+,H/9+,HR/9+,AVG+,WHIP+,BABIP+,LOB%+,K%+,BB%+,LD%+,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xERA
Wade Miley,MIL,36,1,0,0.00,1,1,0,0,0,0,6.0,23,5,0,0,0,0,0,1,0,0,3,5,9,5,1,28,51,79,5,1,0,0,4.50,0.00,3.00,7.50,0.00,.227,0.83,.263,100.0%,2.73,0.56,26.3%,26.3%,47.4%,11.1%,0.0%,20.0%,0.0%,2.0,6.0,,,2.0,0.2,$1.7,3.53,5.29,0.33,-0.24,0.57,2.95,0.31,1.20,1.02,0.87,0.34,1,0.22,0.06,25.3%,89.0,3.8%,79.7,35.4%,86.4,5.1%,74.5,30.4%,82.0,,,,,,,0.6,-0.6,2.0,-0.1,0.5,,,3.09,-18.70,7.07,-3.19,2.26,,,36.2%,75.0%,51.9%,76.5%,87.5%,82.9%,40.5%,39.1%,8.9%,0,0,0,0,58,114,13.0%,0.0%,5.00,7.50,-2.73,20.3%,,36.7%,,,3.8%,3.8%,5.1%,,,30.4%,,,,89.2,,86.4,,,87.3,79.4,74.6,,,82.0,,,2.6,,-0.7,,,8.5,-2.2,-6.7,,,9.1,,,10.8,,5.7,,,8.3,3.5,-3.2,,,4.8,,,1.8,,1.6,,,-0.8,-0.6,-0.1,,,0.5,,,11.33,,5.35,,,-25.34,-18.70,-3.19,,,2.26,,,33.3%,73.0%,51.9%,71.4%,88.9%,82.9%,46.8%,14.9,0.5,0.0,0.2,0.2,36 - 36,13.0%,21.1%,42.1%,36.8%,21.1%,63.2%,15.8%,4.71,13.0%,30.4%,,5.1%,20.3%,36.7%,,,,3.8%,3.8%,,82.4,,75.0,89.7,86.8,,,,87.8,79.8,,8.6,,-7.7,1.9,-1.4,,,,8.2,-3.2,,2.8,,-5.3,9.2,4.0,,,,6.8,1.5,,0.5,,-0.1,1.8,1.6,,,,-0.8,-0.6,,2.26,,-3.19,11.33,5.35,,,,-25.34,-18.70,,30.8%,72.5%,51.9%,75.0%,86.2%,82.9%,50.6%,14.9,0.0,54,0,,89,0,93,62,92,137,60,0,132,60,131,0,50,129,145,115,123,52,86.6,23.7,2,10.5%,109.1,5,26.3%,19,11.4%,20.3%,
Sonny Gray,MIN,33,1,0,0.00,1,1,0,0,0,0,5.0,22,3,0,0,0,4,0,0,0,0,1,6,6,5,1,31,53,84,2,1,0,0,1.80,7.20,0.25,5.40,0.00,.167,1.40,.176,100.0%,5.23,1.00,29.4%,35.3%,35.3%,16.7%,0.0%,16.7%,0.0%,0.1,5.0,,,0.1,0.0,$0.0,6.95,7.28,0.31,-0.38,0.69,2.53,0.26,1.66,1.11,0.92,1.38,1,0.07,0.11,25.3%,93.0,13.3%,83.0,16.9%,87.5,27.7%,79.5,16.9%,87.4,,,,,1.2%,,-0.9,0.3,0.5,0.9,0.1,,,-4.36,2.60,3.41,4.06,0.71,,,31.5%,75.9%,47.0%,70.6%,90.9%,82.1%,34.9%,59.1%,8.3%,0,0,0,0,128,174,4.5%,18.2%,8.13,3.60,-5.23,18.1%,,16.9%,,,7.2%,13.3%,27.7%,,,16.9%,,,,93.0,,87.5,,,92.6,83.0,79.4,,,87.3,,,-1.5,,2.3,,,-6.9,8.7,7.3,,,-9.0,,,8.4,,1.3,,,6.0,-3.9,-8.4,,,2.1,,,0.2,,0.5,,,-1.1,0.3,0.9,,,0.1,,,1.66,,3.86,,,-18.90,2.60,4.06,,,0.71,,,34.0%,63.9%,47.0%,75.0%,87.0%,82.1%,43.4%,21.0,0.4,0.2,0.1,0.4,33 - 33,-13.6%,52.9%,23.5%,23.5%,11.8%,41.2%,47.1%,7.91,22.7%,16.9%,,27.7%,18.1%,,,,,7.2%,30.1%,,87.1,,79.3,92.9,,,,,92.5,85.4,,-9.0,,7.8,-1.1,,,,,-6.6,5.8,,1.0,,-10.2,7.6,,,,,4.8,-2.3,,0.1,,0.9,0.2,,,,,-1.1,0.8,,0.71,,4.06,1.66,,,,,-18.90,3.28,,32.6%,64.9%,47.0%,73.3%,87.5%,82.1%,44.6%,21.0,0.0,20,226,9,62,0,67,105,58,138,20,220,150,81,95,0,130,68,96,74,81,143,95.0,14.4,1,5.9%,108.2,10,58.8%,17,15.5%,23.8%,9.17
Mike Clevinger,CHW,32,1,0,0.00,1,1,0,0,0,0,5.0,23,3,0,0,0,3,0,2,1,0,8,2,4,3,1,38,60,98,3,0,1,0,14.40,5.40,2.67,5.40,0.00,.167,1.20,.300,100.0%,3.03,0.50,33.3%,22.2%,44.4%,25.0%,0.0%,0.0%,0.0%,1.3,5.0,,,1.3,0.1,$1.2,3.84,4.39,0.28,-0.22,0.50,2.35,0.25,1.17,1.04,0.87,1.01,1,0.14,0.10,61.2%,94.7,35.7%,80.7,,,1.0%,78.0,2.0%,87.0,,,,,,,1.0,0.2,,0.0,-0.1,,,1.63,0.51,,-4.26,-4.09,,,27.1%,71.8%,44.9%,56.3%,85.7%,75.0%,39.8%,65.2%,11.2%,0,0,0,0,71,106,34.8%,13.0%,3.55,5.40,-3.03,59.2%,,2.0%,,,2.0%,33.7%,1.0%,,,2.0%,,,,94.7,,82.6,,,92.7,80.5,78.1,,,87.1,,,-3.9,,4.8,,,-8.4,8.3,1.7,,,-8.7,,,11.0,,0.5,,,9.4,-0.5,-4.3,,,5.6,,,1.1,,-0.1,,,-0.1,0.3,0.0,,,-0.1,,,1.88,,-5.82,,,-4.63,0.90,-4.26,,,-4.09,,,19.6%,67.3%,44.9%,22.2%,85.7%,72.7%,53.1%,20.9,0.4,0.0,0.2,0.2,32 - 32,21.7%,40.0%,10.0%,50.0%,10.0%,70.0%,20.0%,3.66,47.8%,2.0%,,1.0%,59.2%,,,,,2.0%,35.7%,,87.0,,78.0,94.7,,,,,92.7,80.6,,-9.0,,1.8,-3.5,,,,,-8.7,8.5,,3.9,,-6.6,9.8,,,,,7.8,-2.2,,-0.1,,0.0,1.1,,,,,-0.1,0.2,,-4.09,,-4.26,1.88,,,,,-4.63,0.51,,18.8%,70.0%,44.9%,22.2%,85.7%,72.7%,51.0%,20.9,0.0,161,169,95,62,0,67,90,98,138,150,158,171,51,120,0,98,29,203,62,137,61,95.2,31.4,0,0.0%,107.0,5,50.0%,10,16.3%,27.6%,3.80
Tyler Anderson,LAA,33,1,0,0.00,1,1,0,0,0,0,6.0,24,4,0,0,0,2,0,1,0,0,4,7,8,1,1,34,59,93,6,0,1,0,6.00,3.00,2.00,6.00,0.00,.190,1.00,.235,100.0%,3.39,0.88,6.3%,43.8%,50.0%,12.5%,0.0%,0.0%,0.0%,1.4,6.0,,,1.4,0.1,$1.2,2.09,5.67,0.21,-0.17,0.38,2.56,0.29,0.74,0.70,0.87,0.19,1,0.14,0.14,44.1%,88.3,,,25.8%,84.0,4.3%,76.8,25.8%,77.3,,,,,,,0.4,,0.9,-0.4,1.0,,,0.89,,3.55,-8.94,4.16,,,30.8%,75.6%,50.5%,68.8%,80.6%,76.6%,44.1%,66.7%,11.8%,0,0,0,0,80,136,16.7%,8.3%,5.00,9.00,-3.39,34.4%,,25.8%,,,9.7%,,4.3%,,,25.8%,,,,88.5,,84.0,,,87.4,,76.6,,,77.3,,,3.0,,-1.3,,,10.9,,-7.1,,,6.7,,,11.7,,7.0,,,5.1,,0.3,,,7.7,,,0.1,,0.8,,,0.3,,-0.4,,,1.0,,,0.24,,3.50,,,3.20,,-8.94,,,4.16,,,25.0%,77.8%,50.5%,66.7%,80.0%,76.6%,48.4%,16.4,0.5,0.1,0.2,0.3,33 - 33,8.3%,35.3%,35.3%,29.4%,41.2%,47.1%,11.8%,5.27,25.0%,25.8%,,4.3%,34.4%,25.8%,,,,9.7%,,,77.9,,77.2,89.2,84.7,,,,88.1,,,6.8,,-7.1,2.8,-1.5,,,,10.3,,,5.9,,-0.6,10.1,5.7,,,,3.6,,,1.0,,-0.4,0.1,0.8,,,,0.3,,,4.16,,-8.94,0.24,3.50,,,,3.20,,,23.9%,76.6%,50.5%,63.6%,80.6%,76.6%,50.5%,16.4,0.0,67,94,71,68,0,76,75,77,138,72,101,32,101,135,0,87,102,120,257,92,36,83.2,16.5,1,5.9%,105.1,4,23.5%,17,11.8%,23.7%,2.77
Anthony DeSclafani,SFG,33,1,0,0.00,1,1,0,0,0,0,6.0,20,3,0,0,0,0,0,0,0,0,4,10,3,3,0,26,47,73,7,0,0,0,6.00,0.00,4.00,4.50,0.00,.150,0.50,.188,100.0%,1.89,3.33,18.8%,62.5%,18.8%,0.0%,0.0%,0.0%,0.0%,2.2,6.0,,,2.2,0.2,$2.0,1.96,2.75,0.21,-0.14,0.35,2.88,0.30,0.69,0.68,0.87,0.12,1,0.30,0.00,41.1%,92.6,41.1%,87.5,,,2.7%,83.0,15.1%,87.2,,,,,,,0.9,1.5,,0.4,0.2,,,2.97,5.16,,17.99,1.50,,,40.4%,69.2%,50.7%,52.6%,83.3%,67.6%,35.6%,50.0%,16.4%,0,0,0,0,41,58,20.0%,0.0%,2.65,10.50,-1.89,8.2%,,,,,32.9%,41.1%,,2.7%,,15.1%,,,,92.7,,,,,92.5,87.5,,83.2,,87.1,,,-7.1,,,,,-10.6,1.7,,3.5,,-10.4,,,8.6,,,,,6.3,3.9,,-2.5,,1.8,,,-0.2,,,,,1.1,1.5,,0.4,,0.2,,,-3.45,,,,,4.70,5.16,,17.99,,1.50,,,35.0%,69.7%,50.7%,35.7%,87.0%,67.6%,45.2%,16.1,0.5,0.2,0.1,0.2,33 - 33,20.0%,43.8%,25.0%,31.3%,18.8%,62.5%,18.8%,3.87,20.0%,15.1%,,2.7%,8.2%,,,,,32.9%,41.1%,,87.4,,83.4,92.9,,,,,92.8,87.7,,-9.8,,4.3,-6.2,,,,,-9.9,2.7,,0.6,,-3.8,7.9,,,,,5.3,2.8,,0.2,,0.4,-0.2,,,,,1.1,1.5,,1.50,,17.99,-3.45,,,,,4.70,5.16,,34.1%,71.9%,50.7%,42.9%,82.6%,67.6%,43.8%,16.1,0.0,72,0,,53,0,61,37,66,137,93,0,94,142,52,0,104,77,123,102,121,62,87.2,-4.1,2,12.5%,112.3,6,37.5%,16,13.7%,30.1%,3.01
Gerrit Cole,NYY,32,1,0,0.00,1,1,0,0,0,0,6.0,22,3,0,0,0,2,0,0,0,0,11,5,1,3,0,39,56,95,3,0,0,0,16.50,3.00,5.50,4.50,0.00,.150,0.83,.333,100.0%,0.56,5.00,33.3%,55.6%,11.1%,0.0%,0.0%,0.0%,0.0%,2.8,6.0,,,2.8,0.4,$2.9,1.31,0.85,0.30,-0.17,0.48,2.80,0.30,0.98,0.96,0.87,0.88,1,0.23,0.08,64.2%,97.0,16.8%,88.3,,,4.2%,82.3,14.7%,88.9,,,,,,,1.8,0.8,,-0.1,0.5,,,2.87,4.74,,-2.10,3.41,,,30.4%,66.7%,45.3%,35.3%,76.9%,60.5%,41.1%,81.8%,17.9%,0,0,0,0,16,23,50.0%,9.1%,1.74,4.50,-0.56,64.2%,,,,,,16.8%,,4.2%,,14.7%,,,,97.0,,,,,,88.2,,82.4,,88.8,,,-7.0,,,,,,2.3,,5.3,,-9.8,,,10.4,,,,,,1.5,,-8.1,,5.9,,,1.8,,,,,,0.8,,-0.1,,0.5,,,2.87,,,,,,4.74,,-2.10,,3.41,,,30.2%,64.3%,45.3%,31.3%,77.8%,60.5%,44.2%,19.8,0.5,0.0,0.1,0.1,32 - 32,40.9%,55.6%,44.4%,0.0%,11.1%,55.6%,33.3%,1.36,59.1%,14.7%,,4.2%,64.2%,,,,,,16.8%,,89.1,,82.8,97.4,,,,,,88.6,,-8.9,,6.2,-6.1,,,,,,3.6,,4.5,,-9.6,9.4,,,,,,0.1,,0.5,,-0.1,1.8,,,,,,0.8,,3.41,,-2.10,2.87,,,,,,4.74,,25.5%,68.2%,45.3%,38.5%,70.0%,60.5%,46.3%,19.8,0.0,184,94,196,51,0,60,63,109,138,216,110,171,128,30,0,136,128,0,69,109,101,92.0,3.1,0,0.0%,107.4,4,44.4%,9,12.6%,30.5%,1.94
Marcus Stroman,CHC,32,1,0,0.00,1,1,0,0,0,0,6.0,23,3,0,0,0,3,0,0,1,0,8,9,1,2,1,38,53,91,4,1,0,0,12.00,4.50,2.67,4.50,0.00,.150,1.00,.250,100.0%,2.06,9.00,16.7%,75.0%,8.3%,100.0%,0.0%,11.1%,0.0%,2.4,6.0,,,2.4,0.3,$2.1,1.84,2.35,0.25,-0.23,0.48,2.89,0.30,0.98,0.78,0.87,0.57,1,0.23,0.02,52.2%,90.9,28.9%,84.6,8.9%,88.9,,,10.0%,85.6,,,,,1.1%,,-0.5,1.7,1.3,,0.1,,,-1.06,6.45,15.86,,1.51,,,25.8%,71.4%,40.0%,37.5%,80.0%,61.1%,31.1%,56.5%,15.4%,0,0,0,0,43,49,34.8%,13.0%,2.96,6.00,-2.06,7.8%,,10.0%,10.0%,,44.4%,2.2%,25.6%,,,,,,,91.0,,88.4,85.4,,90.8,85.8,84.5,,,,,,-3.7,,0.7,-8.5,,-6.4,1.7,7.4,,,,,,9.0,,3.2,1.8,,2.2,-2.7,0.2,,,,,,0.2,,1.4,0.1,,-0.7,0.1,1.5,,,,,,2.21,,15.42,1.51,,-1.66,4.89,6.74,,,,,,24.5%,62.2%,40.0%,30.8%,78.3%,61.1%,41.1%,19.6,0.5,0.0,0.1,0.2,32 - 32,21.7%,58.3%,33.3%,8.3%,25.0%,58.3%,16.7%,3.66,47.8%,10.0%,,,7.8%,8.9%,,,,44.4%,28.9%,,86.1,,,91.7,89.6,,,,91.4,85.2,,-8.1,,,-3.3,1.0,,,,-6.1,7.4,,0.1,,,8.2,2.2,,,,1.0,-1.3,,0.1,,,0.2,1.3,,,,-0.7,1.7,,1.51,,,2.21,16.71,,,,-1.66,6.69,,26.0%,57.5%,40.0%,30.8%,78.3%,61.1%,44.4%,19.6,0.0,145,123,118,53,0,61,74,88,137,161,137,84,170,23,0,139,102,33,136,113,55,86.9,-4.3,0,0.0%,105.1,4,33.3%,12,18.7%,34.1%,2.50
Matt Strahm,PHI,31,0,0,0.00,2,1,0,0,0,0,5.0,17,1,0,0,0,1,0,0,0,0,4,4,8,0,1,25,52,77,4,0,0,0,7.20,1.80,4.00,1.80,0.00,.063,0.40,.083,100.0%,2.23,0.50,0.0%,33.3%,66.7%,12.5%,0.0%,0.0%,0.0%,1.6,4.0,0.2,1.0,1.7,0.2,$1.5,0.33,4.96,0.22,-0.05,0.27,2.35,0.25,0.69,0.83,0.49,0.72,1,0.30,0.01,66.2%,93.8,20.8%,87.6,,,10.4%,83.1,2.6%,89.5,,,,,,,1.6,1.0,,0.3,0.0,,,3.19,6.36,,4.10,1.47,,,33.3%,86.8%,59.7%,53.8%,78.8%,71.7%,49.4%,52.9%,16.9%,0,0,0,0,46,107,23.5%,5.9%,4.23,7.20,-2.23,54.5%,,,,,10.4%,23.4%,10.4%,,,1.3%,,,,93.8,,,,,93.5,87.6,83.2,,,90.8,,,8.7,,,,,11.1,-0.4,-5.5,,,11.2,,,9.3,,,,,6.2,5.1,3.1,,,4.8,,,1.4,,,,,0.2,1.1,0.3,,,0.0,,,3.43,,,,,2.94,5.88,3.55,,,-1.47,,,32.3%,78.3%,59.7%,40.0%,80.6%,71.7%,59.7%,21.5,0.3,0.2,-0.1,0.1,31 - 31,17.6%,33.3%,58.3%,8.3%,16.7%,41.7%,41.7%,4.16,29.4%,,,,55.8%,18.2%,,,,11.7%,14.3%,,,,,93.7,87.7,,,,93.1,83.8,,,,,8.2,-0.2,,,,10.7,-6.5,,,,,8.3,4.2,,,,5.1,1.8,,,,,1.4,0.9,,,,0.2,0.5,,,,,3.24,6.40,,,,2.45,4.49,,33.3%,76.6%,59.7%,40.0%,80.6%,71.7%,61.0%,21.5,0.0,87,49,132,21,0,26,30,29,137,109,62,0,76,185,0,79,179,33,91,81,138,93.8,25.0,2,16.7%,106.7,6,50.0%,12,7.8%,24.7%,0.04
Kevin Gausman,TOR,32,0,1,0.00,1,1,0,0,0,0,6.0,27,8,3,0,0,1,0,0,0,0,7,11,4,4,0,26,64,90,0,1,0,0,10.50,1.50,7.00,12.00,0.00,.308,1.50,.421,66.7%,1.39,2.75,21.1%,57.9%,21.1%,0.0%,0.0%,9.1%,0.0%,2.3,6.0,,,2.3,0.3,$2.2,2.09,2.53,-0.13,-0.42,0.29,-0.29,-0.03,0.64,0.62,0.87,0.18,1,0.09,-0.30,63.3%,94.0,6.7%,82.5,,,,,,,30.0%,85.4,,,,,1.2,-0.3,,,,-0.8,,2.07,-5.42,,,,-2.99,,39.6%,69.0%,53.3%,73.7%,82.8%,79.2%,46.7%,74.1%,11.1%,0,0,0,0,35,62,25.9%,3.7%,2.81,0.00,-1.39,63.3%,,,28.9%,,,7.8%,,,,,,,,93.9,,,85.5,,,82.0,,,,,,,-6.6,,,-9.5,,,0.2,,,,,,,10.3,,,2.3,,,1.5,,,,,,,1.2,,,-1.0,,,-0.2,,,,,,,2.07,,,-3.79,,,-3.49,,,,,,,37.5%,66.0%,53.3%,66.7%,84.8%,79.2%,55.6%,18.6,0.1,-0.2,-0.1,-0.2,32 - 32,22.2%,52.6%,31.6%,15.8%,15.8%,63.2%,21.1%,3.61,29.6%,,,,63.3%,,28.9%,,,,7.8%,,,,,94.4,,85.9,,,,82.4,,,,,-6.1,,-9.1,,,,0.4,,,,,9.1,,0.8,,,,0.5,,,,,1.2,,-1.0,,,,-0.2,,,,,2.07,,-3.79,,,,-3.49,,37.8%,64.2%,53.3%,64.3%,85.3%,79.2%,58.9%,18.6,0.0,117,47,249,137,0,123,113,138,92,112,45,108,134,57,0,129,91,64,99,124,64,91.8,9.7,0,0.0%,110.4,11,57.9%,19,17.8%,28.9%,3.49
Luis Castillo,SEA,30,1,0,0.00,2,2,0,0,0,0,11.2,40,3,0,0,0,2,0,0,0,0,12,12,10,4,3,57,118,175,8,0,0,0,9.26,1.54,6.00,2.31,0.00,.079,0.43,.115,100.0%,1.68,1.20,15.4%,46.2%,38.5%,30.0%,0.0%,0.0%,0.0%,4.8,11.2,,,4.8,0.6,$4.6,1.03,3.15,0.58,-0.18,0.76,4.95,0.56,0.84,0.95,0.87,0.78,2,0.61,0.08,68.6%,95.2,14.3%,85.9,,,,,17.1%,87.5,,,,,,,4.4,0.2,,,1.6,,,3.65,0.89,,,5.19,,,36.0%,73.3%,52.0%,50.0%,81.8%,69.2%,42.9%,75.0%,16.0%,0,0,0,0,44,77,30.0%,5.0%,2.99,6.17,-1.68,44.0%,,,,,24.0%,14.3%,,,,17.7%,,,,95.0,,,,,95.4,85.8,,,,87.6,,,-7.6,,,,,-11.7,-0.4,,,,-11.5,,,8.5,,,,,3.3,1.8,,,,0.7,,,3.3,,,,,1.1,0.3,,,,1.6,,,4.25,,,,,2.58,1.01,,,,5.08,,,32.9%,68.8%,52.0%,51.9%,76.6%,69.2%,53.1%,16.1,0.9,0.6,-0.3,0.3,30 - 30,25.0%,26.9%,53.8%,19.2%,23.1%,34.6%,42.3%,3.27,35.0%,17.1%,,,44.0%,,,,,24.6%,14.3%,,88.1,,,95.7,,,,,96.1,86.4,,-10.6,,,-6.8,,,,,-11.0,0.5,,-0.7,,,7.5,,,,,2.2,0.7,,1.6,,,3.3,,,,,1.1,0.3,,5.29,,,4.25,,,,,2.49,1.01,,32.5%,68.4%,52.0%,57.7%,73.8%,69.2%,54.3%,16.1,-0.1,103,48,214,26,0,32,32,38,138,130,61,79,106,104,0,66,155,78,144,68,129,88.8,17.3,0,0.0%,108.5,12,46.2%,26,15.4%,31.4%,0.90
