Bats,xMLBAMID,Name,Team,Season,Age,AgeR,SeasonMin,SeasonMax,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,TTO%,wOBA,wRAA,wRC,Batting,Fielding,Replacement,Positional,wLeague,CFraming,Defense,Offense,RAR,WAR,WAROld,Dollars,BaseRunning,Spd,wRC+,wBsR,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB%1,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,C+SwStr%,Pull,Cent,Oppo,Soft,Med,Hard,bipCount,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,UBR,GDPRuns,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD%+,GB%+,FB%+,HRFB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,xwOBA,xAVG,xSLG,XBR,PPTV,CPTV,BPTV,DSV,DGV,BTV,rPPTV,rCPTV,rBPTV,rDSV,rDGV,rBTV,EBV,ESV,rFTeamV,rBTeamV,rTV,BReview,BOverturned,BCorrect%,wBReview,PReview,POverturned,PCorrect%,wPReview,CReview,COverturned,CCorrect%,wCReview,AsCReview,AsCOverturned,AsCCorrect%,wAsCReview,pfxFA%,pfxFT%,pfxFC%,pfxFS%,pfxFO%,pfxSI%,pfxSL%,pfxCU%,pfxKC%,pfxEP%,pfxCH%,pfxSC%,pfxKN%,pfxUN%,pfxSLO%,pfxST%,pfxCUO%,pfxCV%,pfxvFA,pfxvFT,pfxvFC,pfxvFS,pfxvFO,pfxvSI,pfxvSL,pfxvCU,pfxvKC,pfxvEP,pfxvCH,pfxvSC,pfxvKN,pfxvSLO,pfxvST,pfxvCUO,pfxvCV,pfxFA-X,pfxFT-X,pfxFC-X,pfxFS-X,pfxFO-X,pfxSI-X,pfxSL-X,pfxCU-X,pfxKC-X,pfxEP-X,pfxCH-X,pfxSC-X,pfxKN-X,pfxSLO-X,pfxST-X,pfxCUO-X,pfxCV-X,pfxFA-Z,pfxFT-Z,pfxFC-Z,pfxFS-Z,pfxFO-Z,pfxSI-Z,pfxSL-Z,pfxCU-Z,pfxKC-Z,pfxEP-Z,pfxCH-Z,pfxSC-Z,pfxKN-Z,pfxSLO-Z,pfxST-Z,pfxCUO-Z,pfxCV-Z,pfxwFA,pfxwFT,pfxwFC,pfxwFS,pfxwFO,pfxwSI,pfxwSL,pfxwCU,pfxwKC,pfxwEP,pfxwCH,pfxwSC,pfxwKN,pfxwSLO,pfxwST,pfxwCUO,pfxwCV,pfxwFA/C,pfxwFT/C,pfxwFC/C,pfxwFS/C,pfxwFO/C,pfxwSI/C,pfxwSL/C,pfxwCU/C,pfxwKC/C,pfxwEP/C,pfxwCH/C,pfxwSC/C,pfxwKN/C,pfxwSLO/C,pfxwST/C,pfxwCUO/C,pfxwCV/C,pfxaaFA,pfxaaFT,pfxaaFC,pfxaaFS,pfxaaFO,pfxaaSI,pfxaaSL,pfxaaCU,pfxaaKC,pfxaaEP,pfxaaCH,pfxaaSC,pfxaaKN,pfxaaSLO,pfxaaST,pfxaaCUO,pfxaaCV,pfxspFA,pfxspFT,pfxspFC,pfxspFS,pfxspFO,pfxspSI,pfxspSL,pfxspCU,pfxspKC,pfxspEP,pfxspCH,pfxspSC,pfxspKN,pfxspSLO,pfxspST,pfxspCUO,pfxspCV,pfxO-Swing%,pfxZ-Swing%,pfxSwing%,pfxO-Contact%,pfxZ-Contact%,pfxContact%,pfxZone%,pfxPace,AvgBatSpeed,FastSwing%,SwingLength,SquaredUpContact%,SquaredUpSwing%,BlastContact%,BlastSwing%,Swords,CompetitiveSwings,Tilt,AttackAngle,AttackDirection,IdealAttackAngle%,DepthInBox,DistanceOffPlate,scH-Swing%,scH-Contact%,scH-Zone%,scS-Swing%,scS-Contact%,scS-Zone%,scC-Swing%,scC-Contact%,scC-Zone%,scW-Swing%,scW-Contact%,scW-Zone%,scSI-Swing%,scSI-Contact%,scSI-Zone%,scSO-Swing%,scSO-Contact%,scSO-Zone%,scO-Swing%,scO-Contact%,scO-Zone%,scZ-Swing%,scZ-Contact%,scZ-Zone%,piCH%,piCS%,piCU%,piFA%,piFC%,piFS%,piKN%,piSB%,piSI%,piSL%,piXX%,pivCH,pivCS,pivCU,pivFA,pivFC,pivFS,pivKN,pivSB,pivSI,pivSL,pivXX,piCH-X,piCS-X,piCU-X,piFA-X,piFC-X,piFS-X,piKN-X,piSB-X,piSI-X,piSL-X,piXX-X,piCH-Z,piCS-Z,piCU-Z,piFA-Z,piFC-Z,piFS-Z,piKN-Z,piSB-Z,piSI-Z,piSL-Z,piXX-Z,piwCH,piwCS,piwCU,piwFA,piwFC,piwFS,piwKN,piwSB,piwSI,piwSL,piwXX,piwCH/C,piwCS/C,piwCU/C,piwFA/C,piwFC/C,piwFS/C,piwKN/C,piwSB/C,piwSI/C,piwSL/C,piwXX/C,piO-Swing%,piZ-Swing%,piSwing%,piO-Contact%,piZ-Contact%,piContact%,piZone%,piPace,Events,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Q,TG,TPA,PlayerNameRoute,PlayerName,positionDB,position,playerid,TeamName,TeamNameAbb,teamid,playerTeamId,Pos,EV90
L,115386.0,Billy Hamilton,PHI,1891,25.0,25 - 25,1891,1891,133.0,527.0,636.0,179.0,147.0,23.0,7.0,2.0,141.0,60.0,102.0,,28.0,7.0,,,,111.0,,0.339658444,,,,,,,,,,,0.160377358,0.044025157,3.642857142,0.452830188,0.421252371,0.874082559,0.081593927,0.35613682,,,,,,,,,0.20754717,0.4318942918717486,51.05113285311694,143.82936208971972,47.77421319016452,6.0,22.45734728872776,-8.20987606048584,2.3838440319523215,,-2.20987606048584,61.18129340836043,83.81260866855467,7.207777536578241,7.207777536578241,,13.407080218195915,7.734548874575287,150.29847907337304,13.407080218195915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.81894788823936,177.8759422639063,59.54144934952625,135.73171554903146,119.36214270913223,87.47254240706914,128.78668837243097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4.60869565,138.0,636.0,Billy Hamilton,Billy Hamilton,OF,OF,1005270,PHI,PHI,26,,0.0,
L,111524.0,Dan Brouthers,BSR,1891,33.0,33 - 33,1891,1891,130.0,486.0,597.0,170.0,120.0,26.0,19.0,5.0,117.0,109.0,87.0,,20.0,24.0,,,,31.0,,0.349794238,,,,,,,,,,,0.145728643,0.033500837,4.35,0.470686767,0.512345679,0.983032446,0.162551441,0.35791757,,,,,,,,,0.18760469,0.47075362341288146,66.47310218038344,153.56210037889267,60.489176748416654,-9.0,21.080245804041624,0.0,5.379289791919291,,-9.0,58.75494033294105,76.21447592890196,6.336337522531031,6.336337522531031,,-1.734236415475607,7.352053817250232,165.06269862686148,-1.734236415475607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.5333897893211,147.0057792425117,40.372777201626796,136.20559472558972,145.04374730069415,178.07491989219534,126.47390827016677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4.29496403,139.0,597.0,Dan Brouthers,Dan Brouthers,1B,1B,1001486,BSR,BSR,1013,,0.0,
R,117528.0,Arlie Latham,CIN,1891,31.0,31 - 31,1891,1891,135.0,533.0,618.0,145.0,108.0,20.0,10.0,7.0,119.0,53.0,74.0,,35.0,11.0,,,,87.0,,0.272045028,,,,,,,,,,,0.1197411,0.056634304,2.114285714,0.372168284,0.386491557,0.758659841,0.114446529,0.281059063,,,,,,,,,0.18770227,0.37166525447638676,19.839888872544627,109.99231916848885,17.32235497419105,13.0,21.82176198810339,4.166666507720947,2.3163767480291426,,17.166666507720947,28.093317804823975,69.39812304867746,6.0892784596595435,6.0892784596595435,,10.770962830632925,8.237861501724595,118.76881633130849,10.770962830632925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.77774060928873,132.80591010993354,76.59458302582935,111.55404608373671,109.51264267782297,122.69208296953728,101.63696626714543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4.47826087,138.0,618.0,Arlie Latham,Arlie Latham,3B,3B,1007371,CIN,CIN,18,,0.0,
R,113598.0,Hugh Duffy,BSR,1891,24.0,24 - 24,1891,1891,127.0,536.0,601.0,180.0,143.0,20.0,8.0,9.0,134.0,110.0,61.0,,29.0,4.0,,,,85.0,,0.335820895,,,,,,,,,,,0.101497504,0.048252911,2.103448275,0.40765391,0.453358208,0.861012118,0.117537313,0.343373493,,,,,,,,,0.16472546,0.413832381541241,39.5607087158996,127.23321779011071,33.536689981206074,6.0,21.22148698195815,-7.426585674285889,5.415331934578717,,-1.4265856742858887,43.3924426430303,68.60267588528129,5.916163569409008,5.916163569409008,,9.855752661824226,7.988048485149638,135.8322809133735,9.855752661824226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.1990884922286,102.38700751979108,58.15090605446446,117.96537983775957,128.34454559310828,128.7619935452857,121.33460689311437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4.32374101,139.0,601.0,Hugh Duffy,Hugh Duffy,OF,OF,1003533,BSR,BSR,1013,,0.0,
L,111595.0,Tom Brown,BSR,1891,30.0,30 - 30,1891,1891,137.0,589.0,663.0,189.0,133.0,30.0,21.0,5.0,177.0,72.0,70.0,,96.0,4.0,,,,106.0,,0.320882852,,,,,,,,,,,0.105580693,0.14479638,0.729166666,0.396681749,0.468590831,0.86527258,0.147707979,0.37704918,,,,,,,,,0.25791855,0.41180622460795385,42.56756414009832,139.28449178768895,35.922099213140235,-4.0,23.410725239664316,-6.765431880950928,5.973985145799816,,-10.765431880950928,50.01219928173922,68.63147778625242,5.767800509153586,5.767800509153586,,14.090100068598986,8.492717715662387,134.7918009174061,14.090100068598986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.49651451612829,106.50598075924856,174.49808759530663,114.79029649314978,132.65686208507336,161.8139240479761,133.23426230419923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4.76978417,139.0,663.0,Tom Brown,Tom Brown,OF,OF,1001562,BSR,BSR,1013,,0.0,
L,112589.0,Roger Connor,NYG,1891,33.0,33 - 33,1891,1891,129.0,479.0,566.0,139.0,90.0,29.0,13.0,7.0,112.0,94.0,83.0,,39.0,4.0,,,,27.0,,0.290187891,,,,,,,,,,,0.146643109,0.068904593,2.128205128,0.399293286,0.448851774,0.84814506,0.158663883,0.304849884,,,,,,,,,0.22791519,0.4076178459312385,34.44392271490071,117.01071162672017,34.4912883803365,10.0,19.98562667518854,0.0,2.121471261139959,,10.0,33.811808539193606,65.9189064755221,5.748583814390164,5.748583814390164,,-0.6794798411428928,7.655422015072578,140.80481483835754,-0.6794798411428928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.76543748910031,162.6431655638305,93.1894310804893,119.68451784400484,127.1824521159435,170.09517429143665,110.2402357921872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4.16176471,136.0,566.0,Roger Connor,Roger Connor,1B,1B,1002537,NYG,NYG,30,,0.0,
R,120876.0,Paul Radford,BSR,1891,29.0,29 - 29,1891,1891,133.0,456.0,557.0,118.0,102.0,11.0,5.0,0.0,102.0,65.0,96.0,,36.0,5.0,,,,55.0,,0.258771929,,,,,,,,,,,0.172351885,0.064631956,2.666666666,0.393177737,0.304824561,0.698002298,0.046052632,0.28095238,,,,,,,,,0.23698384,0.36086145647980367,13.069162107299466,94.32305154878964,7.48616970260014,18.0,19.667834024876356,7.666575908660889,5.018868365325034,,25.66657590866089,11.51365899596681,61.866937294829086,5.52514130826713,5.52514130826713,,4.027489293366671,7.242842609056962,108.63044526637027,4.027489293366671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.78576919752328,173.86234193054807,77.88974226803188,113.7763184681725,86.2950511908758,50.45060630514344,99.27745524313052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4.00719424,139.0,557.0,Paul Radford,Paul Radford,SS/OF,SS/OF,1010640,BSR,BSR,1013,,0.0,
R,122845.0,Harry Stovey,BSN,1891,34.0,34 - 34,1891,1891,134.0,544.0,625.0,152.0,85.0,31.0,20.0,16.0,118.0,95.0,79.0,,69.0,2.0,,,,57.0,,0.279411764,,,,,,,,,,,0.1264,0.1104,1.144927536,0.3728,0.498161764,0.870961764,0.21875,0.296296296,,,,,,,,,0.2624,0.4069574175834656,37.70427294160671,128.87784727002926,31.732772291558454,8.0,22.06893404945731,-8.210783958435059,2.342614025110379,,-0.2107839584350586,37.431113325911234,61.63187744204387,5.354371342510567,5.354371342510567,,5.698341034352779,8.30656640249455,133.99745623865292,5.698341034352779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.61502809592167,140.19135483051016,149.30954154661387,111.7433971886144,141.15447095442235,234.5103288330071,107.14707549434952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4.46428571,140.0,625.0,Harry Stovey,Harry Stovey,1B/OF,1B/OF,1012586,BSN,BSN,16,,0.0,
L,117890.0,Herman Long,BSN,1891,25.0,25 - 25,1891,1891,139.0,577.0,665.0,163.0,121.0,21.0,12.0,9.0,129.0,76.0,80.0,,51.0,8.0,,,,60.0,,0.282495667,,,,,,,,,,,0.120300751,0.076691729,1.56862745,0.377443609,0.407279029,0.784722638,0.124783362,0.29787234,,,,,,,,,0.21052632,0.3811049673790322,26.368847595093676,123.37753068053526,20.015170903442332,3.0,23.48134582862258,8.580246925354004,2.492541322717443,,11.580246925354004,24.83657614657087,62.3907102232649,5.343406301494541,5.343406301494541,,4.821405243128538,8.465810631506551,120.15376002010156,4.821405243128538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.80278878015004,133.4266239700779,103.72107696926768,113.13527660083442,115.40278685323959,133.77365602518017,107.7170067008146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4.75,140.0,665.0,Herman Long,Herman Long,SS,SS,1007731,BSN,BSN,16,,0.0,
R,118047.0,Denny Lyons,STL,1891,25.0,25 - 25,1891,1891,120.0,451.0,557.0,142.0,104.0,24.0,3.0,11.0,124.0,84.0,88.0,,58.0,18.0,,,,9.0,,0.314855875,,,,,,,,,,,0.157989228,0.104129263,1.517241379,0.445242369,0.454545454,0.899787823,0.139689579,0.342931937,,,,,,,,,0.28186715,0.4385578287782104,47.678067356767585,128.93195679825774,36.95665259701245,0.0,19.667834024876356,3.7037036418914795,5.018868365325034,,3.7037036418914795,31.543710343959262,59.93411637605213,5.089551868788407,5.089551868788407,,-5.412942253053188,5.253409500305951,142.6055486500655,-5.412942253053188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.19572570498649,159.37381352039935,125.48902987912214,128.84258899650663,128.68065188982553,153.02977591074995,121.17857847282716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,3.95035461,141.0,557.0,Denny Lyons,Denny Lyons,3B,3B,1007880,STL,STL,28,,0.0,
