,IDfg,Season,Name,Team,Age,W,L,WAR,ERA,G,GS,CG,ShO,SV,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GB,FB,LD,IFFB,Balls,Strikes,Pitches,RS,IFH,BU,BUH,K/9,BB/9,K/BB,H/9,HR/9,AVG,WHIP,BABIP,LOB%,FIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Starting,Start-IP,Relieving,Relief-IP,RAR,Dollars,tERA,xFIP,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,FB% 2,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,HLD,SD,MD,ERA-,FIP-,xFIP-,K%,BB%,SIERA,RS/9,E-F,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,RA9-WAR,BIP-Wins,LOB-Wins,FDP-Wins,Age Rng,K-BB%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,kwERA,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,K/9+,BB/9+,K/BB+,H/9+,HR/9+,AVG+,WHIP+,BABIP+,LOB%+,K%+,BB%+,LD%+,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xERA
6,1002682,1920,Stan Coveleski,CLE,30,24,14,6.8,2.49,41,38,26,3,2,,315.0,1246,284,110,87,6,65,,4,1,0,133,,,,,,,,,,,,3.8,1.86,2.05,8.11,0.17,0.241,1.11,0.268,0.705,2.81,,,,,,,,,,,,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,76,,0.107,0.052000000000000005,,,-0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8,2.5,0.5,3.0,30 - 30,0.055,,,,,,,2.86,0.16399999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,60,214,84,57,87,78,90,108,138,64,,,,,,,,,,,,,,,,,,0,,,
0,1000128,1920,Pete Alexander,CHC,33,27,14,6.6,1.91,46,40,33,7,5,,363.1,1447,335,96,77,8,69,,1,3,0,173,,,,,,,,,,,,4.29,1.71,2.51,8.3,0.2,0.243,1.11,0.273,0.785,2.66,,,,,,,,,,,,,58.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,81,,0.12,0.048,,,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,0.7,4.2,4.9,33 - 33,0.07200000000000001,,,,,,,2.65,0.17300000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,71,208,91,95,93,87,98,115,154,74,,,,,,,,,,,,,,,,,,0,,,
3,1002602,1920,Wilbur Cooper,PIT,28,24,15,5.6,2.39,44,37,28,3,2,,327.0,1312,307,113,87,4,52,,11,1,0,114,,,,,,,,,,,,3.14,1.43,2.19,8.45,0.11,0.246,1.1,0.268,0.705,2.79,,,,,,,,,,,,,50.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,83,,0.087,0.04,,,-0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.2,0.2,1.3,28 - 28,0.047,,,,,,,2.95,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,59,182,93,53,94,86,96,103,112,62,,,,,,,,,,,,,,,,,,0,,,
45,1011008,1920,Eppa Rixey,PHI,29,11,22,5.3,3.48,41,33,25,0,2,,284.1,1175,288,137,110,5,69,,4,8,0,109,,,,,,,,,,,,3.45,2.18,1.58,9.12,0.16,0.261,1.26,0.286,0.633,2.98,,,,,,,,,,,,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,82,,0.09300000000000001,0.059000000000000004,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,-0.5,-2.0,-2.5,29 - 29,0.034,,,,,,,3.11,0.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,90,131,100,76,100,98,102,93,120,91,,,,,,,,,,,,,,,,,,0,,,
1,1000041,1920,Babe Adams,PIT,38,17,13,5.2,2.16,35,33,19,8,2,,263.0,1035,240,83,63,6,18,,1,5,0,84,,,,,,,,,,,,2.87,0.62,4.67,8.21,0.21,0.236,0.98,0.253,0.7020000000000001,2.62,,,,,,,,,,,,,45.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,78,,0.081,0.017,,,-0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,2.2,-0.7,1.5,38 - 38,0.064,,,,,,,2.75,0.10400000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,25,387,90,98,91,77,90,103,105,27,,,,,,,,,,,,,,,,,,0,,,
2,1005061,1920,Burleigh Grimes,BRO,26,23,11,5.1,2.22,40,33,25,5,2,,303.2,1246,271,101,75,5,67,,4,9,0,131,,,,,,,,,,,,3.88,1.99,1.96,8.03,0.15,0.231,1.11,0.256,0.7190000000000001,2.8,,,,,,,,,,,,,45.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,84,,0.105,0.054000000000000006,,,-0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,2.2,-0.4,1.8,26 - 26,0.051,,,,,,,2.9,0.163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,82,162,88,71,88,87,92,105,136,84,,,,,,,,,,,,,,,,,,0,,,
20,1000411,1920,Jim Bagby,CLE,30,31,12,4.8,2.89,48,38,30,3,0,,339.2,1364,338,122,109,9,79,,5,6,0,73,,,,,,,,,,,,1.93,2.09,0.92,8.96,0.24,0.264,1.23,0.275,0.733,3.41,,,,,,,,,,,,,46.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,92,,0.054000000000000006,0.057999999999999996,,,-0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,2.1,3.1,5.2,30 - 30,-0.004,,,,,,,3.57,0.11800000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,67,97,92,79,95,86,93,112,69,72,,,,,,,,,,,,,,,,,,0,,,
23,1003889,1920,Red Faber,CHW,31,23,13,4.8,2.99,40,39,28,2,1,,319.0,1349,332,136,106,8,88,,4,4,0,108,,,,,,,,,,,,3.05,2.48,1.23,9.37,0.23,0.264,1.32,0.284,0.698,3.26,,,,,,,,,,,,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,90,,0.08,0.065,,,-0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,1.2,0.8,2.0,31 - 31,0.015,,,,,,,3.34,0.151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,80,129,96,75,95,92,96,107,104,81,,,,,,,,,,,,,,,,,,0,,,
37,1002236,1920,Eddie Cicotte,CHW,36,21,10,4.8,3.26,37,35,28,4,2,,303.1,1236,316,128,110,6,74,,2,3,0,87,,,,,,,,,,,,2.58,2.2,1.18,9.38,0.18,0.272,1.29,0.291,0.688,3.18,,,,,,,,,,,,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,88,,0.07,0.06,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,0.5,1.2,1.7,36 - 36,0.011000000000000001,,,,,,,3.39,0.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,71,123,97,59,98,90,98,105,91,74,,,,,,,,,,,,,,,,,,0,,,
31,1010605,1920,Jack Quinn,NYY,36,18,10,4.6,3.2,41,32,17,2,3,,253.1,1157,271,110,90,8,48,,2,5,0,101,,,,,,,,,,,,3.59,1.71,2.1,9.63,0.28,0.245,1.26,0.264,0.6809999999999999,2.95,,,,,,,,,,,,,43.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,82,,0.087,0.040999999999999995,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.7,-2.3,0.4,36 - 36,0.046,,,,,,,2.96,0.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,55,220,99,94,88,88,89,104,113,51,,,,,,,,,,,,,,,,,,0,,,
