Team,xMLBAMID,Season,Age,SeasonMin,SeasonMax,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,SO,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,TTO%,wOBA,wRAA,wRC,Batting,Fielding,Replacement,Positional,wLeague,Defense,Offense,RAR,WAR,WAROld,BaseRunning,Spd,wRC+,wBsR,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,rFTeamV,rBTeamV,rTV,Events,Q,TG,TPA,playerid,teamid,Pos
BKA,116113.3998091603,1875.0,27.895870736086177,1875.0,1875.0,266.0,1051.0,1056.0,202.0,177.0,23.0,1.0,1.0,84.0,54.0,5.0,25.0,1.0,5.0,0.19205705628219694,0.00473484825189394,0.02367424202367424,0.2743055555037879,0.19602272694507575,0.21868966322916666,0.4147123901742424,0.026632606946969697,0.195555861125947,0.02935606053030303,0.1908749339142532,-4.20284882407161,11.566764585964156,-3.158609066714841,-2.9166666666666665,3.686429330684019,0.3416427167936821,0.1376726823906541,-2.5750239498729846,-3.258195427418618,-2.0091173642169293,-3.151850396570899,-0.21746354418451577,-0.09958636070377631,2.090420502521353,71.7764756773592,-0.09958636070377631,75.3206314131536,50.57058567480845,95.17271777503255,74.82885045794951,70.05363359109353,46.56976156513228,75.11607913904459,0.0,0.0,0.0,0.0,2.292441459403409,44.0,100.86742424242425,1006017.1950757576,1010.0,0.0
BSN,119234.91210374639,1875.0,25.59963768115942,1875.0,1875.0,724.0,3437.0,3470.0,1107.0,878.0,163.0,51.0,15.0,808.0,552.0,33.0,50.0,93.0,37.0,0.32205543816974064,0.009510085916426514,0.014409221349279541,0.956143931978098,0.3285302590351585,0.41227354432478386,0.7408038033599422,0.09021810615504323,0.32363685454553315,0.028242074175792508,0.3361757911419662,22.304194451669616,77.83841625989979,21.57662511248358,2.48328530259366,12.982118128545002,-0.17076095517842846,0.48482769247539,2.3125243474152315,22.199302422131378,37.978772590567,29.531942628683563,3.1505135506031943,0.6226773096477983,6.420618712160172,136.28344299769878,0.6226773096477983,126.30319042973532,101.57255080330484,57.92644830873953,125.4116908145117,132.0650431619393,157.75532980545125,124.31400132106883,0.0,0.0,0.0,0.0,4.331883040576369,82.0,355.21440922190203,1009037.1916426513,16.0,0.0
CHI,116673.49354992833,1875.0,24.970768184908227,1875.0,1875.0,478.0,2074.0,2093.0,559.0,471.0,75.0,13.0,0.0,299.0,208.0,19.0,41.0,59.0,45.0,0.26946129185762063,0.009077878296703297,0.019589106187768754,0.5054876799006212,0.2761586235150502,0.3181026251361682,0.5942612486512184,0.04864133327854754,0.2746971649397994,0.02866698569995222,0.27245106713599815,3.569563760567978,48.12302857542478,1.1301810907143381,4.402771141901576,10.415169681494053,-0.10680593372573137,0.38896292834645035,4.295965208175845,0.021676612476691334,15.12177443049304,9.013713212873744,1.3166851636073755,-1.1085044782376472,5.4482079464968765,100.40637580483227,-1.1085044782376472,105.6769016302028,96.95635376810414,78.75008090266674,105.4195738613052,101.89893942221798,85.05420808043853,105.51549752630422,0.0,0.0,0.0,0.0,4.130116262164357,69.0,284.97802197802196,1006535.3999044434,17.0,0.0
HAR,115571.38803632947,1875.0,25.319956019791093,1875.0,1875.0,736.0,3160.0,3193.0,826.0,703.0,88.0,34.0,1.0,529.0,330.0,33.0,56.0,64.0,30.0,0.2613067703379267,0.01033510764954588,0.017538364569057312,0.7314027916244911,0.2690259939242092,0.3115831766326339,0.5806091705568431,0.05027640629470717,0.26576211623676793,0.028186658390228624,0.26600002191524463,1.9195783879811434,53.59976653731628,-0.9913198589749596,3.777638584403382,12.081168793125508,-0.035150198980517196,0.45118101147899503,3.742488385422865,-0.7093466497199711,15.565491540307395,12.248536768976875,1.3415632843530412,0.2819732092549885,6.035530711192763,97.03673990714944,0.2819732092549885,102.4788743271444,110.38420220556534,70.50590340748177,102.69679532769908,99.81054141593451,87.9132958391305,102.08340491796322,0.0,0.0,0.0,0.0,3.8437534134669598,86.0,330.5627936110241,1005451.2433448168,1033.0,0.0
KEO,117724.9209039548,1875.0,25.55056179775281,1875.0,1875.0,45.0,176.0,177.0,24.0,21.0,2.0,1.0,0.0,12.0,9.0,1.0,6.0,1.0,2.0,0.13644923750847457,0.005649717378531073,0.033898304694915254,0.192090395480226,0.14124293727118645,0.1592193112146893,0.3004622484858757,0.02277007370621469,0.14122064040677967,0.03954802451977401,0.1382572970821359,-4.457574489972012,2.4946976214411563,-4.856036334428411,0.3954802259887006,1.625218016447994,-0.13186161662057294,0.060695080177353346,0.26361860936812764,-5.071579142645591,-3.122047436652116,-0.8828178060798113,-0.24805237032826374,-0.21554280821718064,2.7464838376246385,33.30572990218966,-0.21554280821718064,53.512445332290305,60.34185290208108,136.2744278171625,53.91745536867534,51.0032853119897,39.815738107439,54.2450670605583,0.0,0.0,0.0,0.0,3.4206866590395486,13.0,44.46892655367232,1007563.2711864407,1084.0,0.0
NHE,118877.85408708938,1875.0,22.93177570093458,1875.0,1875.0,323.0,1296.0,1309.0,275.0,234.0,29.0,10.0,2.0,128.0,74.0,13.0,45.0,27.0,12.0,0.2119727927203973,0.009931245077922079,0.03437738694041253,0.3153488667379679,0.2200152784713522,0.25428423862184873,0.47429951709320095,0.042311445901451486,0.21807569561726511,0.04583651541634836,0.21774619216678523,-4.612206926734443,17.840677860536562,-3.651589490494653,-2.2345301757066465,5.248763611769293,-0.4823617266592085,0.1960193186539821,-2.716891902365855,-3.561611700519912,-0.8337206724624913,-1.0976054078560624,-0.10891991301886668,0.08997778997474085,5.228897658651617,82.83612084346153,0.08997778997474085,83.13115331024595,106.07074468958675,138.2003842763448,83.98766116446228,81.45576986754165,73.98577056425897,83.76630143413891,0.0,0.0,0.0,0.0,3.0556539833155085,47.0,143.6157372039725,1008692.9052711994,1052.0,0.0
NYM,116831.82740676496,1875.0,25.971264367816094,1875.0,1875.0,547.0,2289.0,2306.0,528.0,437.0,69.0,18.0,4.0,282.0,170.0,17.0,34.0,18.0,22.0,0.2306153850641804,0.007372072533824805,0.014744145331743277,1.6413414281114485,0.23633998231483086,0.28169627278013876,0.5180362550949695,0.05108088771595837,0.23284466080225494,0.023850824696444062,0.23670823268547125,-4.773422288971896,39.04828733283885,-3.732904158365602,0.45099739809193407,10.244108810413431,-0.46400301724491383,0.38257452188013646,-0.013005619152979755,-4.348606773084279,6.265070940056308,3.9985235213892434,0.5204705102897417,-0.6157026147186766,4.799745688965308,90.39215368116874,-0.6157026147186766,90.44237557769841,78.73748129595612,59.27287475936194,90.2193815456212,90.23676375886735,89.32001160097256,89.43929303485088,0.0,0.0,0.0,0.0,3.9478518985862974,71.0,280.29748482220293,1006691.7957502168,1053.0,0.0
PCN,121962.36538461539,1875.0,25.652173913043477,1875.0,1875.0,25.0,101.0,104.0,23.0,18.0,5.0,0.0,0.0,15.0,4.0,3.0,7.0,0.0,0.0,0.22747713748076923,0.028846153423076924,0.06730769190384615,0.551923076923077,0.24999999940384618,0.2766866993846154,0.5266866987884615,0.04920956190384616,0.24819759003846154,0.09615384750000001,0.24446298812444395,-0.2766001987583514,6.373863006359093,-0.25739259510202284,-1.5769230769230769,1.5546647837528815,-0.3926875608471724,0.058060212687660866,-1.9696106377702494,-0.19515111511474423,-0.5520367564444512,-0.2310718197898194,-0.07389546606235303,0.06224147998727858,2.2782738062259615,92.1851504300903,0.06224147998727858,89.21162262287848,308.09157875057,270.5833605674783,95.4338961681699,88.63202938818092,86.04781233582857,95.33659440379476,0.0,0.0,0.0,0.0,3.038461535576923,14.0,42.53846153846154,1011700.8076923077,1019.0,0.0
PHN,115740.68275620847,1875.0,25.209246711837384,1875.0,1875.0,609.0,2826.0,2859.0,812.0,656.0,107.0,44.0,5.0,595.0,396.0,33.0,47.0,65.0,42.0,0.28730496893039525,0.011542497009094089,0.01643931398705841,1.4886032411636936,0.2955578868964673,0.3615854855089192,0.6571433724053863,0.07428051657852396,0.2905651042465897,0.02973067438265128,0.29918058019036303,11.918724461925269,59.60209728033574,8.587923750473376,3.088492479888073,11.14684168680142,-0.0034067601085376307,0.41628781065529513,3.085085719779535,8.07975066430417,22.727965881540417,14.994006611718005,1.9146135258898025,-0.5081730861692054,6.309977944978562,112.22254597640793,-0.5081730861692054,112.67480657506984,123.27973418496117,66.08761492515286,112.82496302808876,115.8279579367022,129.886869613803,111.61062235600572,0.0,0.0,0.0,0.0,3.961011705253584,77.0,304.9979013641133,1005624.9580272823,1002.0,0.0
PWS,117264.44682571775,1875.0,22.19327731092437,1875.0,1875.0,569.0,2453.0,2473.0,629.0,536.0,64.0,24.0,5.0,437.0,264.0,20.0,47.0,98.0,48.0,0.2563642578103518,0.008087343135462999,0.01900525651758997,0.45380105124545084,0.26243428990335627,0.30813057234249897,0.5705648622458555,0.05176631453214719,0.25974352041488075,0.02911443622321068,0.2609146029853744,1.4241239474318947,42.50803879516836,0.40661198366592743,0.48119692680954307,9.604100289334665,0.1541687581060003,0.3586728864638839,0.6353656849155433,0.31760776949131725,10.91574663020541,7.118880903187778,0.9012702241145419,-0.08900421417461014,6.503667649401082,97.63559975908734,-0.08900421417461014,100.54052761106556,86.3769348362776,76.40294937349658,100.18050733330914,98.7045564676533,90.51854854719866,99.771567689154,0.0,0.0,0.0,0.0,3.7540812181156493,70.0,262.78568540234534,1007113.2046097857,1065.0,0.0
