Team,xMLBAMID,Season,Age,SeasonMin,SeasonMax,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,SO,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,TTO%,wOBA,wRAA,wRC,Batting,Fielding,Replacement,Positional,wLeague,Defense,Offense,RAR,WAR,WAROld,BaseRunning,wRC+,wBsR,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,rFTeamV,rBTeamV,rTV,Events,Q,TG,TPA,playerid,teamid,playerTeamId,Pos
BAL,119020.32887103972,1882.0,26.034904013961604,1882.0,1882.0,554.0,2175.0,2241.0,463.0,380.0,56.0,23.0,4.0,250.0,26.0,66.0,0.0,0.21248933983846496,0.02945113746273985,,,0.23605533202632756,0.2645325409107541,0.5005878729370816,0.05204320107228916,,,0.2301068264477384,-7.272864415008083,26.62709493460024,-5.589217332202875,-2.8616688978134763,8.273560988426288,0.1806522497524113,1.4441734361150607,-2.681016648061065,-5.589217332202875,1.4475004442774093,-0.2768346868388216,0.10183270320277986,0.0,79.35577067815686,0.0,85.90592144400203,82.9287578631263,,86.12624472879467,82.96825377447824,72.80334113922308,,0.0,0.0,0.0,0.0,3.2492190991120036,74.0,240.442213297635,1008827.6836233825,1006.0,,0.0
BSN,118631.09563345634,1882.0,25.77154582763338,1882.0,1882.0,767.0,3118.0,3252.0,823.0,644.0,114.0,50.0,15.0,472.0,368.0,134.0,244.0,0.2641012054557196,0.0412054117204797,0.0750307498702337,0.65117016649139,0.2942804424714022,0.3474621609972325,0.6417426034686347,0.08336095554151289,0.2823612774852398,0.12084870945264455,0.29218710770172973,4.5091777659730266,50.548498331485725,3.874926126808565,0.793050430504305,11.236270894492355,-0.40984225562724386,0.07906989406329007,0.38320817487706116,3.874926126808565,15.573475090241267,13.326599669883176,1.4101412893994494,0.0,107.22516255569617,0.0,104.24142702286254,111.07815147263459,94.8204648658475,104.70647356517709,100.58776474412258,90.5344355724211,103.79274086062625,0.0,0.0,0.0,0.0,3.8416829466205415,85.0,326.5430504305043,1008450.2426199262,16.0,,0.0
BUF,117945.1627620222,1882.0,28.09153770167929,1882.0,1882.0,756.0,3128.0,3244.0,858.0,647.0,146.0,47.0,18.0,500.0,383.0,116.0,228.0,0.27474344621208385,0.03575832252311961,0.07028359993464858,1.971525022096486,0.3002466087154747,0.36896263477743524,0.66920924349291,0.09421918856535143,0.29085093200369916,0.11159063014796547,0.30306924265865626,9.527981273951527,56.14735786495751,6.59087169201831,1.1485819975339087,11.377838288545242,-0.4188904990976086,0.08006610703783347,0.7296914984363001,6.59087169201831,18.778467586037685,14.5110588090489,1.702261220999505,0.0,108.21097112262015,0.0,108.44194690027102,96.39433753446205,88.82123169200133,106.82926576595726,106.81199529712211,102.32705469178204,106.91343970176516,0.0,0.0,0.0,0.0,3.9363953968896412,84.0,330.65721331689275,1007774.6710850801,1015.0,,0.0
CHI,115520.4054054054,1882.0,25.331749331749332,1882.0,1882.0,757.0,3225.0,3367.0,892.0,614.0,209.0,54.0,15.0,604.0,451.0,142.0,262.0,0.27699714656459756,0.04217404193644193,0.07781407731630531,0.8989425034585683,0.3070983067416098,0.38921449347846754,0.6963128002200771,0.11221734691386993,0.29633451931689925,0.1244431243985744,0.3145673025741328,12.663949741136502,59.98589656796772,9.064320037854674,4.902583902583903,11.549306272763348,-0.12021235384451978,0.08127273114601667,4.782371548739383,9.064320037854674,25.477270590503416,21.202104991798297,2.3428126592942045,0.0,112.97413634471762,0.0,109.33148824266127,113.68930494391876,98.33790808435228,109.26713466483864,112.67476087943501,121.87401281913615,108.92914299527133,0.0,0.0,0.0,0.0,3.995718243935254,84.0,335.64033264033264,1005403.2883872883,17.0,,0.0
CIN,119649.45934139784,1882.0,25.367271505376344,1882.0,1882.0,691.0,2876.0,2976.0,766.0,624.0,92.0,45.0,5.0,473.0,323.0,100.0,0.0,0.2664490907469758,0.03360214995598118,,,0.29099462318918007,0.33498068841868284,0.6259753116078629,0.068531597671707,,,0.2854614576264735,4.136526066380658,47.57709502680265,5.4382259239386315,4.064516129032258,10.6020244142311,-0.30950991492418034,1.8506133029652354,3.7550062141080778,5.4382259239386315,21.645869855243046,17.232516426581967,1.9894848029077332,0.0,108.49493133492189,0.0,107.72095520620557,94.6172133726745,,106.17118417286792,105.06368203542566,95.86899309246908,,0.0,0.0,0.0,0.0,3.8513860887096776,80.0,308.1108870967742,1009449.5850134408,18.0,,0.0
CLE,117067.57803468208,1882.0,24.54686078252957,1882.0,1882.0,709.0,2833.0,2941.0,687.0,498.0,132.0,37.0,20.0,385.0,284.0,108.0,227.0,0.24266373031689897,0.036722202916695,0.07718463049438966,0.6158982168945936,0.27031621857293436,0.33657292292485547,0.6068891414977897,0.09390919260795647,0.256753476383883,0.12070724266916014,0.2754189780033271,2.8347383345518895,42.98660443940723,1.9325513417782967,4.270996259775586,9.79938971583118,0.22487759564245427,0.06895852850036437,4.495873855418041,1.9325513417782967,16.296773441527883,11.030448013890512,1.5099061442225985,0.0,97.627544187296,0.0,95.78000028919145,98.99268682618526,97.54244168736706,96.17988119273714,97.43540963781872,101.99038257891851,94.37960926058764,0.0,0.0,0.0,0.0,3.3902988952635154,84.0,284.7851071064264,1006919.155049303,1018.0,,0.0
DET,117787.06411547499,1882.0,25.019847972972972,1882.0,1882.0,701.0,2863.0,2979.0,662.0,493.0,108.0,42.0,19.0,374.0,251.0,116.0,285.0,0.23141128196139643,0.038939240822087946,0.09566968730513596,0.5009642236042297,0.26116146309466265,0.31868392808895607,0.5798453911836187,0.08727264612755957,0.25165288224974824,0.1409869069419268,0.2638425759998653,0.870941331676579,42.18907134161084,-0.5553025997686514,-0.21148036253776434,10.084025913997658,-1.1525600610908024,0.07096151990622597,-1.3640404236285668,-0.5553025997686514,8.235644410506666,3.7449269026977494,0.7394349702699561,0.0,90.42364113180454,0.0,91.33862989841785,104.96919481368859,120.90301962238678,92.92257277485113,92.25667593370005,94.78273979399796,92.50468983142774,0.0,0.0,0.0,0.0,3.4076403030345754,86.0,293.0570661295737,1007621.4071836186,1031.0,,0.0
LOU,119288.0826041302,1882.0,23.536264732547597,1882.0,1882.0,693.0,2730.0,2857.0,712.0,566.0,109.0,28.0,9.0,436.0,0.0,127.0,0.0,0.2609908111239062,0.04445222215890794,,,0.2936646827311866,0.3315530740350018,0.6252177567661884,0.07056226291109556,,,0.28633954984389864,3.684730600810121,44.80570954584902,5.6871183872734985,0.4119705985299265,10.035909592012635,-0.41286788436450195,1.7517963619669654,-0.0008972858345754755,5.6871183872734985,17.47392705541852,14.245553640687252,1.5774634804187542,0.0,110.91665900762264,0.0,105.51426313932224,125.16893694030624,,107.14537187530738,103.98864159220754,98.70969487707714,,0.0,0.0,0.0,0.0,3.6918826966783334,79.0,291.65873293664686,1009092.3958697935,1044.0,,0.0
PHA,117471.10078479967,1882.0,25.44647355163728,1882.0,1882.0,576.0,2326.0,2421.0,583.0,489.0,75.0,15.0,4.0,357.0,235.0,95.0,0.0,0.2507013227575382,0.039239983008674095,,,0.2800495658009087,0.3013193846129699,0.5813689504138785,0.05061806185543164,,,0.26768221415945537,-1.2255654242944447,33.45932597742986,-2.291456009449491,1.3362247005369683,8.46513004424662,-0.500617390903977,1.4776123558238028,0.8356073096329911,-2.291456009449491,8.486893700253926,7.224462441541421,0.7774720014133024,0.0,92.23901828772163,0.0,101.35439337845732,110.49227058195915,,102.1778124362455,94.50611665266835,70.80971095433793,,0.0,0.0,0.0,0.0,3.2801266705534906,75.0,246.00950020652624,1007313.9987608426,1060.0,,0.0
PIT,119692.40015879317,1882.0,26.288399570354457,1882.0,1882.0,604.0,2440.0,2519.0,601.0,432.0,99.0,53.0,17.0,377.0,0.0,79.0,0.0,0.24647649657562526,0.03136165092814609,,,0.2699483916832076,0.35152127213060735,0.6214696638138151,0.10504477555498212,,,0.28017778193586257,4.191669897859843,41.32522480244804,5.417086997726315,0.1925367209210004,9.062746301603937,-0.26263688068427277,1.581927961289606,-0.07010015976327238,5.417086997726315,15.991661100856586,11.394424794801257,1.4418141106071949,0.0,105.83238747957182,0.0,99.64636611283595,88.30839757202932,,98.49233671900028,110.25148744592123,146.94735281559227,,0.0,0.0,0.0,0.0,3.3338877694561337,79.0,263.3771337832473,1009486.85907106,27.0,,0.0
