Team,xMLBAMID,Season,Age,SeasonMin,SeasonMax,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,SO,HBP,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,TTO%,wOBA,wRAA,wRC,Batting,Fielding,Replacement,Positional,wLeague,Defense,Offense,RAR,WAR,WAROld,BaseRunning,wRC+,wBsR,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,rFTeamV,rBTeamV,rTV,Events,Q,TG,TPA,playerid,teamid,playerTeamId,Pos
BAL,117836.40146842878,1885.0,25.834576271186442,1885.0,1885.0,819.0,3163.0,3405.0,711.0,540.0,108.0,47.0,16.0,451.0,319.0,210.0,0.0,32.0,0.22457747333627018,0.06167400841321586,,,0.279882525174743,0.30374359820146846,0.5836261233762114,0.07916612486519824,,,0.27666456611846163,-0.7293105438922177,41.27569057776217,-2.7384634811296045,-2.386784140969163,10.361842574711982,-0.35958601406689256,1.2673218690965287,-2.7463701550360557,-2.7384634811296045,6.1443308076428504,3.607995773495773,0.5383183347247182,0.0,89.67668650570378,0.0,89.41078484032441,121.8640755037974,,94.30276377286803,90.28682979055232,92.86807786299286,,0.0,0.0,0.0,0.0,2.7363743168516885,110.0,301.001174743025,1007674.4936857562,1006.0,,0.0
BRO,119481.52081243732,1885.0,25.269641125121243,1885.0,1885.0,959.0,3716.0,3988.0,925.0,737.0,113.0,63.0,12.0,595.0,407.0,231.0,0.0,41.0,0.24955449461334003,0.05792377080817453,,,0.3001504510185557,0.32346843296188565,0.6236188839804414,0.07391393834854564,,,0.2944118101504765,5.154999733008903,56.30945253283298,2.4583084319264854,0.3187061183550652,12.618839965559685,0.14150932426713855,1.5433675753781264,0.46021544262220376,2.4583084319264854,17.0807314154865,12.941583946537037,1.5585220797841466,0.0,98.38443684129146,0.0,99.3548591153627,114.45383494352916,,101.13177684476936,96.14997492087147,86.70685085826074,,0.0,0.0,0.0,0.0,3.272899053638415,112.0,366.5646940822467,1009280.8648445336,22.0,,0.0
BSN,119096.4076398363,1885.0,26.919438073394495,1885.0,1885.0,903.0,3501.0,3665.0,820.0,626.0,131.0,43.0,20.0,474.0,341.0,164.0,466.0,0.0,0.23432305573724418,0.04474761204065485,0.12714870358635746,0.3861706312630286,0.2684856748136426,0.31405625521527974,0.5825419300289223,0.07973319947803546,0.2649049378518417,0.1773533411405184,0.27200289364563657,2.021944828690298,43.504217949955866,2.7401447858961476,-3.754979536152797,10.232895423068397,0.7573004852334929,0.6290918024805073,-2.9976790509193036,2.7401447858961476,10.604452960525752,4.786213524137553,0.9323302062500616,0.0,93.18446862121007,0.0,95.55339322139108,78.55984354699159,132.74733770793756,93.15331717554028,95.67949883197555,96.05204556161047,98.78164253151543,0.0,0.0,0.0,0.0,2.630578663754434,113.0,297.2553888130969,1008903.3407912687,16.0,,0.0
BUF,118105.73399014778,1885.0,28.08535895986433,1885.0,1885.0,906.0,3519.0,3675.0,905.0,704.0,137.0,45.0,19.0,463.0,327.0,156.0,306.0,0.0,0.2575817035717007,0.042448979041632647,0.08326530553795917,0.930147991595102,0.2887074824312925,0.3387601190432653,0.6274676014745578,0.08117841547156462,0.2741153370903402,0.13088435447619048,0.29207547820344265,7.495740282724556,57.1377170295805,5.289668384930766,-5.645170068027211,12.245740612140116,-0.3377467059197069,0.752836290795394,-5.982916773946918,5.289668384930766,12.30532851391936,5.016972022885239,1.0703782116902678,0.0,97.876162002438,0.0,105.03791754756661,74.524315380459,86.93165814384318,100.16943995444538,103.20570877374153,97.79305123259289,102.21615142564085,0.0,0.0,0.0,0.0,3.176129737278912,112.0,355.7265306122449,1007907.1730612245,1015.0,,0.0
CHI,115936.60231023103,1885.0,27.255781028787165,1885.0,1885.0,976.0,3913.0,4242.0,1041.0,736.0,181.0,70.0,54.0,809.0,582.0,329.0,399.0,0.0,0.2668012089483734,0.07755775523691655,0.09405940531353137,1.2597608887482317,0.3229608669250353,0.3905435592534181,0.7135044261784536,0.1237423503050448,0.2847877087842999,0.18434700597595471,0.33139316142588954,17.894945536794847,80.42693195243396,12.938515410288124,4.625884016973126,15.425463202495948,-0.49944020581433,0.9483173675633149,4.126443811158796,12.938515410288124,33.43873979150618,26.55165737775981,3.086805212270381,0.0,115.62395243369431,0.0,108.79749220739771,136.16201713138094,98.20104562279498,112.05393394950164,118.98190658806845,149.06846767982944,106.19582207347837,0.0,0.0,0.0,0.0,3.9654362413366333,113.0,448.0942951438001,1005807.6652522396,17.0,,0.0
CIN,116112.609088688,1885.0,28.10530173466895,1885.0,1885.0,975.0,3908.0,4098.0,1016.0,807.0,106.0,77.0,26.0,628.0,441.0,144.0,0.0,46.0,0.26029173049585164,0.03513909187457297,,,0.2942898971559297,0.347284507681308,0.6415744048372377,0.08699277718545632,,,0.29868938460066125,8.248400752532318,65.86721211283496,4.653833596196871,0.9211810639336262,14.213475460418408,-0.487020094144004,1.738402041622968,0.43416096978962215,4.653833596196871,21.03987206802786,15.404706739462988,1.924487919118908,0.0,99.67487677176348,0.0,103.62966314182695,69.43270034675126,,99.15713971392191,103.2292282687735,102.04935531369482,,0.0,0.0,0.0,0.0,3.6864934102391413,112.0,412.88726207906296,1005995.1073694485,18.0,,0.0
DET,117071.56792559188,1885.0,26.08286140089419,1885.0,1885.0,866.0,3340.0,3548.0,812.0,592.0,130.0,66.0,24.0,460.0,347.0,208.0,403.0,0.0,0.24391626846927847,0.05862457659498309,0.11358511784808342,0.805143121927283,0.2874859070157836,0.3446911704819617,0.6321770774977451,0.10077490201268322,0.26840552865135286,0.17897407117812852,0.29406181753958494,6.956005741004763,44.70800006724508,6.983401325575949,0.2900225479143179,9.312705907493982,-1.0379308840268309,0.5725209437896841,-0.7479083361125131,6.983401325575949,16.1207198407471,12.433659766773218,1.4708302458808917,0.0,103.43476033770291,0.0,99.46536008080425,102.92253274043311,118.58651777235454,99.74560429835783,105.01264628820729,121.40031433525476,100.08699422412833,0.0,0.0,0.0,0.0,2.5048592846758737,108.0,270.5248027057497,1006921.952367531,1031.0,,0.0
LOU,117735.40907969406,1885.0,25.0601733809281,1885.0,1885.0,993.0,3880.0,4053.0,969.0,744.0,124.0,82.0,19.0,557.0,406.0,149.0,0.0,24.0,0.24941501901776464,0.03676289117912657,,,0.28176659222378486,0.3383303408783616,0.6200969331021465,0.08891532186059709,,,0.28850168438273066,4.390322851774728,58.48034841162557,1.4202624804618633,-0.5489760671107822,13.342990471303368,-0.8934487594200113,1.6319359709920493,-1.4424248265307935,1.4202624804618633,14.952764096226487,10.761384705417223,1.356969632277474,0.0,95.12095891740604,0.0,99.29932984841884,72.64122864164206,,94.93757557380883,100.56763033274856,104.30465110959331,,0.0,0.0,0.0,0.0,3.460719132378485,112.0,387.60054280779667,1007570.3530717987,1044.0,,0.0
NYG,116691.11614730879,1885.0,28.503777148253068,1885.0,1885.0,1011.0,4015.0,4236.0,1080.0,832.0,150.0,82.0,16.0,688.0,462.0,221.0,311.0,0.0,0.2694514482148253,0.05217185968767704,0.07341831871388102,1.3568591652856465,0.3071293668425402,0.35996696109584514,0.6670963279383854,0.09051551288101983,0.28702628757861187,0.1293673274220963,0.3102945412409767,9.14986131049344,63.808504319798104,9.587773347327957,6.753068932955618,13.483257685662217,-0.10592110630395674,0.8289156226165121,6.647147826651662,9.587773347327957,30.54709448225835,28.42576862578966,2.8424187660754554,0.0,112.9143523730584,0.0,109.87821964141519,91.59400798629807,76.65108706075927,106.56106454567623,109.66652585891252,109.04115505455533,107.03057620087041,0.0,0.0,0.0,0.0,3.497099689256374,112.0,391.6751652502361,1006551.8744098205,30.0,,0.0
NYM,117758.82440944882,1885.0,28.605396949550254,1885.0,1885.0,944.0,3621.0,3863.0,905.0,706.0,121.0,57.0,21.0,520.0,358.0,207.0,0.0,35.0,0.24975286700569505,0.053585295888687545,,,0.2969194921545431,0.3314034669710069,0.6283229591255501,0.08165059996531192,,,0.2957884826531782,6.363398831956283,56.04082911625576,8.134674903542948,-1.246699456381051,12.254486332028147,-0.3122826898511506,1.4988047165496972,-1.5589821462322015,8.134674903542948,20.328983805888598,15.677135664894173,1.8403997843291788,0.0,107.50912433459985,0.0,99.4338368998556,105.88127336106523,,100.04314742668548,98.50863883743106,95.78256215079783,,0.0,0.0,0.0,0.0,3.2961165274216926,108.0,355.9805850375356,1007500.8237121408,1055.0,,0.0
