Team,xMLBAMID,Season,Age,SeasonMin,SeasonMax,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,SO,HBP,SB,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,TTO%,wOBA,wRAA,wRC,Batting,Fielding,Replacement,Positional,wLeague,Defense,Offense,RAR,WAR,WAROld,BaseRunning,Spd,wRC+,wBsR,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,rFTeamV,rBTeamV,rTV,Events,Q,TG,TPA,playerid,teamid,Pos
BAL,117703.31932139491,1887.0,25.125056637970093,1887.0,1887.0,1269.0,4770.0,5305.0,1324.0,992.0,202.0,99.0,31.0,968.0,760.0,467.0,0.0,68.0,543.0,0.27760159516946276,0.08803015977059378,,,0.3504241276450518,0.38071590091837887,0.7311400285634306,0.10311430574891611,,,0.34595047369192056,8.7513685809378,90.59798938385478,6.4936919608347266,-1.4635249764373233,19.436512265835418,-0.6215450560057871,4.1224253642935444,-2.0850700324431104,9.185024682556165,30.65889228024202,22.22956410648619,2.3514888285390954,2.6913327217214404,7.572383919969382,104.6582725927575,2.6913327217214404,99.30540793974345,112.14077419797835,,101.96626402804769,100.95075124644045,105.6639325302856,,0.0,0.0,0.0,0.0,3.52822908994345,141.0,497.480301602262,1007543.075589067,1006.0,0.0
BRO,119838.8430209569,1887.0,26.240620657711904,1887.0,1887.0,1159.0,4583.0,5058.0,1197.0,907.0,187.0,80.0,23.0,853.0,640.0,431.0,0.0,44.0,376.0,0.260959071390866,0.08521154563523131,,,0.33056544049525505,0.3513084879630289,0.681873928458284,0.0903494165721629,,,0.3247061148845617,0.788652332649719,74.987639898823,-2.8162821814494494,-1.0415183867141162,17.620391871952503,0.20079740274737315,3.7372317310966205,-0.8407209839667431,-2.973699864677092,17.543202754405286,12.400595495655327,1.3409973271255387,-0.1574176832276425,7.333204137365644,91.88284654414666,-0.1574176832276425,93.35193850102664,108.550168749475,,96.18779166435921,93.1530721295565,92.58341592366335,,0.0,0.0,0.0,0.0,3.268090155454725,138.0,450.9964412811388,1009628.3916567813,22.0,0.0
BSN,118967.42379788101,1887.0,27.46394915625685,1887.0,1887.0,1155.0,4531.0,4908.0,1255.0,923.0,185.0,94.0,53.0,831.0,649.0,340.0,392.0,37.0,373.0,0.27717543734678074,0.06927465311735942,0.07986960018235534,1.0262485488300734,0.33251833691544413,0.3947158332748574,0.7272341701903016,0.11754039592807662,0.29503129146821516,0.15994294979828852,0.3381633461250361,7.035845408766843,74.3086527248943,7.103923065443336,1.9596577017114913,15.975598402597624,-0.5430435965728765,0.023895002513553438,1.416614105138615,7.627609127591709,25.0437166378415,18.792725706726166,1.9909837454985198,0.5236860621483737,7.42915946320058,103.52322176457479,0.5236860621483737,101.3440201026293,97.32082433984051,121.12183961042889,100.33527264333523,101.53853833914535,102.00020088192966,103.0569829594497,0.0,0.0,0.0,0.0,3.219667071687042,127.0,408.89771801140995,1008773.0617359413,16.0,0.0
CHI,117963.72535063847,1887.0,26.693531505128743,1887.0,1887.0,1150.0,4350.0,4777.0,1177.0,821.0,178.0,98.0,80.0,813.0,655.0,407.0,400.0,20.0,382.0,0.2712416451590957,0.08519991582499477,0.08373456094578187,1.4456066423317981,0.3357755908840276,0.4128542429752983,0.748629833859326,0.14161259781620264,0.2835922865702324,0.18568138960016747,0.345538948953264,9.755025301448539,76.388912904373,3.3872439997201904,1.7454469332216873,15.823871053065906,-0.23919562250960627,0.02366806106778915,1.506251310712081,3.532136784133971,20.885927208979744,14.343981729520232,1.6629097268046493,0.1448927844137808,7.640154602620082,97.90548027445455,0.1448927844137808,99.17443985226528,119.69350503605347,126.98303281309333,101.31812810940689,106.20454728410921,122.88978023779357,99.06123956905249,0.0,0.0,0.0,0.0,3.189088462817668,127.0,405.01423487544486,1007792.4209755076,17.0,0.0
CIN,117030.73241106719,1887.0,27.186644884623238,1887.0,1887.0,1183.0,4644.0,5060.0,1237.0,932.0,172.0,98.0,35.0,864.0,638.0,363.0,0.0,53.0,520.0,0.26581543809071145,0.0717391297986166,,,0.32667984143754936,0.36762168998043476,0.6943015314179842,0.10180625188972331,,,0.32678421460121515,1.7883731095030897,79.98427821711034,-2.753160930664308,4.687154150197628,18.56955918096919,-0.017380518615687554,3.938547241622987,4.669773631581941,0.5876138210067333,27.765493875180848,19.94297478169661,2.2632886641037295,3.3407747516710415,7.541326624131467,92.02875363611376,3.3407747516710415,95.08918887935656,91.38778774082715,,95.0571616986439,97.47868604512853,104.32353544648738,,0.0,0.0,0.0,0.0,3.520670472579051,135.0,475.2905138339921,1006883.7130434783,18.0,0.0
CLE,118376.44548079059,1887.0,27.265832290362955,1887.0,1887.0,1070.0,4143.0,4503.0,1040.0,805.0,157.0,66.0,12.0,661.0,492.0,328.0,0.0,32.0,321.0,0.25149978008727514,0.07284032819831224,,,0.3109038414887852,0.33015784160248723,0.6410616830912725,0.07865806151521208,,,0.3051481156144808,-3.4954582413574893,61.78688003721951,-6.205197729276004,-9.172773706417944,15.502912108605434,0.326342008342789,3.288120688672413,-8.846431698075154,-5.718070926631367,4.2265301725713265,-2.6218459295198837,0.12465340012116408,0.4871268026446359,6.761669413667073,82.64572914011579,0.4871268026446359,89.96810066266507,92.79059379513008,,90.4666679250201,87.54475990962055,80.6029778752963,,0.0,0.0,0.0,0.0,2.9834529702043073,133.0,396.79924494781255,1008204.8996224739,1026.0,0.0
DET,118096.10212254706,1887.0,29.161050942639392,1887.0,1887.0,1126.0,4607.0,4994.0,1387.0,995.0,211.0,126.0,55.0,957.0,807.0,349.0,255.0,38.0,261.0,0.30103361344793755,0.06988386012154585,0.051061273055666795,2.396293583615138,0.35522627103143767,0.4381835472667201,0.7934098182981577,0.13714993381878254,0.3089553997056467,0.13195835072687226,0.3653367899826731,19.38977874379225,90.67743165758208,17.596395888314653,3.644173007609131,16.929023173698482,-0.4233790836336138,0.025321057846681667,3.220793923975517,15.226209232782756,35.401347388303435,27.848554526286076,2.8338573163437557,-2.370186655531896,7.338944991485928,115.05391500818847,-2.370186655531896,110.06731644357681,98.17667168332109,77.43415906968679,107.1872459264642,112.7203754270038,119.0171318549862,107.9207944494425,0.0,0.0,0.0,0.0,3.4118170152442926,127.0,433.3007609130957,1007923.0616740088,1031.0,0.0
IND,116235.41856314146,1887.0,25.238792520838025,1887.0,1887.0,1093.0,4150.0,4482.0,1038.0,780.0,158.0,69.0,31.0,599.0,473.0,289.0,343.0,43.0,319.0,0.25012299307050423,0.06448014225412761,0.07652833504462292,1.4892743649834896,0.30566711231057564,0.34448328427331554,0.6501503965838912,0.09436029120281125,0.26604883408232927,0.14792503219544845,0.30610781200545967,-1.9951620691267922,61.99807962950023,-3.6369581302002336,4.55644801427934,15.196784118930978,0.4429656493002511,0.022730115365239802,4.999413663579591,-3.7690486968875487,16.449879200988256,8.099576521252615,1.380478810365911,-0.13209056668731584,6.853528871603045,84.29552792312667,-0.13209056668731584,91.45279928305091,90.58523305906495,116.05482814193093,92.233088064498,88.61648360334166,81.88477316218636,92.93315981487318,0.0,0.0,0.0,0.0,3.0627075215640343,127.0,388.96385542168673,1006104.8382418563,1037.0,0.0
LOU,117947.47268986158,1887.0,24.89430129772428,1887.0,1887.0,1232.0,4879.0,5346.0,1411.0,1094.0,192.0,98.0,27.0,947.0,724.0,428.0,0.0,39.0,463.0,0.28970422274653945,0.08005985735372241,,,0.3512906841320614,0.38596278128563416,0.7372534654176955,0.09625855853909464,,,0.3472690261395915,11.548972720809866,94.19747241855215,6.17218627872726,-0.4098391320613543,19.626938319129863,0.05719312080284918,4.162814153258693,-0.3526460112585051,6.831756577941647,30.268863039071697,21.284415483362686,2.344594030831588,0.6595702992143856,7.510913847191871,101.7451638851223,0.6595702992143856,103.634836839281,101.98748257668399,,102.21841426708355,102.3420157391945,98.63866862183049,,0.0,0.0,0.0,0.0,3.666819586853723,137.0,502.3542835765058,1007772.7469135802,1044.0,0.0
NYG,117777.1187308086,1887.0,28.458038205623524,1887.0,1887.0,1156.0,4478.0,4885.0,1256.0,948.0,167.0,93.0,48.0,815.0,650.0,360.0,316.0,47.0,414.0,0.2806815279455476,0.0736949842073695,0.06468781941064482,1.6666538702775846,0.3404298867715456,0.39353412263561927,0.7339640094071649,0.11285259469007167,0.29302741639426816,0.14820880245854656,0.3423322178080236,8.472042265678832,74.73109722289772,9.225449053494286,6.625997952917093,15.734857734685484,-0.1760421877721193,0.023534922176034454,6.449955765144974,10.374045817521504,32.582394239528,24.84468170160539,2.680970916163499,1.1485967640272183,7.19739437441831,106.6974747451268,1.1485967640272183,102.62595662458205,103.53074739504535,98.09874682627286,102.72253200234353,101.23454959348865,97.93218099654786,102.35701205697046,0.0,0.0,0.0,0.0,3.1219839247963157,129.0,402.73592630501537,1007613.4777891504,30.0,0.0
NYM,117848.27509623926,1887.0,26.57554146856841,1887.0,1887.0,965.0,3722.0,4096.0,941.0,713.0,153.0,58.0,17.0,588.0,441.0,342.0,0.0,32.0,248.0,0.2528568211154785,0.08349609348046876,,,0.32104492138378904,0.3385445627773438,0.6595894841611327,0.08568774166186523,,,0.31476843034033664,3.2868083497508174,60.77619809811429,1.9982093508863445,-4.145263671875,13.652282990278763,0.23616217500784842,2.8956078595729196,-3.9091014968671516,1.226072978834299,13.86486233181883,3.7169365465512056,0.9859422420804471,-0.7721363720520458,6.608791910938271,89.34693686255888,-0.7721363720520458,90.45355000892852,106.36487074211045,,93.41751505147964,89.7685856049852,87.80647542426036,,0.0,0.0,0.0,0.0,2.532116877116699,138.0,349.43212890625,1007894.0151367188,1055.0,0.0
