Team,xMLBAMID,Season,Age,SeasonMin,SeasonMax,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,SO,HBP,SB,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,TTO%,wOBA,wRAA,wRC,Batting,Fielding,Replacement,Positional,wLeague,Defense,Offense,RAR,WAR,WAROld,BaseRunning,Spd,wRC+,wBsR,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,rFTeamV,rBTeamV,rTV,Events,Q,TG,TPA,playerid,teamid,playerTeamId,Pos
BAL,116359.168,1894.0,25.772292682926828,1894.0,1894.0,1120.0,4537.0,5125.0,1562.0,1127.0,256.0,146.0,33.0,1124.0,935.0,493.0,183.0,95.0,320.0,0.3446963046312195,0.0961951213609756,0.035707316495024385,4.02558299029561,0.41951219462497563,0.48813783092702445,0.9076500255520001,0.14344152629580487,0.35399788167765855,0.13834146416390244,0.41969884713103134,26.90568576683367,125.24969809698196,20.872297909672756,5.9213658536585365,22.65888274077308,-0.5734394211245746,3.094259682472977,5.347926432533962,22.14520680950918,53.2462756652892,33.939582132682595,3.859703520508018,1.272908899836424,7.441682175224485,115.56262919607161,1.272908899836424,109.22907505705811,102.31404059372326,79.36185507952855,108.46072160307979,109.72295892927816,110.92825868843448,109.18377478640474,0.0,0.0,0.0,0.0,4.1487661179219515,129.0,535.1908292682926,1006222.3988292683,1006.0,,0.0
BRO,116483.12985274431,1894.0,28.58596289921591,1894.0,1894.0,1236.0,4739.0,5229.0,1486.0,1092.0,222.0,130.0,42.0,1006.0,857.0,458.0,289.0,32.0,276.0,0.314383972357621,0.08758844842073053,0.0552686933048384,1.9964962002644866,0.3778925218636451,0.44315365469975143,0.8210461765633965,0.1287696823421304,0.3285938583199464,0.15088927186651369,0.37989820025577714,5.259920928534005,83.97486612468192,6.597085193259878,0.024670109007458405,18.136261383745854,0.08539651678816314,2.4766579637898647,0.11006662579562154,7.234346900235813,27.95733287356715,20.18567990835463,1.931088652722044,0.637261706975934,7.376581045815945,102.22353257514855,0.637261706975934,99.62355282609103,93.15990187934177,122.83829923496745,97.7003675575595,99.6114768684043,99.58201786432844,101.34839692535114,0.0,0.0,0.0,0.0,3.196782868301778,134.0,428.3689041881813,1006347.3471026965,22.0,,0.0
BSN,117787.4151825868,1894.0,27.557486873076225,1894.0,1894.0,1249.0,4985.0,5559.0,1652.0,1184.0,271.0,94.0,103.0,1217.0,1037.0,527.0,261.0,47.0,241.0,0.33148414245979496,0.09480122285554955,0.046950889962223415,2.5067686503180426,0.40043173192318765,0.4852207477166756,0.8856524796398634,0.15373660525688074,0.3352754602352941,0.16028062476524554,0.40595815232769794,19.22939257564453,109.74889713290686,11.080965596923145,1.9726569526893327,20.85608255061103,-0.7610306012956686,2.8480722597394093,1.211626351393664,10.787580733656064,35.70336189540018,23.67718918678753,2.526215430377591,-0.2933848632670796,6.894838198202576,105.62146780596831,-0.2933848632670796,105.04233956236648,100.83147696419657,104.35143524594123,103.52765701122307,109.06726092555135,118.88979682667917,103.40920733269141,0.0,0.0,0.0,0.0,3.703831895718654,133.0,492.6096420219464,1007625.0197877316,16.0,,0.0
CHI,117755.10892756878,1894.0,27.190172543135784,1894.0,1894.0,1215.0,4825.0,5343.0,1510.0,1108.0,258.0,82.0,62.0,1007.0,869.0,483.0,296.0,35.0,323.0,0.3136885378500842,0.09039865204510576,0.055399587883773166,1.8679039518519562,0.3795620434261652,0.44037511212652075,0.8199371555526856,0.12668657427643648,0.3247616777654876,0.1574022082257159,0.3802665771225207,2.9922782058050315,87.33474110774651,-3.6922130803123205,-2.698109676211866,19.432865628335033,-0.3650021869065207,2.6537201024687618,-3.0631118631183867,-1.9020274796815837,17.121446388003825,10.693682166997327,1.0986380441656591,1.7901856006307368,6.918651268077619,93.20726922943672,1.7901856006307368,99.40318008927775,96.14886102439043,123.12922102982044,98.1320058167636,98.98691984100311,97.9710788541652,100.18518596038493,0.0,0.0,0.0,0.0,3.4253284399307513,134.0,458.99401085532475,1007588.2272131761,17.0,,0.0
CIN,117622.3824003222,1894.0,29.929459734964322,1894.0,1894.0,1180.0,4432.0,4966.0,1311.0,971.0,216.0,65.0,59.0,876.0,736.0,495.0,239.0,39.0,208.0,0.2957644849228756,0.09967780850563833,0.04812726493596455,2.486512374522755,0.3715263788973016,0.4141281242416433,0.7856545031389448,0.11836363931876757,0.3024053912919855,0.15968586486911,0.3685056471291733,0.9189157828389165,80.51578237115682,-5.258004134796736,1.4750302053966975,18.3394598595684,-0.30917107844834024,2.5044064127522785,1.1658591269483574,-5.357756619681657,16.65196877958738,8.8354640085891,1.1954006892114315,-0.09975248488492175,6.305626519277859,87.20144049892679,-0.09975248488492175,93.72331727610549,106.01825956920673,106.96600585357115,96.05446436617497,93.08715753771993,91.53466740573025,93.2710726418524,0.0,0.0,0.0,0.0,3.2815783698207808,132.0,433.168344744261,1007464.093838099,18.0,,0.0
CLE,117459.37202797203,1894.0,27.9068,1894.0,1894.0,1153.0,4541.0,5005.0,1380.0,1027.0,231.0,85.0,37.0,894.0,756.0,440.0,266.0,24.0,210.0,0.3051625425354645,0.08791208731548451,0.05314685269410589,2.8019223475572423,0.36843156799120874,0.41809355420879124,0.7865251222,0.11293101167332667,0.3173607522867133,0.14845154904695307,0.3670953738344061,1.4902346853106159,84.59777470972122,-4.345628060425532,1.3982017982017982,19.148334094458498,0.7081080795986788,2.6148649451453108,2.106309877800477,-4.85944318959201,19.010065727812275,10.228855340295318,1.3558382234187552,-0.5138151291664783,6.87088951878908,87.16417814431775,-0.5138151291664783,96.70142039634146,93.5041272677719,118.12236917972861,95.25433166824475,93.9785015021818,87.33342986752483,97.92289345413235,0.0,0.0,0.0,0.0,3.4790271264795205,130.0,452.2735264735265,1007297.6755244755,1026.0,,0.0
LOU,116997.08442463081,1894.0,29.63403068340307,1894.0,1894.0,860.0,3268.0,3589.0,875.0,628.0,146.0,66.0,35.0,531.0,423.0,277.0,277.0,44.0,188.0,0.2675554502139872,0.0771802725344107,0.07718027235469489,1.1671525313505156,0.3332404564168292,0.3847553058793536,0.7179957622961827,0.11719985566536639,0.28418198667539707,0.164112565697966,0.33527516599616886,-15.912414816657083,52.12492398633609,-16.487369213406595,-0.4639175257731959,15.676095019957462,0.013726372009168663,2.140701699805648,-0.4501911537640272,-15.169240081060252,2.1973654849388295,0.6505215791900119,0.13735757532358817,1.3181291323463442,6.746462037714374,76.41792637805776,1.3181291323463442,84.78429841194665,82.08966759850486,171.53822215862536,86.15601842663851,86.48477530341926,90.63467353717897,87.65041724112066,0.0,0.0,0.0,0.0,2.8702408944274174,129.0,370.2610755084982,1006847.1242685985,1044.0,,0.0
NYG,118040.73660030628,1894.0,26.68989280245023,1894.0,1894.0,1262.0,4724.0,5224.0,1422.0,1094.0,190.0,96.0,42.0,930.0,775.0,468.0,217.0,32.0,317.0,0.30106508879421895,0.08958652319391272,0.041539049935298625,3.7470901191238513,0.36791730425995406,0.40861437119984684,0.776531675459801,0.10754928240562787,0.30884757720731243,0.13916538913093415,0.3645714323562648,-4.448021465150364,79.20350585816904,-6.788218485176707,4.149502297090352,19.27367110406783,-0.045724417633486836,2.631980760606857,4.103777879456866,-5.440161129969831,20.569268614161725,16.40754781422693,1.5486594267044336,1.3480573552068762,7.131418639383678,89.88863270065922,1.3480573552068762,95.40299892726259,95.28507309967341,92.32326550122671,95.1213738755969,91.84778361457556,83.17155379289837,95.25803983153654,0.0,0.0,0.0,0.0,3.3228753283078105,137.0,455.23392036753444,1007872.4263016846,30.0,,0.0
PHI,115979.4823434992,1894.0,27.04473100947008,1894.0,1894.0,1111.0,4474.0,4988.0,1573.0,1184.0,235.0,118.0,36.0,1060.0,891.0,464.0,220.0,50.0,263.0,0.3526444923867282,0.0930232554159984,0.04410585347955092,3.1189838137530073,0.4184041695182439,0.4823601561537691,0.9007643256720127,0.1297156637670409,0.3641729383901363,0.14434643158580593,0.4172789919538888,25.386245753623786,107.5775027622926,22.076485213652813,0.7892943063352045,18.937218553012457,-0.7714836344275244,2.5860353547496437,0.017810671907680074,22.66648301499102,44.2075475946608,28.446471080347866,3.0767597358841723,0.5899978013382067,7.073806519195687,116.31664218860745,0.5899978013382067,111.747736224148,98.94041398500526,98.02815488783062,108.1742526894934,108.42426103764231,100.31357778931503,112.3671284942325,0.0,0.0,0.0,0.0,3.4673417760124297,129.0,447.28708901363274,1005860.4047714515,26.0,,0.0
PIT,116301.05461830451,1894.0,27.581802828794597,1894.0,1894.0,1127.0,4280.0,4742.0,1331.0,960.0,210.0,115.0,46.0,886.0,741.0,399.0,187.0,63.0,241.0,0.3118981604683677,0.08414171183804302,0.039434837155841417,3.6580653900301567,0.37811050112863775,0.4483953852962886,0.8265058864249262,0.1364972248279207,0.31848499010691694,0.13327709781105018,0.38127586789796847,6.420908885929002,88.50678861391967,5.668978149009263,1.4076339097427246,18.912939175042684,-1.204059366304121,2.582719802909473,0.2035745434386036,6.35411187117421,28.053345392564975,18.327967904740824,1.98052697744835,0.6851337221649466,7.044287615613019,100.439331669257,0.6851337221649466,98.83583642246013,89.4939202614837,87.64651445825648,97.7567239368937,100.78970595560683,105.55799186590097,98.23051275868293,0.0,0.0,0.0,0.0,3.3841941127351327,132.0,446.71362294390553,1006173.9162800506,27.0,,0.0
