Team,xMLBAMID,Season,Age,SeasonMin,SeasonMax,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,HBP,SH,SB,AVG,BB%,OBP,SLG,OPS,ISO,wOBA,wRAA,wRC,Batting,Fielding,Replacement,Positional,wLeague,Defense,Offense,RAR,WAR,WAROld,BaseRunning,Spd,wRC+,wBsR,AVG+,BB%+,OBP+,SLG+,ISO+,rFTeamV,rBTeamV,rTV,Events,Q,TG,TPA,playerid,teamid,playerTeamId,Pos
BAL,117807.79756053159,1897.0,27.09685053704715,1897.0,1897.0,1295.0,4869.0,5493.0,1583.0,1255.0,243.0,66.0,19.0,964.0,821.0,437.0,115.0,72.0,401.0,0.3257406988962316,0.07955579780575278,0.39413844088494443,0.41448608792408526,0.8086245288090296,0.08874538902785363,0.38823351989629823,21.95455100879287,89.92535447108595,18.67020197463077,4.866739486619334,16.448965360520887,-0.640827214262936,1.989389982915877,4.225912272356398,21.782686171645228,44.44695378743839,36.038054484639424,3.730738056224837,3.1124841970144543,6.4792076239330125,113.97030826609092,3.1124841970144543,109.29341374095723,103.46080333836007,108.90873472692087,104.662486082246,90.57570656769167,0.0,0.0,0.0,0.0,3.3142274672692515,136.0,450.734935372292,1007642.379938103,1006.0,,0.0
BRO,117233.18297712786,1897.0,29.718276608302183,1897.0,1897.0,1279.0,4810.0,5334.0,1343.0,1045.0,202.0,72.0,24.0,802.0,644.0,351.0,58.0,115.0,187.0,0.2797080030729284,0.06580427402980876,0.3357921689940008,0.36631786414679407,0.7021100331407949,0.08660986107386576,0.3361306541066109,-1.8209668461371138,65.5785229311017,-0.8869856103530661,1.1739782527184102,16.31070718882423,-0.8097926737593273,1.972668601613091,0.36418557895908293,-1.0770600966220325,17.570501272774376,12.40380003004825,1.4612857439658977,-0.19007448626896573,6.014268760692165,91.44490251290145,-0.19007448626896573,93.84839723772127,85.57720797225534,92.786433554246,92.49945770185656,88.39613469983045,0.0,0.0,0.0,0.0,3.2863704526865396,136.0,446.9463817022872,1007083.9319460067,22.0,,0.0
BSN,117290.59927338782,1897.0,28.07229791099001,1897.0,1897.0,1281.0,4923.0,5505.0,1571.0,1215.0,228.0,83.0,45.0,1025.0,881.0,421.0,47.0,114.0,233.0,0.3196433334188919,0.07647593052733878,0.37794857781198904,0.4265296986526795,0.8044782764646685,0.10688636523378747,0.3812160782460111,15.200421921383114,87.13002336951592,9.995803082612605,5.648319709355132,17.406996274110163,-0.48016300864592126,2.105257276757506,5.16815670070921,10.256997592887357,34.93740784446423,30.08931538059338,2.965417244178658,0.26119451027475193,6.505270038648564,107.83255886765551,0.26119451027475193,107.24760893332095,99.45549446598523,104.43513530150379,107.70363577818549,109.09082893832463,0.0,0.0,0.0,0.0,3.533236451892824,135.0,476.9869209809264,1007139.5520435967,16.0,,0.0
CHI,115716.20575673167,1897.0,28.989043639740018,1897.0,1897.0,1278.0,4803.0,5385.0,1356.0,1032.0,189.0,97.0,38.0,832.0,681.0,430.0,49.0,103.0,264.0,0.2827593198980501,0.0798514387481894,0.3473715031064067,0.38685763775190346,0.7342291408583101,0.10409831785385332,0.3497149812991003,2.804548217671866,62.79814304854314,-0.5056178378151915,-1.934447539461467,14.518477242564508,-0.8062650613182379,1.7559106339217996,-2.740712600779705,0.5274289688071572,14.06110424451376,10.623775549401799,1.1175788556957043,1.0330468066223484,6.761229379982248,92.25920416781072,1.0330468066223484,94.87218343745867,103.84527876627155,95.98604692951312,97.68598586699723,106.2452798439094,0.0,0.0,0.0,0.0,2.88286706391272,138.0,397.83565459610026,1005594.5756731662,17.0,,0.0
CIN,117084.88055260362,1897.0,29.588522848034007,1897.0,1897.0,1192.0,4159.0,4705.0,1185.0,908.0,202.0,60.0,15.0,687.0,541.0,362.0,53.0,131.0,171.0,0.2852492293883103,0.07693942546631244,0.3499917841538789,0.37326288639808713,0.723254670551966,0.08801365700977683,0.3476974705741586,-0.07097993039591138,60.21794065139778,-5.49559369683304,1.0550478214665249,14.58994620864326,-0.1981213993461175,1.76455431710127,0.8569264221204075,-5.487985058127633,11.723441889737305,10.541062916440161,0.979905158536177,0.007608638705406635,5.978054521615457,87.82595565172251,0.007608638705406635,95.70760470664194,100.05826082685516,96.71008565273024,94.25315539134326,89.82888303937622,0.0,0.0,0.0,0.0,2.9835376797279487,134.0,399.79404888416576,1006937.7492029755,18.0,,0.0
CLE,118656.28265697557,1897.0,28.274334484860802,1897.0,1897.0,1159.0,4397.0,4953.0,1302.0,1015.0,187.0,85.0,15.0,740.0,636.0,424.0,37.0,95.0,163.0,0.29704825403674545,0.08560468344478095,0.3629907128041591,0.38841359754330707,0.7514043103474661,0.09136534350656166,0.3600618230006921,9.549848169508094,72.17000485682748,6.790969729256593,1.768826973551383,15.15410640675333,0.6734784811542608,1.8327856387851083,2.442305454705644,5.888567548933432,25.317765049177517,18.190215713081184,2.1069951571246976,-0.9024021803231618,6.137556976411683,98.97961326088972,-0.9024021803231618,99.6664458554785,111.32726417184654,100.30196283408037,98.07888354138709,93.24969595106899,0.0,0.0,0.0,0.0,3.194255229145972,130.0,415.25317989097516,1008467.3208156673,1026.0,,0.0
LOU,117743.78155844155,1897.0,25.648098553829673,1897.0,1897.0,970.0,3455.0,3850.0,911.0,692.0,134.0,57.0,28.0,511.0,445.0,273.0,61.0,61.0,148.0,0.26398123971298704,0.07090909041454546,0.3281083545064935,0.3607442978766234,0.6888526523831168,0.09676305816363635,0.329657806434571,1.682886031659794,54.01446216488311,-0.26998936384256983,3.3425974025974026,12.664265231973939,-0.4430921377309344,1.5316563590040262,2.8995052648664683,0.04949756463125052,17.144924420475686,6.1123682171001406,1.4655227834367976,0.3194869284738194,6.212592358229387,83.0059602189232,0.3194869284738194,88.57171041127178,92.2159246796062,90.66323412251363,91.09206836075262,98.75873506026572,0.0,0.0,0.0,0.0,2.6092217561376625,133.0,347.0264935064935,1007568.404935065,1044.0,28.0,0.0
NYG,118837.51269806815,1897.0,28.114942528735632,1897.0,1897.0,1100.0,4167.0,4607.0,1276.0,1011.0,167.0,70.0,28.0,777.0,661.0,349.0,59.0,32.0,275.0,0.3062739273171261,0.07575428645886693,0.3681380782142392,0.4010179637605818,0.769156041974821,0.09474403644345561,0.3671506280014067,9.880784693877505,80.2828208342259,8.931172362424377,2.4006945951812457,17.037324774675582,0.5606085367554151,2.060548034454052,2.961303131936661,10.932083654374239,32.991259595440525,23.12629576462763,2.7473260699341413,2.0009112919498633,6.795390530607515,105.78189881083121,2.0009112919498633,102.76186908717222,98.51701006751615,101.72428807779488,101.26163042294864,96.69807229362338,0.0,0.0,0.0,0.0,3.432773338111569,136.0,466.8571738658563,1008655.0842196657,30.0,,0.0
PHI,115476.22544495715,1897.0,26.974878801234023,1897.0,1897.0,1097.0,4083.0,4551.0,1211.0,905.0,193.0,74.0,39.0,648.0,558.0,357.0,36.0,75.0,130.0,0.2960817266611734,0.07844429760096681,0.3581936013049879,0.40679587102482967,0.7649894723298175,0.11071414436365636,0.36337945855754744,10.689277790724198,72.61782167165312,8.922407300357401,0.3750823994726434,14.986735792964422,-1.0353362304306875,1.8125433065041194,-0.660253830958044,8.075139638261597,24.214164906772094,15.617166069092647,1.9914014485942038,-0.8472676620958035,5.631957193734809,102.27998763930816,-0.8472676620958035,99.34215393645115,102.01531844260566,98.97642010715003,102.72061820624819,112.99755359265143,0.0,0.0,0.0,0.0,3.087720950237311,133.0,410.6668863985937,1005363.3539881344,26.0,,0.0
PIT,117153.39424668874,1897.0,27.715641855447682,1897.0,1897.0,1194.0,4337.0,4832.0,1211.0,948.0,133.0,105.0,25.0,644.0,549.0,336.0,65.0,94.0,153.0,0.27879567721481785,0.06953642352317882,0.3400964455151076,0.3756484949254967,0.7157449404406043,0.0968528177106788,0.3417754238158624,-0.9835755099072796,60.01281763945981,-1.5592915174698434,-2.6630794701986753,14.761154891853684,-0.15157365740048667,1.785260837657542,-2.814653127599162,-2.0885664174973755,11.643196184414686,8.465442155999614,0.9062596144213496,-0.5292749000275323,6.095686760590382,92.29941889111736,-0.5292749000275323,93.54229116066394,90.43079747060608,93.97579561894595,94.85554887708894,98.85034584121587,0.0,0.0,0.0,0.0,3.0185486061941225,134.0,404.48551324503313,1007007.4695778146,27.0,,0.0
