Team,xMLBAMID,Season,Age,SeasonMin,SeasonMax,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,SO,HBP,SH,SB,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,TTO%,wOBA,wRAA,wRC,Batting,Fielding,Replacement,Positional,wLeague,Defense,Offense,RAR,WAR,WAROld,BaseRunning,Spd,wRC+,wBsR,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,rFTeamV,rBTeamV,rTV,Events,Q,TG,TPA,playerid,teamid,playerTeamId,Pos
BOS,119672.02697960079,1918.0,28.500548365869708,1918.0,1918.0,1251.0,3938.0,4559.0,983.0,757.0,158.0,54.0,14.0,468.0,388.0,404.0,322.0,27.0,190.0,108.0,0.2500350024158806,0.08861592409629307,0.07062952361987276,1.6262651887341522,0.3231474420519851,0.3289828957696863,0.6521303378216713,0.07894789335380566,0.2704185604193902,0.16231629656284274,0.3218721636331848,3.6729495001137216,39.341649101458955,2.8383624098276123,4.3010092145677925,9.692014711608088,-0.39474599998763815,1.5738115528450118,3.905319803916727,2.9065837145244293,18.077729782894252,22.322685433374428,2.0669626296438666,0.06822130469681728,4.850671001467667,101.00382460402264,0.06822130469681728,96.0436377531972,102.52738748202064,108.3557197419788,97.52703006480833,99.141555460578,110.42173773842538,97.00529523135377,0.0,0.0,0.0,0.0,2.91333556309059,126.0,367.0802807633253,1009466.6152665059,3.0,,0.0
BRO,118252.45250165307,1918.0,29.903683976919663,1918.0,1918.0,1243.0,4175.0,4537.0,1043.0,851.0,121.0,61.0,10.0,356.0,303.0,209.0,313.0,36.0,117.0,113.0,0.2496879251644259,0.046065681788847256,0.06898831776085518,0.8651361850952171,0.29121280089728896,0.31523614158915586,0.6064489424864447,0.06554821642473,0.2675370239316729,0.11725809975314085,0.29715919267372787,-3.2802257030569484,33.21524848374183,-5.298416576906568,-0.07560061714789508,9.91666858278811,-0.1521858080387352,1.0739926271398603,-0.22778642518663028,-4.998438950585122,5.7644358341562185,5.804557491612217,0.6863081449275735,0.29997762632144687,4.7887763538147965,81.8616591527583,0.29997762632144687,95.59836499736038,66.41668134902544,103.37698981323985,91.33417735548647,93.43444541950046,86.01766381108494,95.9268655939458,0.0,0.0,0.0,0.0,2.980864565832048,126.0,375.58893541988095,1008075.3028432885,22.0,,0.0
BSN,119634.96482626305,1918.0,29.15284587507994,1918.0,1918.0,1261.0,4162.0,4691.0,1014.0,835.0,107.0,59.0,13.0,424.0,353.0,350.0,438.0,28.0,151.0,83.0,0.24395425190471118,0.07461095673950117,0.09337028312513326,0.891735447598593,0.30644404994649327,0.307879476280324,0.6143235262268173,0.06392522437561288,0.2703925267925815,0.17075250442762738,0.3037326850939749,-1.6757820792979135,29.320358145185974,-1.6660139064725321,-1.0162358470412305,8.422371726930999,0.0061315259183680575,0.9121576527680942,-1.007937968858865,-2.1747679422211545,6.151823468619074,9.572006541769072,0.7499893287754043,-0.5087540357486223,4.4457688834356635,91.50028115253251,-0.5087540357486223,93.40310550014259,107.57275148184395,139.91265653042308,96.11121187360939,91.25396592307452,83.88784255791118,96.95072178818778,0.0,0.0,0.0,0.0,2.572525631771477,124.0,318.99317842677465,1009435.3677254317,16.0,,0.0
CHC,117624.20428571428,1918.0,27.914285714285715,1918.0,1918.0,1355.0,4325.0,4900.0,1147.0,909.0,164.0,53.0,21.0,538.0,438.0,358.0,343.0,27.0,190.0,159.0,0.265558344457347,0.0730612240889796,0.06999999962836734,1.3593407571663267,0.32529256012693875,0.34277859030612245,0.6680711504330613,0.0772202458487755,0.28492570512530613,0.1473469374755102,0.3283217272398016,6.680422168305651,47.61654814550008,3.9024389988716295,0.28358513679052677,11.123296886109271,-0.30455068336381597,1.2046725919532912,-0.02108129560871392,4.533417276530635,16.84030545898449,19.857940485295998,1.9955028372374326,0.6309782776590056,5.374388099667222,100.95675708882578,0.6309782776590056,101.67469462053585,105.33837448732409,104.89296569881775,102.02274174593353,101.59789206109372,101.33464355138872,102.16167249732091,0.0,0.0,0.0,0.0,3.215949523797959,131.0,421.28938775510204,1007463.6151020408,17.0,,0.0
CHW,117484.04497016198,1918.0,27.61018755328218,1918.0,1918.0,1287.0,4130.0,4692.0,1057.0,858.0,136.0,55.0,8.0,457.0,375.0,375.0,358.0,27.0,160.0,116.0,0.25567572518222503,0.07992327314066495,0.07630008475937768,1.5918890725031967,0.3219867278751066,0.3206103793721228,0.6425971072472293,0.06493465418989772,0.2770595270451833,0.1579283881223359,0.3179498552781063,2.3387798843695653,35.2070116133379,0.14137088569390172,-0.4998933219543418,8.93106250079525,-0.28267458435195636,1.4502463895455955,-0.7820351981626981,0.1328695707761463,9.732143262954295,13.133455267237848,1.1656925233754512,-0.008501314917755553,4.826072852436527,94.48129505062697,-0.008501314917755553,98.21035652777861,92.47011163840149,117.05516583931968,97.17672246000028,96.61843249750835,90.82189594292184,99.38570613141549,0.0,0.0,0.0,0.0,2.7278999254156013,124.0,338.2595907928389,1007328.3339727195,4.0,,0.0
CIN,117010.21219931271,1918.0,28.379295532646047,1918.0,1918.0,1260.0,4166.0,4656.0,1166.0,905.0,162.0,84.0,15.0,524.0,440.0,301.0,283.0,31.0,158.0,128.0,0.2804898484450172,0.06464776591086768,0.06078178650386598,1.4311664485530498,0.3330169662089777,0.3706001236589347,0.7036170898679123,0.09011027521391754,0.2971044771396048,0.1286512031808419,0.3431414512482685,8.99303300057754,48.96391292827756,8.800619370056673,-0.6237113402061856,10.861017099725677,-0.18877304846715323,1.1762672303671728,-0.8124843886733388,8.95116909474994,20.175969036169448,25.422347011084987,2.4088868866835687,0.15054972469326608,5.730275662029612,116.69363662800681,0.15054972469326608,107.39154042808879,93.20800000550548,91.07974115301549,104.44537657822433,109.84405801920911,118.24998119019412,106.52843792270485,0.0,0.0,0.0,0.0,3.1888036443470793,129.0,411.3556701030928,1006862.2746993128,18.0,,0.0
CLE,118954.57482284286,1918.0,28.12796998749479,1918.0,1918.0,1332.0,4113.0,4798.0,1074.0,825.0,173.0,67.0,9.0,499.0,417.0,480.0,378.0,40.0,165.0,164.0,0.261832674412672,0.1000416834597749,0.07878282580741976,2.0012919467621924,0.3439659402992914,0.34358473007544815,0.6875506703747394,0.08175205566277616,0.28521872640391827,0.18070029115464775,0.3395178660896131,10.050701486681637,45.18420008718833,5.939426365876009,-2.086702792830346,9.546588160268414,0.12431347672720783,1.5501968562727224,-1.962389316103138,6.668953993698934,15.803349694136934,18.732373058490513,1.9168881379247489,0.7295276278229264,5.3657749546656035,103.4140470381972,0.7295276278229264,100.5753686094483,115.74683161108136,120.86404319550027,103.81012576742751,103.54193184569051,114.3438243439471,102.39651537316776,0.0,0.0,0.0,0.0,2.802886214877032,129.0,361.57232180075033,1008762.471446436,5.0,,0.0
DET,117966.81695487136,1918.0,28.537536904259806,1918.0,1918.0,1302.0,4148.0,4742.0,1037.0,832.0,138.0,54.0,13.0,464.0,375.0,433.0,368.0,21.0,140.0,121.0,0.24945761916343315,0.09131168249135385,0.077604385943062,1.9403351284981023,0.32396005722437793,0.3176486963926613,0.6416087536170393,0.06819107722922818,0.270541362772248,0.1716575285301561,0.3186977673166636,4.260290094008719,37.039652464586545,1.6993528081109406,-4.477325458763974,8.90691463057406,0.028073524967470734,1.4463252030573832,-4.448307748756696,1.8606974090615416,7.765629493936289,9.081390855877919,1.0068634203287492,0.1613446009506007,4.632514890873739,93.90941086676848,0.1613446009506007,95.84206417023496,105.64634232390637,119.05614908648214,97.7722801705985,95.74609736590986,95.39666166500973,97.02640711753304,0.0,0.0,0.0,0.0,2.635507828975116,128.0,337.34500210881487,1007794.0257275411,6.0,,0.0
NYG,118444.92936472679,1918.0,28.13038649489116,1918.0,1918.0,1298.0,4080.0,4502.0,1061.0,847.0,149.0,52.0,13.0,471.0,395.0,269.0,350.0,33.0,120.0,128.0,0.2599573637558863,0.05975122109973346,0.07774322484717903,1.0508034012327856,0.3104270377754332,0.33139136879431363,0.6418184065697468,0.07143400503842738,0.28122554656663706,0.14038205217681032,0.31487306817013333,3.468252778151328,37.62362010249936,3.289650034255812,3.8809418036428256,9.280807158315197,-0.24518788937911198,1.005127717915017,3.6357539142637134,3.7118300384498757,17.633518828943807,18.41735096083781,2.0220695907618778,0.42218000419406443,5.302090023549784,98.25931356179852,0.42218000419406443,99.53023930861475,86.14824871553188,116.49596372149044,97.36041148177306,98.22277548511587,93.74147101516806,100.85736316589613,0.0,0.0,0.0,0.0,2.8347257849200354,124.0,351.505997334518,1008263.3205242115,30.0,,0.0
NYY,116935.42890295359,1918.0,28.215822784810126,1918.0,1918.0,1337.0,4185.0,4740.0,1076.0,852.0,159.0,45.0,20.0,489.0,405.0,366.0,363.0,21.0,168.0,88.0,0.25695774318016873,0.07721518937362867,0.07658227803607594,1.430233153471941,0.31959707247784813,0.33045901260316457,0.6500560850810125,0.07350126942299579,0.2765774906635021,0.1580168780274262,0.32067491280155885,3.873115330928331,38.89179900345178,0.9527921514044276,2.8455696202531646,9.515390275748848,0.28804385720787545,1.5451308723114714,3.13361347746104,0.34242885562086,14.536563481142219,16.03603510836805,1.6735909195634593,-0.6103632957835677,4.632584134581975,94.70579542135366,-0.6103632957835677,98.70280626880641,89.33689651314937,117.48809040168199,96.45551608964175,99.58639475403183,102.80372978788483,99.17027864324176,0.0,0.0,0.0,0.0,2.860243787506329,126.0,360.39071729957806,1006787.3213080169,9.0,,0.0
