Team,xMLBAMID,Season,Age,SeasonMin,SeasonMax,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,SO,HBP,SH,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,TTO%,wOBA,wRAA,wRC,Batting,Fielding,Replacement,Positional,wLeague,Defense,Offense,RAR,WAR,WAROld,BaseRunning,Spd,wRC+,wBsR,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,rFTeamV,rBTeamV,rTV,Events,Q,TG,TPA,playerid,teamid,Pos
ABC,,1920.0,26.758889582033685,1920.0,1920.0,896.0,2975.0,3259.0,776.0,631.0,93.0,39.0,13.0,414.0,328.0,272.0,0.0,12.0,121.0,76.0,0.0,0.2607515518766493,0.08346118399509052,,,0.32525314469407796,0.33138839599938635,0.6566415406934644,0.07063684412273703,,,0.31648593446015216,0.2771950076876245,31.611728116604326,2.1952598642744725,1.7348066298342542,8.047047149896937,0.1591821086460661,0.8938379788182015,1.8934564259213038,4.176538595960918,15.010880150597357,12.480311210330733,1.555230748711472,1.981278731686444,4.979308850792927,95.4232225056206,1.981278731686444,99.57870941556355,99.10868737453575,,98.33884655690193,97.5963383442779,90.9151984820929,,0.0,0.0,0.0,0.0,2.856236173399816,95.0,271.3424363301626,1015567.1865602946,1148.0,0.0
BOS,118562.47053741144,1920.0,28.228097459823744,1920.0,1920.0,1584.0,5013.0,5787.0,1354.0,1049.0,213.0,70.0,22.0,628.0,558.0,516.0,411.0,44.0,214.0,96.0,103.0,0.2701702435261793,0.08916537012890963,0.07102125400207362,1.7180214380143426,0.3428497575844134,0.3540610022871954,0.6969107598716088,0.08389075876101608,0.2907489477663729,0.16398824918092278,0.33477794425564017,5.34172132980936,57.24489098895097,-0.8808953509681958,2.667530672196302,13.329295573814035,-0.057128031531624664,2.3954107592311074,2.6104026406646774,-2.0404660163063917,16.29464295740343,17.4863699464254,1.6850364141087655,-1.1595706653381959,4.510197780765874,90.85776483923064,-1.1595706653381959,92.76160651987588,109.20623088087179,110.24394842561968,96.3269633858036,88.51872490152958,77.1536502875074,94.62910035716403,0.0,0.0,0.0,0.0,2.918553452854675,154.0,449.45723172628306,1008381.7537584241,3.0,0.0
BRO,118693.77203751066,1920.0,30.24143222506394,1920.0,1920.0,1617.0,5311.0,5865.0,1479.0,1148.0,204.0,99.0,28.0,645.0,561.0,351.0,380.0,18.0,185.0,67.0,78.0,0.278496725056607,0.0598465467660699,0.0647911333202046,1.19615743328474,0.32523449887178174,0.37023618454322244,0.6954706834150043,0.09173945948661552,0.29613229145251485,0.1294117647774936,0.32943093173531335,2.719623037071616,58.283888575743674,2.763703286347009,0.8260869565217391,14.269504609655426,0.32332033372189584,1.7510476616713817,1.149407290243635,1.8413227001054697,19.011282261675913,20.299250378752106,1.975288459451055,-0.9223805862415394,4.845009064592736,97.95222751191017,-0.9223805862415394,100.71554757168059,90.67208276944251,98.47791313907943,98.51649988054297,100.78009763032134,100.97656237128142,100.93080382974998,0.0,0.0,0.0,0.0,3.1042620253895987,155.0,481.16061381074167,1008507.8143222507,22.0,0.0
BSN,117143.89078557743,1920.0,27.822330604424316,1920.0,1920.0,1624.0,5167.0,5741.0,1353.0,1076.0,168.0,86.0,23.0,519.0,453.0,381.0,475.0,33.0,160.0,88.0,97.0,0.2621722192773036,0.0663647444379028,0.08273819841752307,0.9826770852616269,0.31664355857742554,0.34115851537554437,0.6578020739529699,0.07898629609824073,0.28508465391830684,0.15310921455321372,0.314560146644777,-4.694101534451869,45.369862547921734,-2.602566986863644,-1.1595540846542414,12.85696768103321,0.2802958123540343,1.5777116171800558,-0.8792582723002071,-3.8756470702357744,9.679773955677284,14.274653454559004,1.0121807754389986,-1.27308008337213,4.653924775905696,92.44800452675968,-1.27308008337213,94.81195377514517,100.54764937678932,125.75617525899807,95.91422560945972,92.86501407036023,86.93930288093908,97.19929767760311,0.0,0.0,0.0,0.0,2.8335331352726008,153.0,433.5305695871799,1006996.1473610869,16.0,0.0
CAG,,1920.0,27.191244239631338,1920.0,1920.0,599.0,1937.0,2175.0,499.0,398.0,71.0,26.0,4.0,306.0,275.0,221.0,0.0,17.0,82.0,54.0,0.0,0.25835062789103447,0.10160919478206897,,,0.3388505743186207,0.3284098258970115,0.6672604002156322,0.07005919800597701,,,0.3238089798236715,0.8496399632076532,24.81817406569549,2.316813664698132,4.177092916283349,6.155378903084617,0.2576660634152651,0.683718056462962,4.432838477208368,3.807142233468072,15.079077670224018,12.437173362208396,1.5523744963562636,1.49032856876994,5.112484468282043,100.46851815310225,1.49032856876994,98.57099685606293,120.65913084370764,,102.44996913090152,96.63009473414733,90.08871672315772,,0.0,0.0,0.0,0.0,3.097855549673563,67.0,207.55632183908045,1015657.1245977011,1151.0,0.0
CHC,117601.63745911517,1920.0,29.392838698571182,1920.0,1920.0,1635.0,5115.0,5809.0,1349.0,1025.0,223.0,67.0,34.0,618.0,536.0,428.0,421.0,46.0,220.0,115.0,129.0,0.2641342525686005,0.07367877388827682,0.072473747193665,1.41261948939456,0.32614695069994837,0.35394904768514374,0.680095998385092,0.0898147951165433,0.28227246466448613,0.15200550877948008,0.3251604988992778,1.355272074828993,48.43835242478366,1.869338373213989,-1.2699259769323463,12.091444484636517,0.026910676142012608,1.4837722941499762,-1.2430153007903337,0.11801624829426421,12.450217726290424,15.372984607828219,1.300973278270846,-1.7513221249197248,4.832152165279859,96.21852066901305,-1.7513221249197248,95.52150343770107,111.62896182568811,110.15493965399905,98.79288987217181,96.34665943275384,98.85810655198658,96.27324990770387,0.0,0.0,0.0,0.0,2.6475162796264415,154.0,407.7175073162334,1007440.7431571699,17.0,0.0
CHW,117533.34015829318,1920.0,29.168272539573298,1920.0,1920.0,1515.0,5142.0,5812.0,1529.0,1141.0,255.0,97.0,36.0,761.0,679.0,446.0,335.0,38.0,186.0,108.0,94.0,0.29731665107278044,0.07673778353337922,0.05763936648709566,2.012120752332932,0.35788044113265655,0.4054577369898486,0.7633381781225052,0.10814108591706813,0.3105899507278045,0.14057123061768753,0.3616673337730763,19.726579763254453,79.41613397732178,9.899473249725363,1.5182381280110118,15.32892337815768,0.7513663538027213,2.7547643297523035,2.269604481813733,9.21295240239833,29.566244592122047,25.562814655224784,3.071005782459529,-0.6865208473270317,5.4720353291170065,101.84896864034022,-0.6865208473270317,102.08219024663997,93.98541265198527,89.47168612515958,100.54997965396807,101.36841292306063,99.45647944757856,101.08668610200658,0.0,0.0,0.0,0.0,3.356387590338954,154.0,516.883688919477,1007374.9046799724,4.0,0.0
CIN,117682.03716877112,1920.0,29.330784278854704,1920.0,1920.0,1522.0,5018.0,5623.0,1393.0,1133.0,166.0,76.0,18.0,626.0,525.0,367.0,354.0,46.0,192.0,156.0,125.0,0.27801455624257515,0.06526765016290235,0.06295571702614264,1.3966026689277966,0.33272301781824654,0.3524973006549884,0.685220318473235,0.0744827444124133,0.29602983469375777,0.13142450534234396,0.32758253102418644,2.7106531924535564,61.194150728010015,5.247585236195371,2.8824470922994845,15.019194973279577,-0.5123355246274715,1.8430440970145798,2.3701115676720126,4.155940014378991,23.38829065234516,22.723183327654105,2.4224530305848457,-1.0916452218163788,5.398588758254896,101.03492400273333,-1.0916452218163788,100.5411760557594,98.8854678761999,95.68821095116725,100.78484065759467,95.9514868009537,81.98229561011917,100.89588348057623,0.0,0.0,0.0,0.0,3.2885701341365827,154.0,506.43980081806865,1007520.8118442113,18.0,0.0
CLE,118286.09337349398,1920.0,29.412817938420346,1920.0,1920.0,1612.0,5122.0,5976.0,1554.0,1130.0,295.0,94.0,35.0,847.0,740.0,570.0,370.0,34.0,250.0,72.0,93.0,0.3038435691337015,0.09538152547841365,0.06191432347004685,2.2803602811654953,0.37647536070766396,0.4191017406695114,0.7955771013771754,0.11525817153580992,0.322216430001506,0.1631526100502008,0.37666544553071746,18.835695652242716,75.9377223138239,8.009772737742558,2.6194779116465865,14.664418304980504,0.4980099310760587,2.635345970917246,3.117487842722645,6.536579510622581,26.95383162924298,31.680223133918698,2.794620004663785,-1.4731932271199788,5.262967875135439,107.98013566631461,-1.4731932271199788,104.3231750310948,116.81953294318446,96.10756074850055,105.77440258978625,104.77954772885286,106.00200535537165,104.88826952039759,0.0,0.0,0.0,0.0,3.210889011186412,154.0,494.4769076305221,1008106.8182730924,5.0,0.0
COG,,1920.0,28.05188679245283,1920.0,1920.0,377.0,1245.0,1364.0,297.0,240.0,39.0,13.0,5.0,134.0,115.0,106.0,0.0,13.0,50.0,20.0,0.0,0.23883204152859233,0.07771260945894429,,,0.304985336872434,0.302623278233871,0.607608615106305,0.06379123670527861,,,0.2951644056441148,-1.831500239098934,12.214179418831392,-0.9717291857020477,-5.506598240469208,3.607082513942113,-0.015423754466386223,0.40066216633685175,-5.522021994935595,-0.35233631917349295,-1.8666136338301227,-3.0578758159780546,-0.1718173046282481,0.6193928665285547,3.947170908359261,80.87186158582958,0.6193928665285547,91.1238830995655,92.28235626730336,,92.21096470262479,89.04275614965174,82.02878160939635,,0.0,0.0,0.0,0.0,3.040725806451613,40.0,121.62903225806451,1015537.5505865102,1157.0,0.0
