Team,xMLBAMID,Season,Age,SeasonMin,SeasonMax,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,SO,HBP,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,TTO%,wOBA,wRAA,wRC,Batting,Fielding,Replacement,Positional,wLeague,Defense,Offense,RAR,WAR,WAROld,BaseRunning,Spd,wRC+,wBsR,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,rFTeamV,rBTeamV,rTV,Events,Q,TG,TPA,playerid,teamid,playerTeamId,Pos
BBB,110530.0,1942.0,30.59567387687188,1942.0,1942.0,225.0,636.0,688.0,163.0,134.0,19.0,5.0,5.0,88.0,74.0,52.0,0.0,0.0,19.0,0.0,22.0,0.0,0.2558515239491279,0.0755813950377907,,,0.3124999995101744,0.32581556151889535,0.6383155610290698,0.06996403756976743,,,0.30706700336101445,0.26829016844009024,7.459684112138517,0.7554821931335031,0.0,1.8881821202081737,0.42268682093099624,-0.21236300242247147,0.42268682093099624,1.1522844926270372,3.2507904313437352,2.538235838171548,0.34834468889564724,0.3968022994935339,4.096390648884142,96.82147418850055,0.3968022994935339,98.37084561292119,105.61610089227776,,99.82794834841398,96.28753546329098,89.36643575475077,,0.0,0.0,0.0,0.0,2.1163728425,31.0,65.60755813953489,1015705.6845930233,1115.0,,0.0
BEG,111915.0,1942.0,30.013360739979444,1942.0,1942.0,567.0,1766.0,1946.0,455.0,350.0,62.0,31.0,12.0,256.0,247.0,180.0,0.0,0.0,53.0,0.0,22.0,0.0,0.25808369601695785,0.09249743012846866,,,0.32631037975590954,0.3490533828591984,0.6753637626151079,0.0909696868422405,,,0.3237027665571466,1.6728353509167457,19.82600307175106,1.2643964775705967,0.0,4.766320268917381,0.15892531217974662,0.30095035041192353,0.15892531217974662,1.5405100015361144,6.766705933045165,6.737668927014598,0.7250993636401861,0.2761135239655177,4.728731475848243,98.7429031642892,0.2761135239655177,100.59301910033551,96.14477417749409,,99.45887898435008,99.98698117785332,98.30671939138585,,0.0,0.0,0.0,0.0,3.1848565106012328,52.0,165.6125385405961,1014542.7055498458,1132.0,,0.0
BOS,117683.92377216916,1942.0,26.25630968622101,1942.0,1942.0,1595.0,5148.0,5864.0,1424.0,1031.0,240.0,55.0,98.0,743.0,688.0,573.0,493.0,20.0,123.0,93.0,68.0,61.0,0.27706464690637794,0.09771486992019099,0.08407230528376533,1.491788058493008,0.3501152097991132,0.4046308795515006,0.7547460893506139,0.1275662326451228,0.2897187520468963,0.19849931841234655,0.35736171297558644,21.236886062434678,75.4134650918801,13.619878846664342,3.8705661664392905,14.224675863722052,0.6210839632037127,2.9213153313982616,4.491650129643003,12.273299368744862,33.91094069350818,32.90223786918441,3.6060906146660683,-1.3465794779194804,4.313657871245582,108.00828699469494,-1.3465794779194804,104.26830752938245,101.41707754614764,110.72343737890849,102.99466015528631,108.90107958958497,120.53265169827172,103.55961484449507,0.0,0.0,0.0,0.0,3.251687369648704,152.0,494.256480218281,1007524.1502387449,3.0,,0.0
BRO,118954.61826145553,1942.0,29.22978436657682,1942.0,1942.0,1746.0,5237.0,5936.0,1393.0,1034.0,263.0,34.0,62.0,738.0,676.0,567.0,471.0,14.0,118.0,93.0,81.0,0.0,0.2657970666681267,0.0955188673755054,0.07934636059130729,1.6250304579834904,0.33853709057631404,0.3649622293429919,0.7034993199193059,0.09916516267486525,0.28207707652779646,0.18530997315532344,0.3371504834364041,8.856137051390789,60.98497430692086,5.8364162801086,4.297843665768194,13.68701801399482,0.5373434781961676,0.1991198673943808,4.835187143964362,6.877690244858158,25.59901527021172,29.447769416858115,2.7123522996304144,1.0412739647495575,4.033386639691904,103.82126981047023,1.0412739647495575,103.84226660606501,104.7280522512215,100.49839456082994,103.30861638069761,102.61690494546272,99.47076736136087,104.5082396786043,0.0,0.0,0.0,0.0,3.0682245018312004,155.0,475.57479784366575,1008763.3066037736,22.0,,0.0
BSN,118592.60145312778,1942.0,27.05777068934964,1942.0,1942.0,1779.0,5061.0,5643.0,1214.0,917.0,210.0,19.0,68.0,515.0,479.0,474.0,506.0,20.0,88.0,114.0,49.0,0.0,0.24010975537905369,0.08399787306202373,0.08966861548484847,1.8579945197531456,0.30694011537019317,0.3295490388029417,0.6364891541731349,0.089439283423888,0.25423259824455074,0.18571681761651604,0.30667480766793165,-0.4883033889975927,42.92439420710259,-1.4058241457739091,0.7145135566188198,11.398496596447645,0.5082176015303846,0.16582626898417518,1.2227311581492044,-0.8664255381940889,11.920628485386933,13.55048835475051,1.2722641121387803,0.5393986075798199,2.9629432516649494,88.09542502876917,0.5393986075798199,93.80668321641292,92.09629344167617,113.5723407042679,93.66642389655169,92.65973207854486,89.71491514206275,94.22538598991864,0.0,0.0,0.0,0.0,2.6403792307247915,150.0,396.056884635832,1008414.2179691653,16.0,,0.0
CAG,116167.0,1942.0,29.740591397849464,1942.0,1942.0,226.0,700.0,759.0,163.0,143.0,13.0,6.0,1.0,72.0,59.0,59.0,0.0,0.0,9.0,0.0,7.0,0.0,0.23322536228590246,0.07773385999077732,,,0.29249011818577075,0.2738782976218709,0.5663684158076416,0.04065293533596838,,,0.2759195510420718,-1.1753079118035958,6.437618660688953,-0.6595585119330795,0.0,1.9988602973466767,-0.01900233717068382,-0.22481092773022054,-0.01900233717068382,-0.6460598478430598,1.1089871846027128,0.3421416053546921,0.11883565058052903,0.013498664090019676,3.1556617192995158,74.83607258201559,0.013498664090019676,89.78974603181169,108.62391724083892,,93.43580306060119,81.04541261540564,51.99529567990792,,0.0,0.0,0.0,0.0,2.315107598142293,30.0,69.4532279314888,1015601.3478260869,1117.0,,0.0
CCB,,1942.0,26.65530303030303,1942.0,1942.0,268.0,808.0,870.0,189.0,148.0,31.0,7.0,3.0,104.0,84.0,62.0,0.0,0.0,12.0,0.0,24.0,0.0,0.23444630089080462,0.0712643672954023,,,0.28850574665977013,0.3015752050574713,0.5900809517172415,0.06712890416666667,,,0.28415434182375326,-1.510316414140096,7.724077092365612,-0.8847182471543378,0.0,2.4245948485730366,0.17931590913045595,-0.2726931031654193,0.17931590913045595,-0.4069023298369994,1.9243153247010727,1.285993093581319,0.20620370253859727,0.477815917317338,4.6675974945707495,80.42450407882957,0.477815917317338,90.14087746467932,99.58356289311959,,92.16299782693099,89.12383778248875,85.74506431986609,,0.0,0.0,0.0,0.0,2.552908395298851,33.0,84.24597701149425,1015673.2689655173,1118.0,,0.0
CHC,117937.62963617097,1942.0,26.516778523489933,1942.0,1942.0,1679.0,5056.0,5662.0,1300.0,972.0,215.0,41.0,72.0,561.0,507.0,485.0,542.0,19.0,102.0,96.0,62.0,0.0,0.2577540065833627,0.08565877746555987,0.09572589155015895,1.082947324626987,0.3240946530471565,0.35965464701819144,0.683749300065348,0.10190064043482869,0.27667568377251855,0.19410102426704345,0.32702513000994893,8.83826750233514,56.73012158932926,7.793813806523924,-1.4381843871423525,12.574549982749934,0.23327491489077512,0.18293559068520476,-1.2049094722515774,8.517293045570312,20.069869146753874,20.686393988570195,2.160918324620906,0.7234792390463894,3.7414951193280888,100.89407324534426,0.7234792390463894,100.69998366020579,93.91732930544963,121.24435635109685,98.9013349340415,101.12456511650359,102.21467524739582,102.50704888488434,0.0,0.0,0.0,0.0,2.818842082479689,155.0,436.92052278346875,1007770.4685623455,17.0,,0.0
CHW,118161.95154899136,1942.0,29.28079971181556,1942.0,1942.0,1520.0,4949.0,5552.0,1215.0,940.0,214.0,36.0,25.0,538.0,486.0,497.0,425.0,16.0,90.0,102.0,114.0,70.0,0.24571012075648416,0.08951729054610952,0.07654899066390489,1.8107815380324208,0.3158674329827089,0.3184343542968299,0.6343017872795389,0.07272423354034582,0.26408343865760087,0.1705691638526657,0.30714893774351554,0.2067873335763556,44.38361550951518,-4.560435340949597,0.8061959654178674,11.599127754975669,0.33674320283611586,2.3821076885045582,1.1429391682539833,-5.209786837970159,9.91438777376405,10.612284982560675,1.0566253738716838,-0.649351497020563,4.272597278316599,81.51364606571669,-0.649351497020563,92.46859431609799,92.90890940601757,100.81521311430275,92.91986752830063,85.70241846043649,68.71445937991655,94.39630331475456,0.0,0.0,0.0,0.0,2.7231628252503604,148.0,403.0280979827089,1007989.9475864554,4.0,,0.0
CIN,118031.35256186825,1942.0,28.584001394214013,1942.0,1942.0,1616.0,5142.0,5738.0,1203.0,903.0,197.0,37.0,66.0,520.0,481.0,481.0,536.0,23.0,92.0,95.0,42.0,0.0,0.23371188902683868,0.0838271170306727,0.09341233825636112,1.197678566697804,0.30176082040815616,0.3247034225887068,0.626464242996863,0.09099153356186825,0.24933357339194842,0.18874172138724288,0.3022467279192123,-1.4086561700218445,47.06262699498448,-1.849582121428812,3.107877309166957,12.72668566514987,0.5250839744355308,0.18514887314559564,3.632961283602488,-1.3772114134416635,15.167584408456287,14.946936157624247,1.6030687949833466,0.4723707079871484,3.2236672665895885,86.46274636778313,0.4723707079871484,91.30714869639424,91.90907444437336,118.31405948524318,92.08590048789156,91.29728386204457,91.27194896519998,92.37692466442188,0.0,0.0,0.0,0.0,2.8714720278929944,154.0,442.2066922272569,1007863.223771349,18.0,,0.0
