Team,xMLBAMID,Season,Age,SeasonMin,SeasonMax,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,TTO%,wOBA,wRAA,wRC,Batting,Fielding,Replacement,Positional,wLeague,Defense,Offense,RAR,WAR,WAROld,BaseRunning,Spd,wRC+,wBsR,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,rFTeamV,rBTeamV,rTV,Events,Q,TG,TPA,playerid,teamid,playerTeamId,Pos
BBB,123486.2564102564,1947.0,30.033088235294116,1947.0,1947.0,159.0,517.0,562.0,144.0,115.0,19.0,7.0,3.0,79.0,53.0,39.0,0.0,0.0,6.0,11.0,0.0,7.0,0.0,0.28047357076156587,0.06939501748754448,,,0.33629893184697507,0.3633119355782918,0.6996108674252669,0.08283836481672598,,,0.329330404670213,0.5444626401990147,6.644174014548882,-0.01440836929080496,-1.5622775800711743,1.573989887347319,0.10844250947064671,0.4049235388364815,-1.4538350706005276,0.08957158798137435,0.6146499435646472,-0.3081979441791527,0.0635496790569794,0.10397995727217932,3.6919810121267185,87.4725412427838,0.10397995727217932,99.76921583207698,72.78381032172419,,94.26855753420321,94.40745144985165,79.87377180235467,,0.0,0.0,0.0,0.0,3.231094306049822,16.0,51.69750889679715,1015116.4412811388,1115.0,,0.0
BEG,114161.71821305843,1947.0,29.438517915309447,1947.0,1947.0,692.0,2258.0,2456.0,657.0,499.0,100.0,43.0,15.0,367.0,313.0,176.0,0.0,0.0,22.0,54.0,0.0,69.0,0.0,0.2910819469344462,0.07166123735057003,,,0.34812703530903905,0.3936095199678339,0.7417365552768731,0.10252757303338762,,,0.3476437046784143,6.714327644406455,30.802813076485315,5.456660651139083,2.008957654723127,6.215873201975314,0.11516124656551338,0.8422002135184427,2.1241189012886403,6.695989963624574,15.878182280406971,13.188569013517592,1.6010997728194027,1.239329312485491,5.655749255810926,101.88456461205345,1.239329312485491,104.44770102030456,79.27335538231793,,99.91265330488812,103.11567910344021,99.5126764051373,,0.0,0.0,0.0,0.0,3.047158344364821,67.0,204.15960912052117,1014341.48004886,1132.0,,0.0
BOS,117824.403977501,1947.0,28.614503816793892,1947.0,1947.0,1501.0,4315.0,4978.0,1169.0,866.0,172.0,51.0,80.0,625.0,534.0,572.0,0.0,442.0,13.0,78.0,111.0,34.0,27.0,0.2719948101934512,0.11490558428465247,0.08879067839031739,1.7169513002105263,0.35720954167938934,0.39389048282623546,0.7511000245056247,0.12189567263278425,0.28625647236741664,0.2197669736500603,0.35294953721494493,17.38482332063375,71.64606922001812,13.961157785370558,1.5114503816793894,14.001753046815297,0.9597589001328939,1.205398812984345,2.4712092818122833,13.034863449910643,30.713224591522568,22.726362109184375,3.0992868682849375,-0.9262943354599154,3.9619365775488427,104.2588437543589,-0.9262943354599154,103.61102895219402,110.24765929234839,103.11922955426327,104.29908533992273,104.36997233709694,106.10420200279792,103.32040662878384,0.0,0.0,0.0,0.0,2.92920954043391,157.0,459.8858979509843,1007660.6261550824,3.0,,0.0
BRO,119223.50575479567,1947.0,27.928773978315263,1947.0,1947.0,1815.0,5145.0,5995.0,1409.0,1041.0,237.0,49.0,82.0,761.0,710.0,715.0,0.0,538.0,28.0,107.0,85.0,86.0,0.0,0.2744085776977481,0.11926605462885739,0.08974145067706421,1.8625029239002506,0.36517055425271044,0.38783734374361967,0.7530078979963303,0.11342876604587156,0.29236406933394493,0.2226855718215179,0.35682995210970714,13.313125945042401,69.04012634742755,6.500321005417835,3.1282735613010844,14.379981232292833,0.4195611062437122,2.0792705167796437,3.5478346675447963,7.596790909951193,27.603877326568465,30.100797702538568,2.783826233089831,1.0964699045333584,4.275480313435826,100.88661644485047,1.0964699045333584,100.15233348886665,121.24785923134634,107.13038017878895,104.60681966094158,95.43457393710345,85.6715105808128,102.64956039332989,0.0,0.0,0.0,0.0,3.0471532726488735,155.0,472.3087572977481,1009029.0380316931,22.0,,0.0
BSN,117966.2292329445,1947.0,29.13626723223754,1947.0,1947.0,1702.0,4975.0,5658.0,1360.0,992.0,245.0,40.0,83.0,674.0,599.0,546.0,0.0,479.0,14.0,123.0,118.0,56.0,0.0,0.2735850722730647,0.09650052967126194,0.08465888955090137,1.4724139302401908,0.3462351537932132,0.3897164449803818,0.7359515987735948,0.11613137270731708,0.2880102300005302,0.19582891495051252,0.34598248497511747,9.647851212731505,62.19076897475036,3.78359083476669,1.0017677214071063,13.558349917491666,0.19799073700871767,1.9604669007712685,1.1995814050893114,4.367942432260254,21.086340655612496,20.535089830092808,2.127867765607791,0.5843515974935638,3.8507707931646364,95.50764036046081,0.5843515974935638,99.85177440789788,98.10404707141625,101.06298655388386,99.18258159462809,95.89696165919351,87.71275993283489,101.17557933461948,0.0,0.0,0.0,0.0,2.8917037364810887,154.0,445.32237539766703,1007798.551961824,16.0,,0.0
CAG,,1947.0,26.73925501432665,1947.0,1947.0,311.0,979.0,1077.0,252.0,201.0,38.0,9.0,4.0,134.0,102.0,88.0,0.0,0.0,10.0,13.0,0.0,11.0,0.0,0.2573943693714021,0.08170844887743732,,,0.324976786827298,0.32689651738997216,0.6518733042172702,0.0695021480185701,,,0.31201762519949766,-0.5609393875396466,9.162649312459314,-1.451839218551967,-0.2692664809656453,2.5091072910239602,0.043103169857376465,0.6454911888373831,-0.22616331110826884,-1.3264824987096377,1.6019526700434368,0.7572517120747386,0.161987197095293,0.12535671984232935,3.626742152696484,77.03629689949618,0.12535671984232935,91.55955166131388,85.69854811039013,,91.09482673067012,84.94482033874412,67.01482728311721,,0.0,0.0,0.0,0.0,2.943261705905292,28.0,82.41132776230269,1015562.2107706593,1117.0,,0.0
CBE,121315.09677419355,1947.0,27.821862348178136,1947.0,1947.0,217.0,668.0,741.0,195.0,134.0,38.0,12.0,11.0,117.0,105.0,63.0,1.0,0.0,10.0,15.0,0.0,17.0,0.0,0.2936672092766532,0.08502024261133603,,,0.3616734138947369,0.43695061580431854,0.7986240296990553,0.14328340652766533,,,0.3702697763595807,2.754530518970967,10.088447096824622,2.082578501927201,0.9757085020242915,1.8924683185392304,0.019926349663863138,0.48685507755726576,0.9956348516881547,2.4042351616471502,5.7791934094318025,5.641638167613223,0.5825192880644794,0.3216566597199502,4.464797406396368,112.12413189130794,0.3216566597199502,104.46241728078381,89.17206790590026,,101.38132416620805,113.5426337752108,138.1556256135076,,0.0,0.0,0.0,0.0,3.107894736842105,20.0,62.1578947368421,1014812.6032388664,1118.0,,0.0
CHC,118426.94249090595,1947.0,30.027195565563833,1947.0,1947.0,1846.0,5227.0,5773.0,1357.0,1009.0,229.0,48.0,71.0,561.0,534.0,464.0,0.0,566.0,19.0,63.0,112.0,22.0,0.0,0.25949667173358737,0.08037415518621167,0.09804261162688375,1.0725197202089036,0.3217759864408453,0.3632776868901784,0.6850536733310237,0.10378101515659102,0.278331862166811,0.19071539861250647,0.3224879309009906,0.9189698333602005,47.211193572159274,-2.6427970451819967,-0.2432011086090421,11.945399963363899,-0.1989762997456384,1.7272427240159138,-0.4421774083546805,-2.595107454288339,10.635357824736793,11.323729447731054,1.073953384863178,0.04768959089365742,3.205229732537057,84.83660664536471,0.04768959089365742,94.70985719454961,81.7097059526462,117.0400319814957,92.1760043159045,89.39121471535964,78.38466949803325,97.70652602633777,0.0,0.0,0.0,0.0,2.531259534585138,155.0,392.3452277845141,1008246.7412090767,17.0,,0.0
CHW,117835.00192012289,1947.0,30.047043010752688,1947.0,1947.0,1619.0,4697.0,5208.0,1211.0,954.0,186.0,36.0,35.0,497.0,435.0,442.0,0.0,447.0,14.0,55.0,126.0,89.0,57.0,0.2579254549145546,0.08486943112403993,0.08582949260599078,1.373610114127112,0.3230416572555684,0.3350448446779954,0.6580865019335638,0.07711938976344085,0.2769505202419355,0.17741935536674344,0.3135066884691795,-2.473432183262017,44.168000662454084,-2.4254275350387036,0.7114313160422671,12.035511047171626,1.0116602653056703,1.036126739374282,1.7226817706820143,-3.306742917550086,11.487576639677837,11.832832683898388,1.1590775847592716,-0.8813153825113825,3.933363707371539,85.47856776797738,-0.8813153825113825,98.25158707128578,81.42908097242335,99.6801839001184,94.322646646123,88.77752242151968,67.12864479154507,100.01916364989417,0.0,0.0,0.0,0.0,2.5503542925211216,155.0,395.30491551459295,1007666.3888248848,4.0,,0.0
CIC,115317.0,1947.0,29.67878787878788,1947.0,1947.0,315.0,976.0,1069.0,246.0,197.0,36.0,10.0,3.0,130.0,108.0,87.0,0.0,0.0,6.0,17.0,0.0,8.0,0.0,0.2513914111824135,0.0813844709981291,,,0.3171188022394762,0.3171463306407858,0.6342651328802619,0.06575491945837231,,,0.30432491039315374,-1.131967720586796,8.69904576674977,-2.0327100827713385,0.2675397567820393,2.5368275417936696,0.01346208011579915,0.6526224811851519,0.2810018368978384,-1.9798015856883349,1.490650274188325,1.2116120502252028,0.1502363111455488,0.05290849708300345,3.5682469625320703,72.46958534556795,0.05290849708300345,89.42419741184958,85.3587492981737,,88.89214095896202,82.41121163501234,63.40170334506392,,0.0,0.0,0.0,0.0,2.7773932023012162,30.0,83.32179607109448,1014471.6014967259,1122.0,,0.0
