Team,xMLBAMID,Season,Age,SeasonMin,SeasonMax,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,TTO%,wOBA,wRAA,wRC,Batting,Fielding,Replacement,Positional,wLeague,Defense,Offense,RAR,WAR,WAROld,BaseRunning,Spd,wRC+,wBsR,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,rFTeamV,rBTeamV,rTV,Events,Q,TG,TPA,playerid,teamid,playerTeamId,Pos
BAL,117391.87839771101,1954.0,29.727365624361333,1954.0,1954.0,1558.0,4390.0,4893.0,1098.0,859.0,161.0,38.0,40.0,390.0,379.0,363.0,504.0,17.0,38.0,85.0,111.0,28.0,27.0,0.24977588099529943,0.07418761438749234,0.1030042913590844,1.0969530291921115,0.30702036365052116,0.330879913984672,0.6379002776351931,0.08110403298937258,0.27132186987492335,0.18536685012058043,0.2967669313338247,-7.275752625637775,31.300047453303232,-5.723429620812683,-1.9568771714694462,9.922651285183042,1.5485127980348987,0.46709508526832455,-0.4083643734345474,-5.963977574212085,4.017404422804733,4.442949111155043,0.4262570507382716,-0.2405479533994015,3.0622979402253696,79.64765828518787,-0.2405479533994015,94.14779795872802,74.16904583983886,107.17275944402223,90.05613324884197,85.2949142583642,66.14114563691837,97.55638757675845,0.0,0.0,0.0,0.0,2.210309719362354,154.0,340.3876967095851,1007233.271408134,2.0,,0.0
BOS,117549.71756978653,1954.0,26.187557015143224,1954.0,1954.0,1749.0,4778.0,5481.0,1263.0,900.0,217.0,38.0,108.0,616.0,571.0,566.0,608.0,18.0,49.0,70.0,133.0,50.0,28.0,0.26549409562725773,0.10326582687666484,0.11092866215599344,1.3806495709968982,0.34092552335084836,0.3974661847639117,0.7383917081147603,0.13197208913665387,0.2811643795373107,0.23389892403940887,0.3383458384143301,8.270683628268278,58.13129122851463,3.5064249137154344,1.6974452554744526,12.825383299170547,0.006695822297254415,0.6037371800690569,1.7038313815017792,3.7859728862591497,18.91892474700053,18.479077314741406,1.962565384203449,0.27954797254371666,3.657254924079517,94.16674816835021,0.27954797254371666,100.07245044937181,103.23998029239108,115.41782063474189,100.00129631063666,102.45966200174817,107.62455140473185,101.09313964588253,0.0,0.0,0.0,0.0,2.8202777420178795,156.0,439.9633278598796,1007392.0799124248,3.0,,0.0
BRO,117379.47412076974,1954.0,29.628732581287327,1954.0,1954.0,1818.0,5225.0,6028.0,1415.0,927.0,246.0,56.0,186.0,777.0,737.0,632.0,621.0,35.0,58.0,78.0,137.0,46.0,39.0,0.2708802533030856,0.10484406046018578,0.10301924294625084,1.360925220609489,0.3490683680703384,0.4464872155293628,0.7955555835997015,0.1756069622262774,0.2733964259653285,0.2387193098059058,0.3608650049812316,20.684877803394546,76.06087545974893,12.793203211964713,2.6758460517584606,14.244078235284196,0.1565090275030304,0.958672254904054,2.832355079261491,12.540829141511361,30.575934710961114,28.68825101097772,3.1720868271259137,-0.25237407045335064,3.9218324940170444,104.21065743278199,-0.25237407045335064,98.74287260845996,109.45289301970561,107.39400065449028,100.98065685212624,105.15402314295262,116.85773690746792,97.01573897908743,0.0,0.0,0.0,0.0,3.1729246199303245,154.0,488.6303915063039,1007226.0431320504,22.0,,0.0
CHC,116145.47943682845,1954.0,29.437198962578734,1954.0,1954.0,1630.0,4872.0,5398.0,1286.0,895.0,206.0,42.0,143.0,645.0,570.0,408.0,615.0,26.0,38.0,54.0,101.0,43.0,31.0,0.26396195942701006,0.07558354897295294,0.11393108510929974,0.7497851735991109,0.3216899413245647,0.4133137784244164,0.735003719748981,0.14935181899740646,0.2745214386669137,0.21600592755650241,0.3342528507610571,7.312082257340528,61.83555408611561,-0.8839120379028083,-1.1468570368996849,14.024787475756966,-0.507203681311643,0.9439132818457039,-1.6529984201037882,-0.9288403434286323,12.386861994070252,9.784417891801107,1.2942200474987107,-0.04492830552582406,3.8189443113218604,87.40534908435778,-0.04492830552582406,96.220975192376,78.90612079954573,118.76921902035978,93.0604562001756,97.34121181994749,99.3862393027552,97.41495392207642,0.0,0.0,0.0,0.0,3.124076739090404,154.0,481.1078177102631,1006015.7762134124,17.0,,0.0
CHW,116576.27146084337,1954.0,28.58339608433735,1954.0,1954.0,1626.0,4588.0,5312.0,1244.0,933.0,182.0,46.0,83.0,647.0,570.0,543.0,481.0,51.0,41.0,89.0,104.0,91.0,55.0,0.27080738203915666,0.10222138516528613,0.09054969844277108,1.6732105890257905,0.35093914878633287,0.3853083007134789,0.7362474494998117,0.11450091867432227,0.2837029776927711,0.20839608504518078,0.34095675703407397,9.195697641129112,61.53658914874602,7.8558104153082144,7.270758802485408,13.463373755641332,0.8788432644905259,0.6337696984052186,8.148233324731489,7.708001549628981,29.95337832840703,28.440217807231228,3.0884259221542227,-0.14780886567923407,4.227661743973612,102.74898353243127,-0.14780886567923407,102.09440229198037,102.19579999615357,94.21414312831908,102.93852293560569,99.34427915642719,93.39421985182827,102.04491697989837,0.0,0.0,0.0,0.0,2.979671102814382,155.0,461.8490210843373,1006438.4617846386,4.0,,0.0
CIN,116484.43205926924,1954.0,26.943088061963294,1954.0,1954.0,1913.0,5209.0,5939.0,1366.0,953.0,220.0,46.0,147.0,725.0,683.0,552.0,639.0,29.0,50.0,99.0,103.0,47.0,30.0,0.26127221753796936,0.09294493980602794,0.10759387043458496,1.1427439064487286,0.3324800554699444,0.4053067686625695,0.737786824132514,0.1440345511246001,0.2692862201057417,0.22529045284222934,0.3379968824898212,8.328506807039519,61.996480500599475,-0.06825090825011186,-1.2254043126684635,13.804732165083108,0.03217909847453455,0.9291028520374243,-1.1926062189189661,0.049995595966658105,13.591224394168224,13.280458250661926,1.4199227721887877,0.11824650421676997,3.854240453102364,89.10075545633158,0.11824650421676997,95.25653371869404,97.03069977126034,112.16289172207973,96.1818871677914,95.47152368330708,95.86400229487808,95.58940754194647,0.0,0.0,0.0,0.0,3.0750585503148677,154.0,473.55901666947295,1006347.3396194646,18.0,,0.0
CLE,118050.00543097407,1954.0,30.231955150665733,1954.0,1954.0,1829.0,4924.0,5708.0,1286.0,933.0,174.0,37.0,142.0,713.0,666.0,602.0,628.0,23.0,54.0,105.0,110.0,30.0,31.0,0.26157182572442184,0.10546601213279606,0.1100210225700771,1.2747818877012964,0.34050484242238965,0.3991732439225649,0.7396780863449545,0.13760141819814295,0.27150291799562015,0.24036440069201123,0.3399072499360908,8.883114737181351,58.162411326939505,9.212304034021887,2.8010526315789472,12.675855708465805,0.8083838739699326,0.5966983755476793,3.6055107134934086,8.994523025188988,25.87258782269588,29.22494306493313,2.681953354827039,-0.21778100883289936,3.5006649281734386,105.22589992013897,-0.21778100883289936,98.61130876859896,105.43961486030956,114.47344989329216,99.8779009198617,102.9177417099227,112.23498800070301,97.61863598938102,0.0,0.0,0.0,0.0,2.787396907207428,156.0,434.8339173090399,1007880.2811843028,5.0,,0.0
DET,115953.28518518519,1954.0,25.534502923976607,1954.0,1954.0,1638.0,4601.0,5130.0,1206.0,902.0,190.0,38.0,76.0,517.0,488.0,418.0,523.0,13.0,36.0,62.0,127.0,43.0,41.0,0.26179518116530215,0.08148148103664717,0.10194931723274855,1.0537429997493177,0.322754783691423,0.36945889073508775,0.6922136744265107,0.10766370956978559,0.27915583846042885,0.19824561345419106,0.31935051650597046,-0.4892611472754018,50.92866216849155,-1.4017196173179716,2.240155945419103,13.225963475198629,0.9509853700346533,0.6225939378146441,3.1911413154537565,-1.8322689282645743,15.207429800202457,13.665250284480209,1.5739566712140882,-0.43054931094660287,3.496931714088549,89.10673969049671,-0.43054931094660287,98.69746122242866,81.46108689436349,106.07509169863377,94.67140049349173,95.25845223843794,87.81794458253225,100.3917917951008,0.0,0.0,0.0,0.0,2.9271282154424956,155.0,453.70487329434695,1005829.793957115,6.0,,0.0
MIL,115929.57010135135,1954.0,26.52010135135135,1954.0,1954.0,1784.0,5260.0,5920.0,1395.0,998.0,217.0,41.0,139.0,670.0,636.0,471.0,619.0,35.0,44.0,110.0,115.0,54.0,31.0,0.2658150313074325,0.0795608103251689,0.10456081040793917,0.848368980508277,0.32672858362939194,0.4042927741508446,0.7310213577802366,0.13847774284341216,0.2752479044856419,0.2076013509695946,0.33321421490671005,6.5280345938726745,60.893223303081164,3.707769943338743,2.0077702702702704,13.984073136804147,0.6093525600418247,0.9411730759519914,2.617122830312095,3.9751201251664283,21.51748916823466,21.198342974093745,2.2318107839777563,0.26735018182768505,3.6093912553179286,95.46787765295271,0.26735018182768505,96.89646791800533,83.05821829924929,109.00103146014159,94.5180658151546,95.2166383514078,92.15008013112816,97.70575172071705,0.0,0.0,0.0,0.0,3.1150074582770273,154.0,479.71114864864865,1005804.1704391892,16.0,,0.0
NYG,118754.86260575296,1954.0,28.256345177664976,1954.0,1954.0,1934.0,5222.0,5910.0,1382.0,963.0,192.0,42.0,185.0,730.0,697.0,520.0,552.0,33.0,51.0,84.0,110.0,30.0,23.0,0.26388392656937393,0.08798646319035533,0.0934010148071066,1.2511474555015227,0.3314671373169205,0.4242456733076142,0.7557128106245348,0.16036174673824027,0.26058486664788494,0.21269035497969543,0.34387015115447006,10.230698946537842,66.15267753174052,3.426379210809195,4.85343951202982,14.384518053881232,0.11532844495778358,0.9681243061599386,4.96219815730973,3.5947743064384277,23.909614823789326,24.863227414037134,2.4691891070151466,0.16839509562923308,3.4495319072066066,95.80440303585087,0.16839509562923308,96.19253019342581,91.85425383647107,97.36733020410442,95.88886393857348,99.91582692103427,106.71280097774596,92.48515841433459,0.0,0.0,0.0,0.0,3.2042081436463623,154.0,493.4480541455161,1008580.0236886633,30.0,30.0,0.0
