Team,xMLBAMID,Season,Age,SeasonMin,SeasonMax,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,TTO%,wOBA,wRAA,wRC,Batting,Fielding,Replacement,Positional,wLeague,Defense,Offense,RAR,WAR,WAROld,BaseRunning,Spd,wRC+,wBsR,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,rFTeamV,rBTeamV,rTV,Events,Q,TG,TPA,playerid,teamid,playerTeamId,Pos
ATL,115809.40013785973,1968.0,28.762364294330517,1968.0,1968.0,1835.0,5258.0,5803.0,1336.0,1056.0,173.0,29.0,78.0,489.0,460.0,399.0,82.0,728.0,35.0,27.0,84.0,139.0,82.0,44.0,0.25346203705721176,0.06875753883284508,0.12545235169395139,0.6912029364290885,0.3081526886515595,0.3419566718052731,0.6501093604568328,0.08849463474806137,0.2789010478018266,0.2076512148440462,0.294458249403371,7.571808329004384,47.76027723485098,4.131838198887808,0.8614322691975841,11.210831633345443,-0.03283390561743028,2.662416438575479,0.8274107953992852,4.383835682933666,19.084494550253876,22.357734123565162,2.3276356338588657,0.25199748404585925,3.39596090715437,94.0984395410984,0.25199748404585925,100.57875634080051,93.61706149052795,89.17099866438417,99.3232062623854,96.26001389967232,85.71810414542412,99.13286231913455,0.0,0.0,0.0,0.0,2.6814108205566085,163.0,437.0699638118215,1005687.812683095,16.0,,0.0
BAL,116247.38660578386,1968.0,26.78166751226112,1968.0,1968.0,1955.0,5177.0,5913.0,1168.0,801.0,211.0,26.0,130.0,569.0,527.0,562.0,63.0,998.0,47.0,49.0,78.0,101.0,78.0,32.0,0.22557264719144254,0.0950448160208016,0.1687806522814138,0.6756871908073737,0.3034742829443598,0.3520547530928463,0.6555290360372061,0.1264821059014037,0.2529028660136986,0.285810926150854,0.29938689461126655,6.376149989617338,48.013146901215,4.000622033458644,6.759682056485709,11.614907828104347,0.23382602196641022,-0.4135165060489386,6.99350807845212,4.539242414283517,22.734141814791037,30.03897456128826,2.6408516782435307,0.5386203808248727,3.5774852998830333,100.17071863464551,0.5386203808248727,94.83036663283984,111.91019659085622,116.21663552745906,98.79885184272536,99.96524760153332,110.65074224380189,96.29814016123673,0.0,0.0,0.0,0.0,2.7952064197277178,162.0,452.8234398782344,1006112.6188060206,2.0,,0.0
BOS,117609.12717152976,1968.0,26.239332096474953,1968.0,1968.0,1889.0,5213.0,5929.0,1240.0,893.0,205.0,17.0,125.0,606.0,552.0,572.0,57.0,950.0,31.0,40.0,73.0,119.0,75.0,62.0,0.2389038307163097,0.096474953120931,0.16022938052976893,0.7362911662725586,0.3139722071851915,0.3579492380598752,0.6719214452450666,0.11904540734356553,0.2663081669082476,0.2777871461325687,0.3066432012886302,13.45360323714377,55.59162968306813,7.043516374486319,3.7434643278799125,11.75467323608317,-0.38197146702811013,-0.4184924648795426,3.361492860851802,6.701619746772394,21.39929337882782,20.777889259207107,2.546040951542083,-0.3418966277139251,3.06211749977077,96.35715824199059,-0.3418966277139251,100.43477406899453,113.59410667378309,110.32851968583896,102.21654790468864,101.63897489547266,104.14487163543569,101.36819517138497,0.0,0.0,0.0,0.0,2.8288419143953445,162.0,458.2723899477146,1007458.7658964412,3.0,,0.0
CAL,118685.5975450995,1968.0,27.05170169239353,1968.0,1968.0,2011.0,4810.0,5377.0,1076.0,815.0,151.0,29.0,81.0,445.0,427.0,411.0,37.0,1011.0,50.0,35.0,71.0,96.0,44.0,40.0,0.2237542050611866,0.07643667415529105,0.18802306072698532,0.4884160469001302,0.28861692408517764,0.3180836023146737,0.6067005263998513,0.09432939725348709,0.26415712265817365,0.27952389880230616,0.27865197100944306,2.7656028473461314,37.76514133868711,1.458435297161297,1.8333643295517947,9.763346152610819,0.5837736078778756,-0.3475967995720975,2.41713793742967,1.2316166726215272,13.064503963089917,13.185060141962088,1.5647841299811707,-0.22681862453976998,3.105811141297918,87.62576519878257,-0.22681862453976998,94.08339395484404,90.00010299980687,129.4663056689208,93.9619016324445,90.3360072870648,82.53783622814497,100.56811978977103,0.0,0.0,0.0,0.0,2.349615531690534,162.0,380.63771619862376,1008501.4686628231,1.0,,0.0
CHC,117384.39599714082,1968.0,28.25893495353824,1968.0,1968.0,1763.0,5071.0,5596.0,1220.0,878.0,180.0,38.0,124.0,581.0,535.0,394.0,54.0,787.0,27.0,36.0,68.0,95.0,38.0,28.0,0.24021250437240887,0.07040743333434596,0.14063616822122946,0.6888557990709435,0.29620034094567543,0.3645998245144746,0.6608001654601502,0.12438732014206577,0.2586302225453896,0.23320228858470338,0.3001472250935116,9.65172796103452,59.481157887250774,2.257144302614765,1.4045405791919914,13.900239658225102,1.4179974791240693,3.301113403230517,2.8220360781233547,2.127289290258737,22.150678429837708,20.157413925666866,2.6922729266644922,-0.12985501235602925,3.5719472025434857,92.24201648991709,-0.12985501235602925,95.33811618570175,95.86348097589365,99.9635909513524,95.47074759422944,102.65235300849952,120.5061862397733,91.94421062848352,0.0,0.0,0.0,0.0,3.3246644182022864,163.0,541.9203002144388,1007224.3934953539,17.0,,0.0
CHW,115706.74755043228,1968.0,27.62747358309318,1968.0,1968.0,1882.0,4731.0,5205.0,1094.0,849.0,146.0,33.0,66.0,411.0,382.0,326.0,37.0,730.0,37.0,30.0,81.0,94.0,88.0,49.0,0.23034895148088377,0.06263208406993274,0.14024975928011527,0.4989648130497598,0.2836514417052834,0.3177758635665706,0.601427305271854,0.08742691208568686,0.2570503950017291,0.21556195976945242,0.2750503239576141,-0.6379393834999794,36.64318369402732,-3.6848282317502767,3.281652257444765,10.399808833309011,0.685350780760177,-0.37025628407666056,3.9670030382049415,-3.511003295668711,10.485552291768583,10.847584481875558,1.2142561690272284,0.17382493608156585,3.6201312151000202,80.99955800468781,0.17382493608156585,96.83831703177852,73.74593517680304,96.5712297988667,92.34534304560445,90.23182503332264,76.4839630509149,97.91954448998573,0.0,0.0,0.0,0.0,2.502784596290106,162.0,405.45110470701246,1005588.2363112392,4.0,,0.0
CIN,117375.39659729105,1968.0,26.289065080938222,1968.0,1968.0,1933.0,5557.0,6054.0,1526.0,1109.0,277.0,36.0,104.0,666.0,617.0,369.0,92.0,893.0,35.0,39.0,54.0,141.0,58.0,55.0,0.2739290598386191,0.06095143665262636,0.1475057807722167,0.45283953238751246,0.32109686361050543,0.3929611897375289,0.7140580533480343,0.11903212989890981,0.30639035311446977,0.22563594272381896,0.3208056745514376,14.826361756676086,61.65872993758748,8.065173959458871,-2.530888668648827,13.064190026673574,-0.13207965523994003,3.102563255007167,-2.662968323888767,7.552605907438947,21.056390865230924,27.041593902289918,2.6481833151568996,-0.5125680520199248,3.5994785017968316,106.90557027938414,-0.5125680520199248,108.70047634768312,82.98863644489805,104.84648237058481,103.49534886146405,110.6176679825289,115.29748143912107,108.90368799470973,0.0,0.0,0.0,0.0,3.1246977599108026,163.0,509.3257350512058,1007219.7598282128,18.0,,0.0
CLE,115706.7403714565,1968.0,26.728836754643208,1968.0,1968.0,1848.0,4615.0,5115.0,1073.0,799.0,179.0,30.0,65.0,436.0,400.0,371.0,44.0,755.0,33.0,31.0,65.0,80.0,99.0,53.0,0.23222516140078203,0.07253176885747802,0.1476050825474096,0.5729352196592375,0.2914777585955034,0.3263194439462365,0.6177972025417401,0.09409428254545454,0.2640179889249267,0.23284457514956008,0.2820941443625694,1.4962704573468852,37.291827302630516,-1.813360012026476,2.927788649706458,9.985400587279907,1.3712496618546348,-0.35550243045061825,4.2961763480716435,-1.635483087851527,12.290591417049404,14.385961645259618,1.4444840422210758,0.17787692417494883,3.6141217218662107,84.91749154312367,0.17787692417494883,97.62707256929333,85.40228548757882,101.63585605659988,94.89327269357672,92.65775770587959,82.31679991688856,100.51610743802506,0.0,0.0,0.0,0.0,2.4030544385826005,162.0,389.2948191593353,1005585.0389051809,5.0,,0.0
DET,118599.91940976163,1968.0,27.974055456461812,1968.0,1968.0,1999.0,5479.0,6167.0,1291.0,877.0,190.0,39.0,185.0,670.0,640.0,520.0,53.0,959.0,61.0,34.0,73.0,123.0,26.0,32.0,0.23613330951597217,0.08431976593092264,0.15550510724728395,0.6735998222480947,0.30637711029625425,0.38668865349245984,0.6930657637887143,0.15055534397648776,0.25223651534879193,0.2698232534165721,0.3160419413923144,13.762251241996692,57.855706908576515,9.496485671760885,5.65623479811902,12.300152781846684,0.15274566566311543,-0.437912747780066,5.808980463782136,9.055947867522304,26.727168365371067,34.29444184967018,3.1573811820975446,-0.44053780423858024,3.2011306450024435,108.01761182146379,-0.44053780423858024,99.27005155293037,99.28202270136757,107.07554525552781,99.74389406074225,109.79947480181531,131.71080953344878,96.01192713716401,0.0,0.0,0.0,0.0,2.924016302234474,164.0,479.5386735852116,1008417.5441868007,6.0,,0.0
HOU,118847.60043196545,1968.0,25.603131749460044,1968.0,1968.0,1830.0,4942.0,5556.0,1154.0,879.0,188.0,25.0,62.0,463.0,450.0,446.0,79.0,879.0,40.0,32.0,96.0,112.0,40.0,43.0,0.23384278499568037,0.08027357767962562,0.15820734298128153,0.5992915610367171,0.29945538910619146,0.320966255362311,0.6204216444685026,0.08712347036663066,0.2699562575809935,0.24964002845932323,0.2814692464737032,4.522936232516148,42.187641020657125,2.4497131769055875,-5.792401872524307,10.506811416199024,0.18435226896036178,2.495221438193446,-5.605964505697665,1.8312938316660472,9.227362180360853,7.690890092827755,1.2681662636171278,-0.6184193452395406,2.896285893988527,87.96177725409942,-0.6184193452395406,92.79344854640246,109.29676345698869,112.45310732871503,96.5199087138538,90.35126011547935,84.38996022367586,95.9535172990131,0.0,0.0,0.0,0.0,2.528535494013679,162.0,409.6227501799856,1008661.0835133189,21.0,,0.0
