Team,xMLBAMID,Season,Age,SeasonMin,SeasonMax,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,TTO%,wOBA,wRAA,wRC,Batting,Fielding,Replacement,Positional,wLeague,Defense,Offense,RAR,WAR,WAROld,BaseRunning,Spd,wRC+,wBsR,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,rFTeamV,rBTeamV,rTV,Events,Q,TG,TPA,playerid,teamid,playerTeamId,Pos
ATL,117186.61086045761,1977.0,25.733483725427007,1977.0,1977.0,2174.0,5534.0,6206.0,1404.0,1027.0,218.0,20.0,139.0,678.0,638.0,537.0,50.0,876.0,17.0,34.0,83.0,135.0,82.0,53.0,0.25382546892523367,0.08652916492056074,0.1411537216016758,0.7313754205373832,0.3191959706925556,0.3762978630270706,0.6954938337196261,0.12247239410183693,0.27702153076361585,0.25008056771511444,0.30974290584050257,0.4984512181583336,49.149110724940485,-5.781316155651934,-10.011447920025798,12.414040833892907,-0.6797840636670157,1.0324504363819984,-10.684779229635433,-5.744833696181178,-2.9831216555417064,-6.62112447304385,-0.27854590949297564,0.03648245947075635,3.2994364379223136,78.60217076726423,0.03648245947075635,-11.607695084996521,-8.193614115232924,7.930373775517334,-122.31809913367033,-12.278438550420105,1.1008766754054655,1.780758047114284,10.198034160489849,-0.37804813797805065,1.831538602300041,94.25746154371262,96.06500402974694,109.28601522375376,94.74032744732577,91.71440147306542,86.8576493278751,95.32290185310477,0.0,0.0,0.0,0.0,2.5796739911279407,162.0,417.9071865936191,1007035.8976796649,16.0,,0.0
BAL,117009.98425069005,1977.0,27.848189641175516,1977.0,1977.0,1883.0,5480.0,6159.0,1429.0,1026.0,230.0,25.0,148.0,717.0,675.0,560.0,50.0,941.0,24.0,47.0,48.0,132.0,90.0,51.0,0.26114248637619747,0.0909238507892515,0.15278454252102613,0.6385599169311578,0.32920497034177626,0.39292675277545064,0.7221317231172266,0.13178426639925314,0.2897384374617633,0.26773826928884564,0.3211691663431508,3.3626604604048818,58.029939782893344,6.223427543918699,1.7413541159279105,13.949283415008894,-2.46176292204222,1.7808518867907501,-0.7204088061143098,6.395561426833569,21.405287922518895,26.241740979564288,2.1958818757579253,0.1721338829148714,3.4194518244352765,103.47496863125846,0.1721338829148714,11.226990643888712,-8.011109959277883,9.364316492111463,46.50420245155692,5.275424062274396,1.03885109530271,2.2526074443019195,5.513395031660984,0.8377210118510415,5.48405157378849,98.09091365581952,108.35696513250859,117.86216065529962,99.695495194236,96.98351766253192,94.86135058857602,101.06577094596612,0.0,0.0,0.0,0.0,2.9167062487757756,161.0,469.5897061211236,1006866.0493586621,2.0,,0.11308880840396167
BOS,117188.69307578982,1977.0,28.575871664756917,1977.0,1977.0,1563.0,5440.0,6109.0,1533.0,1010.0,255.0,56.0,212.0,853.0,822.0,524.0,37.0,896.0,41.0,59.0,45.0,130.0,66.0,47.0,0.2820510599286299,0.08577508552267146,0.14666884881666395,0.7086301642478312,0.3457615594295302,0.4669923237940744,0.8127538832236045,0.1849412638654444,0.30260386421116386,0.2671468322786053,0.3556568671653716,16.24970901387041,82.21855075831118,9.429220431474553,1.7058045311724823,16.833068728820464,-1.3320961062261159,2.1490137747107485,0.3563962820534716,9.299306116038013,28.6377849016227,29.51210860400584,2.939639528629539,-0.12991431543654153,4.454260992733703,111.42190350194342,-0.12991431543654153,6.415811008482706,-9.655923065039056,10.378973977818623,65.55469945073128,5.927436376921833,0.9665954443200006,1.6001023791003688,2.2899001473236207,0.7315879223723346,0.18287723003586093,105.96198315071268,102.22101099480464,113.14434783203615,104.72658845809758,115.28350492843137,133.14677701331516,105.6226126821266,0.0,0.0,0.0,0.0,3.519687377109183,161.0,566.6696677033884,1007036.6236699951,3.0,,0.11028702978392535
CAL,115504.81070166583,1977.0,26.45986875315497,1977.0,1977.0,1812.0,5256.0,5943.0,1338.0,944.0,227.0,40.0,127.0,658.0,623.0,529.0,42.0,859.0,35.0,51.0,72.0,112.0,155.0,87.0,0.25437275911155977,0.08901228284300858,0.14453979435907788,0.6399872874835941,0.32397001185411406,0.3862173257962309,0.7101873376503449,0.13184456668467104,0.2790882696071008,0.25492175559313485,0.3159290012285021,0.31676071633985275,50.51391173442675,1.8100892990390258,-1.9744206008583691,12.808654369767577,-1.6622764881040217,1.6352321207488087,-3.597494391519805,2.0204199690122344,12.866812068008816,14.620586146577386,1.3283482511026918,0.21033066997320857,4.420695029575879,97.7126330288058,0.21033066997320857,1.6290622502565384,-7.871820165290388,8.206071239277588,-10.917700082063675,-1.0588385723531246,1.0469355457823586,1.9124410622237658,5.67238768298839,0.21491626632480876,1.7396615772510926,95.5480538485019,106.07888628409326,111.50193719033561,98.11015528212315,95.32747407336844,94.9047561230295,97.35080846337367,0.0,0.0,0.0,0.0,2.661675837615683,162.0,431.1914857815918,1005388.468786808,1.0,,0.12008625766279657
CHC,117032.31351609818,1977.0,27.682180427159707,1977.0,1977.0,2187.0,5592.0,6274.0,1487.0,1069.0,270.0,37.0,111.0,690.0,649.0,534.0,59.0,791.0,27.0,52.0,69.0,142.0,64.0,45.0,0.26599686561571567,0.0851131647884922,0.12607586807363724,0.8004164162070448,0.3292733098614919,0.3872105076840931,0.716483817545585,0.12121364206837744,0.28944506382770163,0.22888109709116994,0.317702911429103,2.772789530603579,56.306352837529836,-4.73804071169602,-3.0411220911699077,13.65999654708338,0.4292583017395367,1.1360740297798906,-2.611863789430371,-4.757828230404527,7.426378557028374,6.092199335206987,0.7721033961780085,-0.019787518708507396,3.500127602685112,82.75214300151754,-0.019787518708507396,-5.955047666546307,-8.671595774527953,8.534290852937477,-59.443299770355225,-6.411108026280999,1.0678102695945726,1.5635391836294437,11.831208160663055,-0.10566172295700964,1.0632242172422814,98.77727967049132,94.49295536247766,97.612227869732,97.73137526848501,94.37412073151643,85.96494004824704,99.53363576146677,0.0,0.0,0.0,0.0,2.8385872322919985,162.0,459.85113165444693,1006884.5138667517,17.0,,0.0
CHW,117620.66748285994,1977.0,26.666503428011755,1977.0,1977.0,1638.0,5466.0,6126.0,1526.0,1035.0,249.0,50.0,192.0,827.0,793.0,534.0,44.0,647.0,34.0,61.0,31.0,115.0,38.0,42.0,0.27893001829350306,0.08716944133578192,0.10561540940793337,0.9099192639926542,0.3436100666090434,0.4481553132868103,0.7917653798958536,0.1692252949933072,0.2841837183161933,0.22412667325008168,0.3478259591009459,9.514109008464036,67.27524981829417,7.7057161554619515,-7.042285714285715,14.738734641932425,-1.7814348638598927,1.8816381182528878,-8.82257100489809,7.343875750297724,15.141677505584946,19.337179636323157,1.5766113667879582,-0.3618404051642275,3.923282189538664,113.20204512143134,-0.3618404051642275,8.338413879275322,-8.497560701802753,9.198727897202357,84.48769903182983,8.121606308966875,0.9867956738163746,1.9591347387287965,4.7047012732615086,0.5692382574797776,1.1503727142264002,104.77230541884745,103.88271100983941,81.47460564997925,104.05789350248413,110.61521882819589,121.81226542007212,99.12818897460815,0.0,0.0,0.0,0.0,3.0627521635814565,162.0,496.1658504733921,1007464.2923604309,4.0,,0.11989059271955597
CIN,115702.92389498172,1977.0,29.548687271518776,1977.0,1977.0,1941.0,5312.0,6018.0,1468.0,987.0,265.0,40.0,176.0,782.0,729.0,585.0,61.0,853.0,25.0,48.0,44.0,109.0,169.0,63.0,0.2763058336246261,0.09720837446394151,0.1417414418659023,0.8484656601080093,0.3472601293434696,0.4410724148491193,0.7883325441925887,0.1647665812244932,0.2960120892221668,0.26819541484380194,0.3461119660303699,18.672430729354296,82.76961700329686,15.407247072421946,0.38085742771684944,16.355484094340746,0.11982827298603171,1.360252227005572,0.5006857007028812,16.923155658988726,35.13957768103793,31.518336941904977,3.6118019921369346,1.5159085865667812,4.796914046293978,109.84570991926587,1.5159085865667812,10.957328922639135,-8.783127974706554,10.572449413147078,96.1108005642891,9.27025617286563,0.9294363195222055,1.1176740698485792,6.243934862080425,1.7047912792738151,0.9258393360147736,102.60548950211175,107.92110259213597,109.7410482545145,103.07003027644514,107.50178650697376,116.85276537543598,101.79188782838783,0.0,0.0,0.0,0.0,3.398717428049186,162.0,550.5922233300099,1005588.2801595214,18.0,,0.0
CLE,116252.66454661093,1977.0,27.712702162456843,1977.0,1977.0,1538.0,4861.0,5503.0,1294.0,966.0,195.0,44.0,89.0,599.0,561.0,484.0,26.0,624.0,31.0,48.0,79.0,131.0,84.0,80.0,0.2663308070626931,0.087952025581501,0.11339269437325095,0.7884122688302744,0.3332711465934945,0.3805585655131746,0.7138297121066691,0.11422775845048153,0.28685666806850807,0.21751771973832454,0.3192922473137318,-0.6291661418348561,50.53315785208102,-1.2265899103936733,0.3830637833908777,13.054934622803826,-1.4295951243765501,1.666673782678697,-1.0465313409856725,-1.955513914714767,11.719563149782086,12.663323181725218,1.2038680475067038,-0.728924004321093,4.124788783651297,95.90128019118775,-0.728924004321093,-4.883729316294193,-8.159928794191378,7.786539162827821,-42.714998215436935,-4.389919638633728,1.0655450709468772,1.7361711902252621,6.800290750499728,-0.14016284387847758,-2.1579176756883895,100.03976205479121,104.81534258109988,87.4742152630928,100.92688442429903,93.93075961200046,82.22377175504555,100.06056001168591,0.0,0.0,0.0,0.0,2.7297036154751955,161.0,439.48228239142287,1006121.422860258,5.0,14.0,0.13534768624931856
DET,119736.90904669261,1977.0,27.35749027237354,1977.0,1977.0,1671.0,5595.0,6168.0,1478.0,1040.0,227.0,45.0,166.0,714.0,676.0,452.0,20.0,762.0,20.0,56.0,45.0,133.0,60.0,46.0,0.26411228519552526,0.0732814522201686,0.1235408555878729,0.6529306940291829,0.31831896883787286,0.4102897811655318,0.7286087500034046,0.14617749597000648,0.2780088563343061,0.22373540916990922,0.3221637434001894,4.742118294747964,64.65129366927984,1.9138947932600356,-1.7864059930568243,15.2868420893783,-2.9415723729356835,1.9516129085634644,-4.526689104453193,1.8589918023002558,14.570757695788828,13.493459333250145,1.5025538247373045,-0.054902990959779796,3.5107121139502575,94.33880640685433,-0.054902990959779796,-1.0920741073787212,-9.299816307477682,9.7422107203384,-39.49550020694733,-3.8447339236736298,1.0259084218941465,1.9259282555928707,5.150129701686122,0.2831983051834152,0.5734956099773239,99.20643600380768,87.33193429615599,95.30278343954326,96.39880951695078,101.26911939020763,105.22192877987999,96.97429047169817,0.0,0.0,0.0,0.0,3.1766504953615433,162.0,514.6173800259403,1009534.8976977951,6.0,,0.12089624641050584
HOU,115947.46625974907,1977.0,27.536453034927092,1977.0,1977.0,1963.0,5272.0,5898.0,1333.0,919.0,252.0,60.0,102.0,644.0,597.0,476.0,57.0,799.0,36.0,37.0,76.0,96.0,187.0,71.0,0.25313326083740256,0.08070532314835537,0.13546965027958632,0.7166831796264835,0.31607990374432016,0.38255429949491354,0.6986342032392335,0.129421038657511,0.2782621126098678,0.23346897217361817,0.30886933213250867,4.53242284223719,55.4587094003301,6.301406686074914,1.8185825703628349,12.99470566812285,0.17285410337789295,1.0807431453809575,1.9914366737407279,7.358022495590073,23.42490798283461,22.551925443043206,2.403311626230626,1.0566158095151583,5.052491660354366,93.65301411169767,1.0566158095151583,1.485444288700819,-7.907139835116842,9.164258045439029,0.7590013742446899,0.062254659831523895,1.0729258514513764,1.8719587869088847,6.88351983723296,1.0944498218474394,0.9642766359122866,94.00041177839451,89.59935301105115,104.88521375716743,93.81544984820349,93.23927148265457,91.78564095037036,95.68807080853772,0.0,0.0,0.0,0.0,2.700337840846049,162.0,437.45473041709056,1005821.3182434724,21.0,,0.0
KCR,118670.98261008297,1977.0,27.57051691129547,1977.0,1977.0,1836.0,5595.0,6268.0,1549.0,1027.0,299.0,77.0,146.0,822.0,773.0,522.0,49.0,687.0,45.0,57.0,49.0,102.0,170.0,89.0,0.27634569264693687,0.08328015266831527,0.1096043389511806,0.9114060026179004,0.34009733926898533,0.436102431749681,0.7761997710186664,0.15975673910274413,0.2899719017045309,0.2161774083248245,0.3411429944266352,10.194728326634838,69.63880580825337,8.521950048806339,2.652520740268028,15.168164474461715,-2.0033940162649944,1.936461789458907,0.6491267240030338,8.832507284223936,26.586260272147587,29.71529605577204,2.725998420549188,0.31055723541759755,5.43249623523826,108.99682316439545,0.31055723541759755,12.536705438047647,-8.680839856514789,9.956744851745384,98.024797514081,10.010138463228941,0.9968148006724186,2.420234499306048,5.556796426292278,1.1708329256858596,2.4594280498587295,103.80157534970554,99.24771685953928,84.55177462866813,102.99410916385204,107.64028560925925,114.99658078302258,101.16334695922512,0.0,0.0,0.0,0.0,3.151988937275048,162.0,510.6222080408424,1008482.5662093172,7.0,,0.11750643367262285
LAD,117544.68244638602,1977.0,29.276568705321683,1977.0,1977.0,2156.0,5560.0,6295.0,1476.0,1034.0,223.0,28.0,191.0,766.0,725.0,586.0,66.0,891.0,23.0,44.0,81.0,101.0,114.0,61.0,0.2653531904937252,0.0930897532830818,0.1415409048177919,0.7466145080743448,0.33479932642144555,0.42006501978363786,0.7548643462050834,0.15471182928991262,0.2833068117200953,0.2649722011866561,0.33224023630976907,9.935450594655801,66.17047269444062,8.873870682676879,2.8042891183478953,14.34931957179901,0.2211285176425817,1.1934036186864085,3.0254176359904768,9.11049819876233,27.67863902523823,29.313606523358636,2.8378840714837548,0.2366275160854521,3.716459106208473,103.85318656043391,0.2366275160854521,6.635826849844307,-8.157424701136966,9.286555131231276,85.21289721131325,9.251433927332982,1.001953181109559,1.4102923311972861,4.556791104050834,1.2848604825536134,-3.869837924590626,98.53825250227784,103.34859388135013,109.58578564688332,99.37154828581178,102.3816918844851,109.72191663178857,97.43830784964635,0.0,0.0,0.0,0.0,2.9818305730945203,162.0,483.0565528196982,1007393.197299444,22.0,,0.0
MIL,117777.04058663029,1977.0,26.975613915416098,1977.0,1977.0,1714.0,5323.0,5864.0,1381.0,963.0,248.0,45.0,125.0,621.0,582.0,416.0,22.0,823.0,21.0,43.0,60.0,119.0,82.0,66.0,0.2590426953794338,0.07094133638250341,0.14034788499010914,0.5321456509474761,0.3131136648321965,0.3934868526091405,0.706600517441337,0.1344441572297067,0.28340345999965894,0.23260572793144613,0.31346277422751967,0.09630341635085496,56.85416805636262,-0.9380585203144339,-0.457537517053206,14.48273171276225,-0.7671017302263726,1.848955199290461,-1.2246392472795786,-1.3159856368737701,13.791062027899365,11.26446058830369,1.4192153654942705,-0.3779271165593362,4.177728952122553,91.33216971247747,-0.3779271165593362,-4.994692966341972,-8.887735338736132,8.720659719640325,-57.559198312461376,-6.233972723595798,1.0279613556022695,1.8305081741090907,5.3478854024556615,0.04907060664281818,-1.280523509599037,97.30218555486206,84.54314072849624,108.26818404132275,94.82245008366611,97.12176340866591,96.77600127859515,98.85602139826453,0.0,0.0,0.0,0.0,3.009554004079127,162.0,487.54774897680767,1007609.3511255116,23.0,,0.10313241858117324
