Team,xMLBAMID,Season,Age,SeasonMin,SeasonMax,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,TTO%,wOBA,wRAA,wRC,Batting,Fielding,Replacement,Positional,wLeague,Defense,Offense,RAR,WAR,WAROld,Dollars,BaseRunning,Spd,wRC+,wBsR,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB%1,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,C+SwStr%,Pull,Cent,Oppo,Soft,Med,Hard,bipCount,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,UBR,GDPRuns,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD%+,GB%+,FB%+,HRFB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,rFTeamV,rBTeamV,rTV,Events,Q,TG,TPA,playerid,teamid,playerTeamId,Pos
ARI,310802.2722899845,2006.0,29.445112523621372,2006.0,2006.0,2092.0,5190.0,5821.0,1383.0,892.0,307.0,35.0,149.0,714.0,692.0,465.0,43.0,896.0,61.0,51.0,54.0,127.0,72.0,26.0,0.26588261329118706,144.41625150317816,135.60213021817557,67.95705205291188,17.528087957395638,21604.0,8148.0,13456.0,8.051537536505755,3.594399587699708,0.8416079711389796,0.07988318108727022,0.1539254420840062,0.5955525833542347,0.32998076626352857,0.4242416394872015,0.7542224057507302,0.15835902619601444,0.2926528924040543,1.452776446086755,0.19074640303916857,0.4358546733848136,0.3727117549082632,0.12486671461896585,0.08819253365298058,0.05826662642896409,0.15817836736746263,0.25940560026455933,0.32509463035347547,2.3581037668364826,59.65071089850545,-2.6340975397459774,-1.5051964167819603,14.337121537168029,0.29578993296651646,0.9459652344137366,-1.1302808862316471,-2.861211890077801,11.291593995272317,11.42512738566387,1.0894175035227895,5.229204224699289,-0.2271143503318237,3.8104739173281748,87.49946268655744,0.14965940898770216,-8.9033169480972,-8.245006116322248,8.077338933461602,-45.9974026591517,-4.448860800825059,1.007451731737865,1.4651501023494178,10.829754337742656,0.05269594727318591,-4.302874109583064,0.634156293576705,89.93629762669015,0.13127798075864444,81.94546898877303,0.029211068759124093,85.60118060011915,0.09232596761707987,74.2959596911777,0.10430504899948338,81.18290371244187,0.009343297822222223,83.98485546432036,0.0013908065754060326,67.01479118329466,0.022365616088082903,0.0013550594879418567,2.0042191404753935,-0.5806672113468371,0.7884791155129174,0.585184856355139,-0.14166161983266065,0.19473941128011102,0.07321859456235737,-0.04059487702161583,-0.6146072709301087,0.8696737305404835,-0.011035428970877491,-0.5594717371141336,1.1807167604449154,7.525479136912148,0.22745165460811273,0.6506152965761896,0.44670524107369874,0.6349114543404987,0.9016458091268473,0.8378032858075602,0.5194484600979213,0.5781330584132715,0.07281431130218174,0.17600795269713107,0.2488222646177633,143.68252877512455,121.91513485655386,85.95464696787494,41.54870297199794,213.0310943136918,96.99003607627556,351.6739391857069,0.40265830269554764,0.3435312146742307,0.2538104854804882,0.12450811380436651,0.608182896083892,0.2673089915953241,-0.044623761608561706,-0.3530553051183576,97.6959040133931,89.93888897977676,93.69943013426402,96.19643303989972,95.98570244193395,93.24512019443195,96.8842139492035,96.72184957941488,101.36802020547279,100.15660418124209,80.80225687984084,98.78790328215283,100.70045415277552,101.01526456173119,112.27808365603305,98.96697449240668,97.3532933258783,0.0,0.0,0.0,0.0,2.8184595580982648,162.0,456.5904483765676,1953.2609517265075,15.0,-0.6658762153189471,0.0064378151692149116
ATL,293629.2403535611,2006.0,27.587795342512322,2006.0,2006.0,2225.0,5223.0,5883.0,1407.0,884.0,289.0,26.0,208.0,796.0,771.0,494.0,45.0,1079.0,51.0,44.0,70.0,126.0,50.0,32.0,0.2687744553940166,148.3936766955635,130.2595614482407,72.28284888662247,13.29134795172531,21784.0,8208.0,13576.0,9.060513343532211,4.767805541390447,0.942886282508924,0.08397076271307156,0.1834098244744178,0.4947516573620601,0.33427820805405406,0.45362905508499074,0.7879072631390448,0.18485459969097395,0.2986158811211967,1.3964960552332142,0.20227847029950705,0.43745508884531703,0.359926476781574,0.09280240830324664,0.12992235332415433,0.059070084979942206,0.15669817379959203,0.3027366996039436,0.3367042671614708,8.904193753933253,70.44917435531629,6.42700734738497,1.3978007642351251,15.401251768082577,0.23506071124958502,1.0161766921825923,1.5561166774483435,5.989480979917233,23.963026117630744,22.549996428784702,2.311962341264743,11.09741967904259,-0.4375263674677372,3.7031054886704964,99.57776919114794,-0.47322247323870026,4.684072628850117,-8.663997737551638,9.846859427415609,67.80010250210762,6.879000422544777,1.0145671525192812,1.3226679241132628,9.871664116947136,1.0930163512510136,-1.9553953948033516,0.5847405193081762,90.59897285554987,0.19146987740728139,82.44248681950835,0.022614369744614313,87.240806216541,0.08765450055763345,75.5321456880738,0.10047016563866121,80.87148254422131,0.014732676852149098,84.01283510037275,0.0006763328233305156,72.47083685545223,0.033134959263121905,0.0019026395478615073,8.987321626608386,-2.0718129948466033,-0.34767996737004736,0.49820275408706977,1.766161105718306,-0.331519124189311,-0.11151741848139066,0.4823260177884466,-1.0253028152629016,-1.9967476788437355,0.2849200072995005,0.46322654637096017,-1.5751857099091995,-11.151741848139066,0.24268003475267716,0.7137434853714092,0.481385568072412,0.5461958127266542,0.8616256358874533,0.7837511089595376,0.5083168570287268,0.6017006800714285,0.10379909884242733,0.14315776329933708,0.24695686248682644,143.48036715961246,124.57742648308687,87.76270610232875,34.709841917389085,209.32024477307496,111.790413054564,355.87540370559236,0.39277748093181425,0.347697554278184,0.25952496621492943,0.10708740201156265,0.5927863146233634,0.30012628376296546,0.18075543358493193,-0.14298561519454067,98.74151654220819,94.54101604876631,111.64753403728577,97.44922900169529,102.61704487931651,108.82757138501182,98.82395567467721,102.53379453698976,101.70489691314465,96.68729938538839,118.49309769994804,96.36374961501315,101.92174760098152,103.2895982199066,96.56855195888662,96.46155540889639,109.30527280150658,0.0,0.0,0.0,0.0,3.027651340567738,162.0,490.47951725310213,1721.4205337412884,16.0,0.9508460918614021,0.0037610708584055754
BAL,266964.5160202361,2006.0,29.512272812441445,2006.0,2006.0,2004.0,4789.0,5337.0,1349.0,943.0,246.0,15.0,145.0,678.0,637.0,407.0,33.0,734.0,66.0,36.0,37.0,123.0,111.0,30.0,0.2813945626477422,174.81375304478172,140.2385235150834,80.3605021547686,14.639497845231404,19652.0,7141.0,12511.0,9.73730560239835,8.883455124601836,3.3338954468802697,0.0762600706827806,0.13753044718812069,0.590371919751171,0.3436769817807757,0.4296367768731497,0.7733137586539253,0.14824221422540754,0.30426441814614946,1.3180367594566236,0.19982115230335393,0.44244743173149714,0.35679455853887954,0.10550056581562677,0.10230402880176129,0.0547650527659734,0.19458922760914368,0.24095934106614206,0.33536300127071855,4.46434155315334,69.85725279118834,2.04627449247014,1.466144944369209,16.364172674744836,0.18106160012745826,1.7256692233517663,1.639239858458311,2.7076324094210014,22.43671416597591,18.66016252496221,2.1647031538847323,10.390575551531077,0.6613579169508622,3.889989633298145,98.99246250284395,1.0086129176569048,0.3675007075071335,-9.177450292884915,9.570766072461327,12.636700704693794,1.31077347882092,1.020732248356576,1.4128506137446912,2.8664043470114295,0.3946822068874049,-0.9210430060161627,0.6213506040622073,90.90662187535145,0.13861485317013694,83.08059392677171,0.0289607773130089,87.65085491336428,0.0806001466191102,75.5952690316238,0.09574030222848554,80.95331926419361,0.017090135921576054,84.30611605247852,0.019301853993814032,67.66718979840188,0.020968799404649404,0.0010783665900473934,3.7042346789438962,-2.2755665295811336,-0.8863814530262463,0.9411076642803656,1.5096303059704452,-0.5605282027752116,0.20161428552991575,0.1701084293075499,-0.9648364712206606,-1.6607824368266322,0.47480486621034657,0.5960962522938109,-1.9448647046095402,-1.5520039283023919,0.2462217417032041,0.666341989947536,0.4663340713678098,0.6536866463953488,0.9131149687708454,0.8472709525089003,0.5234280805489976,0.588301461224222,0.07150456970582725,0.169694623166573,0.24119919373056026,163.8933857972644,134.8630316657298,105.53981637624133,42.425519955030914,243.81094247704704,118.05977140715758,404.50777590406597,0.40843669362750606,0.3345979888963837,0.25696531827431135,0.10753075001873715,0.6109211704515645,0.2815480799831366,-0.33708157335716604,-0.011414090194573031,102.19987305196041,92.02933105293722,85.20333217298143,101.05240226271535,98.1396033417968,91.25756317813885,99.81600060727031,101.79874974621742,101.56526722593232,97.18107601585982,95.0983444119524,100.83440100946032,99.6384221286159,99.16428055783062,99.98335949593547,99.29828852462283,101.56380500458131,0.0,0.0,0.0,0.0,3.2169469126025847,162.0,521.1454000374742,1407.9430391605772,2.0,-1.0776125483805257,0.08215668821622635
BOS,202032.98044049967,2006.0,30.330046022353713,2006.0,2006.0,2125.0,5296.0,6084.0,1439.0,931.0,307.0,16.0,185.0,792.0,743.0,648.0,56.0,952.0,62.0,56.0,22.0,127.0,50.0,22.0,0.2723070108936555,138.69247205785666,151.6914858645628,77.81771860618015,14.969428007889546,23871.0,9289.0,14582.0,7.052432610124918,4.23422090729783,1.3903681788297173,0.10650887527514792,0.15647600213362917,0.7303749866061802,0.35434379535470084,0.44387145815220264,0.7982152535069035,0.17156444725854703,0.29903066407363577,1.0035135029406639,0.2013907859207758,0.3944833529899737,0.4037971285174227,0.10152680801298487,0.10599166384944116,0.05357297376380671,0.2916361415936884,0.2933925029026956,0.34391959041041553,10.115248014088822,74.18822248740028,6.022803564014188,-1.3768513373064546,16.033866641128203,-2.4450748586858193,1.6908370953958383,-3.816947443622001,5.177987040093394,19.08574333299544,17.231049299301873,1.8414001480582962,8.838721061899026,-0.8448165239207929,3.090049407963204,102.05999811072323,-0.12980993992658127,6.885005027521402,-8.794029866978049,9.960905619738053,34.136201940476894,3.1573499431833625,1.0169084038999345,1.8277951333273317,4.270216962524655,0.8639367630355915,0.9899836768999557,0.5927949067357002,90.45566766043063,0.14947467358434727,82.71474566145181,0.03218230135399404,86.67698400944812,0.094801295145727,75.85103510858883,0.11664748625000002,80.6545191624934,0.01492976897631274,84.28044652611064,,,0.02576554537937905,0.002407748341110593,10.046631027849479,0.44861880781429747,-0.25207095546539865,0.6072856141304913,-0.26692748106758407,-0.44733043944196865,,0.6445053493345105,-0.25585976799796667,-0.39136017089277464,0.11088291366183597,-0.24356484073956214,-1.4410805037317638,,0.21726619265494004,0.641599936918146,0.43304050660092047,0.5972617433289495,0.9056328986503369,0.8292493891666668,0.5107863758284025,0.5791550233207299,0.07479821397107167,0.18070824447896122,0.2555064592455621,164.37310979618672,122.32281393819855,85.73997370151217,30.977810650887573,238.6050295857988,102.85305719921105,372.43589743589746,0.4377289259487011,0.3290735283755344,0.23319754689082534,0.08462264334100625,0.6423444754702401,0.27303288138770143,-1.0695480237656874,0.3519465626933047,98.89935925779939,128.53306396142446,96.9405470532299,104.18879833599456,101.39115453485401,105.614675729364,98.03935610636371,102.5359853728719,90.49986793284101,109.91638454822659,98.60320021201616,108.06603524907561,97.9933173728854,89.99217171058359,78.68312973086492,104.40578955608916,98.49208871855306,0.0,0.0,0.0,0.0,3.1520137815220246,162.0,510.62623274161734,1027.6793228139381,3.0,2.562273714699493,0.11683454863412228
CHC,277379.3170153968,2006.0,27.656138965653376,2006.0,2006.0,2019.0,4606.0,5066.0,1247.0,827.0,231.0,44.0,145.0,605.0,564.0,320.0,19.0,785.0,41.0,29.0,69.0,117.0,116.0,45.0,0.27075594768258987,174.85491512041057,116.74871693643901,68.8499802605606,11.230754046585076,18587.0,6586.0,12001.0,13.252467429924991,12.173312277931307,4.523489932885906,0.06316620554401894,0.15495459887228583,0.540465117631662,0.32087584767686544,0.4349793212773392,0.7558551689542046,0.16422337359474928,0.2950848840886301,1.6502102152412157,0.18867888035866562,0.4841698270126332,0.32636171360679034,0.0918739664115673,0.1207514742895776,0.0723898162996447,0.2650017929427556,0.24674299173904465,0.3245627384151803,0.9941830595874322,59.30718899347187,-3.6248527826354593,2.8605314874177044,14.592470043304642,0.8030202935063352,0.9628131636747472,3.505448974671186,-3.8294997673293087,15.231232414321273,14.221389267690729,1.4695153934274172,7.053674168739423,-0.20464698469384962,4.571483928214696,88.00478447678941,0.21165783359341275,-6.379358250065707,-8.258954589552603,8.111005592142233,-54.51840094476938,-5.372609386220574,0.9720093509137477,1.7007639289046255,8.983418870904066,-0.1487879853021314,-1.0616946403285858,0.607264711519937,90.23706521842054,0.15548200359920633,82.24061107494842,0.03614104868943606,85.90237463473392,0.09383921839232745,75.10349412047063,0.09554726091887583,80.8249090549352,0.01427821872203811,84.88380994157623,0.0005261004788732394,74.04131455399062,0.026711081592850048,0.0018559196620834305,3.342192464198901,-0.9837139047985335,-0.3352948748776608,-1.44099905110847,1.3135714291655995,0.8043895045846281,0.6042926402124161,0.13442298124755994,-0.8515042449409785,-0.6897436107990721,-1.1314206094455466,0.26406073626814175,1.5011724023985935,60.42926402124161,0.26136700030811766,0.6712954225883514,0.47578133953612317,0.6162294876615931,0.8939223651451135,0.8227857976806158,0.5256081099624875,0.6033563663849951,0.08601340841294908,0.16685981750690884,0.2528732241255428,142.62554283458348,131.5752072641137,98.2781287011449,44.77615475720489,234.44295302013424,93.40781681800237,372.741018555073,0.37824281562907375,0.3572525902567648,0.264504594122062,0.12052790261110014,0.62681005834683,0.25266203893146355,0.1269117756725304,-0.567572078523193,99.4891095576874,71.11757782268126,94.32591139217061,93.5606233738485,98.4176492359335,96.70064730917018,97.69934935666619,95.68327578720435,112.61636048014158,87.71022298758652,110.10103760115094,92.79782509254093,104.72264715873045,105.2714651974857,108.6888376077405,101.99809202512537,92.01890830254368,0.0,0.0,0.0,0.0,2.8686571810126327,162.0,464.7224634820371,1803.3428740623767,17.0,5.968899025502799,0.0030364943525463873
CHW,254257.76763754044,2006.0,29.666990291262135,2006.0,2006.0,2182.0,5535.0,6180.0,1562.0,1023.0,285.0,20.0,234.0,857.0,824.0,490.0,33.0,1029.0,58.0,53.0,44.0,117.0,93.0,48.0,0.2823649829875404,153.79449838187702,144.93446601941747,75.94498381877023,15.172168284789644,23380.0,8653.0,14727.0,9.404045307443365,7.114563106796116,1.2757281553398059,0.07928802546521035,0.16650485391925568,0.46177762640048553,0.34371393425792884,0.46979686792944986,0.8135108021873786,0.1874318849419094,0.30742270710097086,1.1897760583658576,0.20070765895679613,0.42217960262961163,0.3771127370503236,0.10197673169692557,0.13410014405550164,0.06091163349822007,0.10024511870048543,0.28365695733495144,0.3477439536764273,10.093788047712096,75.01644520413188,5.7577736077652775,-0.8058087826598549,16.246494491485137,-2.098047050440075,1.7132595755713675,-2.900335309292193,4.9342486484948465,19.99366740625916,19.788926341886373,1.9289970256733917,9.259186091159261,-0.8235249592704302,3.5705186118253756,104.30639348625657,-0.39901037130425354,5.591386098880321,-8.90044829147641,9.565487841884817,61.27520100027323,5.5766945499926805,0.9560583449357632,1.6855272372245487,6.739482200647249,0.7724215412216298,-0.4940863564550112,0.6088780807265372,90.57044227887216,0.15090144474776965,83.02138574146309,0.02044983471772214,87.52745716466374,0.08891449941576307,75.8815215253957,0.11598831553606238,80.89576070684049,0.016075507760901518,84.24967746859708,,,0.02314923502364259,0.002031004517632752,9.814953450296786,-2.39397721866392,-0.3894067144244202,0.9511498632146126,1.000518955189863,0.4173845778600114,,0.6501734588379915,-0.9721978437492904,-0.7736318557745319,0.6623985533028647,0.2828025241852778,0.7141302108355362,,0.24668510533656957,0.688785895213592,0.4750974554304207,0.5775196202669902,0.8832803252783171,0.8091494522297735,0.5180156579999999,0.5873118620780061,0.08956263180582523,0.15669841015695796,0.24626104368770227,160.70323624595468,121.45177993527508,99.63349514563107,40.43381877022654,221.74789644012944,119.60679611650485,381.7885113268608,0.4164930933527509,0.3179464515161812,0.2655604557071197,0.10933994674110033,0.5833301888996765,0.30732986661812295,-1.0165123110795997,0.5901349092218113,102.55232064228068,95.68341438371067,103.1536555501107,101.06326751347068,107.31315555750808,115.3826335572392,100.75761477871089,102.15458608322066,96.82192695378112,102.61896261185422,124.74750586178556,102.82335615196455,94.67983630896555,102.48118957560543,101.66557143125875,94.81368807819827,110.86415750055387,0.0,0.0,0.0,0.0,3.1938131773220064,162.0,517.3977346278317,1880.2983818770226,4.0,2.7181703583648478,0.11663315756796115
CIN,249173.6620325044,2006.0,29.59917759937341,2006.0,2006.0,1801.0,4455.0,5107.0,1144.0,716.0,233.0,9.0,186.0,609.0,593.0,504.0,48.0,947.0,53.0,33.0,58.0,97.0,87.0,21.0,0.2562980194458586,124.37497552379088,121.2815743097709,62.02447620912473,11.671627178382613,19523.0,7580.0,11943.0,7.063050714705306,5.040336792637556,1.3338554924613275,0.09868807465517918,0.18543175998629335,0.6470578817877424,0.33607056396240453,0.43857048669943216,0.7746410506618366,0.18227246725357352,0.2839551409154102,1.215561411111024,0.19597552711748578,0.41733530220971216,0.38590593067162715,0.09401274223712551,0.1314336116700607,0.05305966409457606,0.18411365450146858,0.3205404339044449,0.33288390836859066,5.997339007454589,61.83902568044867,2.4673186275167303,-2.012540953478616,13.974037642085742,-0.5948033633313464,0.922008909496426,-2.483998846193396,3.7606846041485555,16.17273230953733,16.416693141498296,1.560351679769514,7.489688360507131,1.2933659766318264,3.3083357889971303,94.87773787465949,0.764346985290059,1.417436028830707,-7.941177629800238,8.52497458223774,-38.78420106321573,-3.749012724496424,1.0209390678289283,1.9779783286735653,9.864891325631486,0.39004711804585795,2.2685644846772557,0.6146595429116898,90.11659143617975,0.1524049665341688,81.97417835545133,0.04040872856549267,85.25808634963397,0.08735871880751908,74.8070947991894,0.0900369030347277,80.66969277706697,0.016476819386052055,82.7825576591079,,,0.033442673026677125,0.0014862122047244095,4.359148683515528,-0.39732292282904036,0.6237992026135886,0.7029446456388051,-0.1076974001916709,-0.5865941673262608,,0.050611005219008465,-0.14529159363044458,0.4679229033900206,0.051895271484262984,-0.5043522069464644,-2.270010393340026,,0.21048447044252988,0.6669084182044253,0.44539818285294686,0.5137505823560518,0.8730944702741336,0.7928290800881144,0.5175459201801448,0.5858625407049148,0.09311125642451536,0.16831610129626004,0.26142735755629526,135.1270804777756,105.0178186802428,72.57646367730565,33.12159780693166,188.77383982768748,90.82592520070492,313.08713530448404,0.42778436975519,0.3373430970485703,0.23487253388562476,0.11447819663141402,0.6034014190775558,0.2821203849862906,0.5818503948767301,-0.018878944828302123,94.15796262985128,111.11094562375278,112.87835204024834,97.97173898636395,99.21059246953952,107.30741877519567,94.01381777639747,99.38293790918642,97.07024696554136,103.7121668816756,119.2720487444905,104.95231475570532,98.88651084317394,93.47805811697131,103.23337302512664,98.18890515154925,102.74756809961806,0.0,0.0,0.0,0.0,2.7470827975347563,162.0,445.0274133542197,1062.0289798316037,18.0,-1.0064746595222147,0.005028778960250637
CLE,368579.914313919,2006.0,27.20552813425469,2006.0,2006.0,1661.0,4473.0,5065.0,1243.0,788.0,277.0,22.0,156.0,709.0,661.0,485.0,38.0,985.0,46.0,33.0,27.0,101.0,48.0,17.0,0.27851265244698914,139.13307008884502,134.8659427443238,72.81085883514314,10.216189536031589,19903.0,7636.0,12267.0,7.122803553800592,2.6910167818361304,0.742152023692004,0.09575518203040474,0.19447186533030605,0.524847747213228,0.3520197211605133,0.4573688722404739,0.8093885934009871,0.1788562197934847,0.32356712516268515,1.0912076970331688,0.20835619613583414,0.407208321780849,0.3844354808205331,0.08217511781382034,0.11693979273149063,0.05502963249496545,0.13091249640848962,0.32102665231984207,0.3476480308610224,11.477291151604819,74.35277856795493,10.182525022173593,-2.092110342249839,15.734202891573501,-0.44150635609210187,1.659236322155476,-2.5228773362691874,10.064676169122013,24.935238046581805,18.74541617430166,2.405761736901567,11.547656795990157,-0.11784885305157879,3.639787790893042,108.67286305718525,0.05227951649307509,3.928745837882161,-8.082609297133622,8.822965364339085,84.79690054059029,8.12332159653306,0.9209282630523125,1.6412257085133208,2.9871668311944717,0.9806383608936939,-1.5085282154856947,0.5863095858460022,90.76541862315698,0.15076077329446638,82.6667421612411,0.027782385482395065,86.02443711956434,0.09139165510490894,75.55321228131038,0.12344160506431825,80.81856356375421,0.013668582829209894,84.32751087552863,0.008592169252708379,69.15276611001546,0.030497579144331946,0.0008506705242825607,9.280519437219171,2.401228602765047,-0.28753348726127836,-0.36164751105078347,-0.9043442257797036,0.32542613385422103,-0.323380652852167,0.5759715330704391,0.37088231499015756,-0.03780168335041121,-0.5460817946252193,-0.42886181616204505,-0.3009284289452139,-1.4362875297057691,0.2096191656406713,0.6564183667502468,0.44135573615992096,0.5425016118381046,0.8670198718321817,0.7929591877769002,0.5193824327423494,0.5840078977847977,0.09104798952023693,0.17613585326357353,0.26718384345113527,143.86929911154985,114.90542941757157,90.72615992102665,33.703060217176706,208.22724580454096,107.5705824284304,349.6122408687068,0.4068233416900296,0.33460495161105624,0.2585717064758144,0.09988251431391906,0.5958464798756169,0.30427100594274425,-0.33615797803051345,0.16515178796429558,101.15319022378931,115.55569340824361,120.47987393927852,103.50544363722324,104.4742957743062,110.10347398608654,106.04893847834376,106.04747763368682,93.3884397561176,104.61160909483691,108.77765795564139,100.43609842906113,99.640495678495,99.78419458896691,92.87194042135499,96.8480690392702,109.7607239976824,0.0,0.0,0.0,0.0,3.0931044572655475,162.0,501.08292201382034,1979.28923988154,5.0,2.9441240803340625,0.13410661724185588
COL,373241.4498053157,2006.0,27.392415777890637,2006.0,2006.0,2097.0,5167.0,5907.0,1407.0,904.0,305.0,50.0,148.0,763.0,714.0,524.0,59.0,1011.0,56.0,43.0,116.0,108.0,74.0,49.0,0.271531599660403,134.34467580836295,122.34958523785339,72.23057389537837,9.108515320805823,22289.0,8225.0,14064.0,8.597088200440156,8.194345691552396,1.7731504994074827,0.0887083116424581,0.1711528690196377,0.6123603528792958,0.34118217938327405,0.43452694361740307,0.7757091230006772,0.16299534395700016,0.30952263545776193,1.4629001285060095,0.21410188031572708,0.4365636070973422,0.3491652205134586,0.07864318908244458,0.09838229902657863,0.06454260960843067,0.08896072144404944,0.2849162021076689,0.33337722780737633,10.838009225326179,67.88074601345023,3.1455145716525275,-0.3034530967064182,14.274593024969162,-0.7537578001053317,0.9418395946508036,-1.0376896209105413,2.642162788638201,16.820905787347627,13.65413970676517,1.6228877160759403,7.789861346705784,-0.5033517830143285,4.510670411411654,88.32609584530753,-0.7147280909334277,-6.996934817871079,-8.350310495882223,8.776611624329647,-18.172199934720993,-1.7704135430976748,1.0349216535889256,1.4348292921374266,8.307770441848653,0.5955739596943601,-3.6224177229250762,0.6378185506297612,89.91042078698221,0.15767189427456302,81.81716731363822,0.02255726659976186,86.9150345685226,0.08336710756366722,74.58728188783702,0.08896093992358634,80.21452331828495,0.010804260864920744,83.37608231488112,,,0.033671935101001534,0.0025060854088050314,8.028042410984849,1.9809361028352406,0.1496050301131332,0.0499624096698338,1.9725804015245092,-0.6859965084613571,,0.24850509521953812,0.0016395196186146743,1.432099225053975,-0.36521926223931794,-0.04366466073946722,-3.083809603264255,,0.2209859836329778,0.6806944212781446,0.4662365402353141,0.5893437218843284,0.8851674874657185,0.8209987755645844,0.5351184581953614,0.5946495078496444,0.0843912255933638,0.16574377785170138,0.25013500187912646,128.3506009818859,113.7993905535805,94.96918909768071,35.01134247502963,208.04164550533267,94.06619265278484,337.245979346538,0.37079369284287167,0.3419502211784626,0.2872560849102607,0.11995842083982391,0.617222068581104,0.2628195099779885,-0.2973584232665497,0.5232675694359218,99.75442755635028,99.87492841175627,104.1863260281045,99.4618839306505,98.29588818137994,95.95859372479066,102.41595206553242,108.50848749935875,101.48030862801424,93.78048450196404,89.61868342927566,90.9702625259936,100.23701308252197,114.32644110848416,108.17529260777742,100.43787994919778,95.71823563968995,0.0,0.0,0.0,0.0,2.8061674069222957,162.0,454.59911968850514,1916.0487557135602,19.0,2.5115685917289126,0.00678028968511935
DET,270293.7606997283,2006.0,29.20499320652174,2006.0,2006.0,2117.0,5352.0,5888.0,1480.0,961.0,283.0,40.0,196.0,796.0,742.0,414.0,23.0,1096.0,44.0,35.0,43.0,114.0,59.0,39.0,0.27647712496688176,155.95974864130434,144.51613451086956,70.8359375,11.675441576086957,22090.0,7964.0,14126.0,10.925611413043478,5.745244565217392,1.484375,0.07031249942068615,0.18614130381572694,0.4151699791450408,0.33136896218342393,0.4547439584519361,0.7861129206353601,0.17826683348505434,0.31307103857336954,1.1378383621902175,0.1894172896382473,0.41589849559969433,0.3938350284454824,0.0807623392960258,0.11573269252921195,0.06822442559527853,0.2804704684169497,0.289741849719769,0.33717023658524375,4.675979424000376,68.94549980413474,2.8652552189362335,3.4976339511906374,16.083051041958083,-0.6887001152284463,1.6960237924851516,2.792895093319163,2.6084137116126223,23.18038363937502,23.053324863832568,2.236452682028923,10.734973300308328,-0.25684150732361205,4.256424671254099,101.0347257230469,-0.6360364432199751,2.0143749813141767,-8.748011613435738,9.247825555954702,44.1174978017807,4.25923091173172,0.9376302603657519,1.7513786976474748,3.796875,0.613578340369555,-2.897364934312195,0.5950774907269022,91.11568658064708,0.17192694984848486,83.41329446912324,0.02521336172136752,86.35978263770257,0.08129335290481865,76.23428327935979,0.10200208295307717,81.27516263946052,0.019527086659671213,84.72165401218957,0.007261969713130536,67.83270778676743,0.03569914521968665,0.0010810559695528068,5.104709624892364,-2.4603326813979622,0.0013925319120415257,-0.8271535778424209,3.0446468841478316,-0.9975737334288013,0.42845531834184,0.39065031439927894,-0.8411921215082537,-0.9261230918306521,-0.513724209911828,0.7840308591889305,-2.2955193088011305,2.2411403313135856,0.2547359143155571,0.7102197848284647,0.4906122046790081,0.5554054625386576,0.8706415699711278,0.792205818965693,0.5188000071229619,0.5988786940587835,0.10083512616508152,0.15009960791100543,0.25093473695652174,158.10886548913044,118.9030230978261,100.04517663043478,37.78872282608695,230.0319293478261,109.23641304347827,377.0570652173913,0.4209952872853986,0.3126643318918919,0.2663403805099439,0.10343622259731428,0.6073878369607343,0.2891759403008669,0.29546225584181696,0.08541454090976706,100.41390568288237,84.8519051767268,115.31889602910523,97.43343732370658,103.87470092609895,109.74064914190193,102.69606008949717,96.49004168423347,95.46249422083893,107.26047414372186,107.60077528546518,103.93485281621894,93.10689775895534,102.78216705109209,96.17622067723711,98.72398521668526,104.3154293965939,0.0,0.0,0.0,0.0,3.161682685210599,162.0,512.1925951086956,1551.019191576087,6.0,5.387914893617022,0.10038091373811141
