,teamIDfg,Season,Team,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,rSB,rGDP,rARM,rGFP,rPM,DRS,BIZ,Plays,RZR,OOZ,TZL,FSR,ARM,DPR,RngR,ErrR,UZR,UZR/150,CPP,RPP,Def,0%,# 0%,1-10%,# 1-10%,10-40%,# 10-40%,40-60%,# 40-60%,60-90%,# 60-90%,90-100%,# 90-100%,rSZ,rCERA,rTS,FRM
0,1,1978,Angels,CF,1828,1458,13101.0,4368,1624,136,,,357,,,,,154,80,5,36,0.978,-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,1978,Orioles,P,1915,1449,12861.0,4288,1888,110,,,452,,,,,81,68,7,44,0.983,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,1978,Red Sox,CF,1727,1467,13254.0,4416,1842,146,,,463,,,,,114,55,8,16,0.977,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,1978,White Sox,LF,1865,1449,12684.0,4227,1710,139,,,340,,,,,129,60,13,40,0.977,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,1978,Indians,P,1799,1431,12666.0,4221,1766,123,,,370,,,,,129,59,15,57,0.98,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,1978,Tigers,P,1754,1458,13100.0,4367,1856,118,,,472,,,,,85,59,10,48,0.981,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,1978,Royals,LF,1969,1458,12951.0,4321,1675,150,,,407,,,,,90,52,11,37,0.976,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,1978,Twins,2B,1845,1458,13137.0,4379,1943,146,,,459,,,,,91,76,7,51,0.977,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,1978,Yankees,P,1859,1467,13146.0,4380,1758,113,,,362,,,,,83,61,11,43,0.982,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,1978,Athletics,P,2165,1452,12900.0,4302,1627,180,,,368,,,,,110,80,10,37,0.971,-43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11,1978,Mariners,1B,1827,1440,12774.0,4257,1882,141,,,460,,,,,140,55,6,31,0.978,-38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,13,1978,Rangers,CF,1836,1457,13107.0,4369,1972,153,,,364,,,,,84,75,12,35,0.976,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,14,1978,Blue Jays,P,1808,1449,12864.0,4290,1761,131,,,437,,,,,101,66,16,47,0.979,-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,16,1978,Braves,LF,1991,1458,12963.0,4319,1739,153,,,321,,,,,166,57,32,67,0.975,-54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,17,1978,Cubs,P,2097,1458,13098.0,4365,2055,144,,,413,,,,,118,62,9,53,0.978,-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,18,1978,Reds,1B,2033,1449,13035.0,4346,1676,134,,,316,,,,,106,60,17,36,0.978,-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,21,1978,Astros,C,1904,1458,12963.0,4321,1617,133,,,294,,,,,167,59,22,47,0.978,-42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,22,1978,Dodgers,LF,1894,1458,12963.0,4321,1824,140,,,368,,,,,105,56,10,35,0.978,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,23,1978,Brewers,P,1745,1458,12924.0,4308,1976,150,,,396,,,,,80,46,4,34,0.977,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,24,1978,Expos,3B,1957,1458,13014.0,4339,1785,134,,,396,,,,,108,61,3,40,0.979,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,25,1978,Mets,2B,1971,1458,13098.0,4366,1794,132,,,424,,,,,111,69,16,33,0.979,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,26,1978,Phillies,P,1934,1458,12927.0,4307,1825,104,,,418,,,,,91,56,6,29,0.983,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,27,1978,Pirates,2B,1937,1449,13002.0,4330,1690,167,,,358,,,,,138,47,13,40,0.973,-33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,28,1978,Cardinals,P,1916,1458,12939.0,4307,1846,136,,,416,,,,,162,78,11,61,0.978,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,29,1978,Padres,1B,2100,1458,12903.0,4306,1916,160,,,457,,,,,102,65,16,28,0.975,-38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,30,1978,Giants,C,1956,1458,13095.0,4362,1706,146,,,310,,,,,159,54,6,32,0.977,-33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
