Team,xMLBAMID,Season,Age,SeasonMin,SeasonMax,W,L,ERA,G,GS,CG,ShO,SV,IP,H,R,ER,HR,BB,BK,SO,K/9,BB/9,K/BB,H/9,HR/9,AVG,WHIP,BABIP,LOB%,FIP,RAR,WAR,RA9-Wins,LOB-Wins,BIP-Wins,BS-Wins,Games,ERA-,FIP-,kwERA,E-F,K/9+,BB/9+,K/BB+,H/9+,HR/9+,AVG+,WHIP+,BABIP+,LOB%+,rFTeamV,rBTeamV,rTV,Events,Q,TG,TIP,teamid,playerid
BKA,112988.00919842311,1875.0,24.106084243369736,1875.0,1875.0,2.0,41.0,3.9144323490481185,56.0,43.0,13.310381077529568,0.0,0.0,380.5,505.0,418.0,166.0,8.0,21.0,0.0,37.0,0.8745471735026439,0.49609776482984497,2.258409986859396,11.88983082509026,0.18891616230979763,0.3173217196043623,1.3762142877689005,0.3218539081639806,0.2175466603153745,2.6134437958494083,5.755414468316306,1.311318384949118,-3.975531978394136,-3.241805742287448,-1.1907301837801147,-4.4325359207493555,22.85492772667543,171.8622536987951,114.74265495949302,2.4041841552514494,1.3009885531987109,155.48342268022483,130.77916803761485,75.76832005990603,120.39210699129941,309.4793264965126,113.28025699137396,120.77632506206194,113.5681542517558,53.94108571640645,0.0,0.0,0.0,0.0,3.7207919763469115,44.0,163.7148688478006,1010.0,1002923.3461235217
BSN,121673.19745658415,1874.9999999999998,23.457267879119374,1874.9999999999998,1874.9999999999998,71.0,8.0,1.6944861459458096,106.0,82.0,42.4088609325858,5.6942431286749615,17.0,731.3000000000001,750.0,343.0,138.0,2.0,29.0,0.7862710242034732,43.0,0.5287833462920847,0.3563229394239877,0.8971303518829482,9.216462993876466,0.024572577757883435,0.26597823724423264,1.063642881477828,0.27272419199771497,0.5662932217954327,2.4063034157414815,57.98740202264164,7.39674110407941,14.926464592858904,7.5972690299366255,2.5739969882212956,10.171266015809046,61.81266238205934,68.52728470121973,97.31413119269939,2.4680963674961633,-0.7118172697956722,94.01098880522234,93.93232720282384,56.92117384484724,93.32255564971031,40.25438968171626,94.9512157778093,93.34511314482621,96.23242818975405,140.4134232811598,0.0,0.0,0.0,0.0,5.840062785450567,81.99999999999999,478.88486925515303,16.0,1011431.2140024612
CHI,113313.0,1875.0,26.0,1875.0,1875.0,7.0,16.0,2.892857142857143,28.0,24.0,24.0,0.0,0.0,224.0,254.0,179.0,72.0,0.0,11.0,0.0,10.0,0.4017857142857143,0.4419642857142857,0.90909091,10.205357142857142,0.0,0.28678529491464183,1.1830357142857142,0.2900602959985383,0.3245283,2.427578503744943,33.17446517944336,2.758622407913208,0.20029912889003754,-2.208557605743408,-0.34976568818092346,-2.558323383331299,28.0,112.33771876489551,94.26965475853892,2.534222773260823,0.4652786391121997,71.43241660819672,116.50873212032623,61.31078138502155,103.33573850643509,0.0,102.37909951383924,103.82300725873112,102.34958036143715,80.46737660913713,0.0,0.0,0.0,0.0,3.24638,69.0,224.0,17.0,1003249.0
HAR,112141.59922178989,1875.0,22.814526588845656,1875.0,1875.0,54.0,28.0,1.622568093385214,89.0,86.0,41.77172503242542,6.525291828793774,0.0,771.0,706.0,343.0,139.0,4.0,16.0,0.0,16.0,0.1867704280155642,0.1867704280155642,1.0863813211543452,8.24124513618677,0.04669260700389105,0.24407464153891872,0.9364461738002594,0.2445415271158048,0.530591020311284,2.457739936022134,58.482790796982485,9.5602126121521,12.692841779783697,4.169352436740188,3.651323697716964,7.820676134447488,44.22568093385214,62.91431480768789,95.29771471497503,2.521018892568258,-0.8351718426369199,33.205419082201956,49.23562031827016,73.45812943196094,83.44785394957806,76.49105503336344,87.13188039280402,82.18235233800785,86.28799951777525,131.5609988581479,0.0,0.0,0.0,0.0,4.49125271076524,86.0,386.2477302204929,1033.0,1002092.3605706875
NHE,119676.0865271573,1875.0,22.743309666848717,1875.0,1875.0,7.0,40.0,3.3364464211801126,55.0,47.0,21.70561956266165,0.0,0.0,425.3,500.0,397.0,158.0,5.0,22.0,1.0025864095932282,46.0,0.9706723149290285,0.46437956489738075,1.8060192796567132,10.560848886828405,0.10544093168217486,0.2932200013582775,1.225025383525087,0.30058929699822035,0.24616963664707267,2.4609345868706014,17.099477144457047,2.8303778618574142,-2.1467862933166386,-3.3072951198738374,-0.21027593057127017,-3.5175710259228348,26.0616035739478,142.87093579300443,105.3803955946857,2.3605233793322706,0.8755118343095105,172.5732566507988,122.41775201663937,106.93819714986414,106.93531874473396,172.73158698117336,104.67621677548752,107.50801328313786,106.06480388154293,61.03820433677512,0.0,0.0,0.0,0.0,4.570117575828827,47.00000000000001,214.79551826564952,1052.0,1009479.5969903596
NYM,118354.4017576899,1874.9999999999998,23.051789077212806,1874.9999999999998,1874.9999999999998,30.0,38.0,2.399362827215786,72.0,71.0,67.82611424984306,1.965473948524796,0.0,637.2,716.0,425.0,170.0,3.0,24.0,0.0,16.0,0.22588351507169563,0.3387411242129225,0.5308551010389202,10.105536698809209,0.042341325707949365,0.28456132350949503,1.1604753136691257,0.2854450420386331,0.4285699595731325,2.493419853536864,57.75993881361035,4.8954468965530396,4.1120700186442365,-0.03636690091086833,-0.5028990407223531,-0.5392659125383066,68.82611424984306,100.72435222035325,104.67283575002531,2.5556375996194594,-0.09405702632107811,40.159231102107285,89.29748437767459,35.80185502263782,102.32499295786278,69.36285812103887,101.58516693137808,101.84311044860807,100.72105928297786,106.26469222485731,0.0,0.0,0.0,0.0,8.676596089139988,71.0,616.0384171480513,1053.0,1008171.1453232894
PHN,118345.23195084486,1875.0,22.106194690265486,1875.0,1875.0,50.0,19.0,2.1013824884792625,75.0,73.0,50.73118279569893,4.95852534562212,0.0,651.0,730.0,383.0,152.0,4.0,37.0,0.0,20.0,0.2764976958525346,0.511520737327189,0.46753712182795704,10.09216589861751,0.055299539170506916,0.28400828830255775,1.1781874039938556,0.28511008331769805,0.5086731122273426,2.5584828816251277,67.84987286607607,7.924527242779732,10.060672687312241,4.489486844675149,-0.06543644885611241,4.4240505149196006,51.74039938556068,80.4425153354593,97.94066943970324,2.5994394382770447,-0.4571003931458646,49.15779207445796,134.84490599263563,31.824889886238417,102.18960509314725,90.59078868006637,101.38773963127004,103.39752039595443,100.60286701399433,126.126413938799,0.0,0.0,0.0,0.0,6.003328986175116,77.0,462.25652841781874,1002.0,1008168.0921658986
PWS,114001.77883742053,1875.0,20.833333333333332,1875.0,1875.0,25.0,23.0,1.9939159620707005,53.0,49.0,30.17983651226158,1.9173478655767484,0.0,440.4,429.0,244.0,98.0,6.0,19.0,0.0,49.0,0.9845834380711614,0.3872897640094165,1.5599959641643961,8.734463088241922,0.12245536493674855,0.2532256206239194,1.0135280946945933,0.2629453266914175,0.4707660047956403,2.456723029466302,34.4150953225717,4.693713307380676,6.629862227905999,1.5825742773989133,2.240051409556149,3.8226258888879583,34.334695731153495,79.71184571585674,98.21373616673972,2.359287644434005,-0.4628070673956013,175.04647834197658,102.09566887286378,105.20902857386467,88.44199973074001,200.60434958636762,90.39867619790691,88.94704822663644,92.78189471682535,116.72727774053843,0.0,0.0,0.0,0.0,4.268562892824705,70.0,298.79929077657755,1065.0,1003904.176657584
SLR,111111.0,1875.0,21.0,1875.0,1875.0,4.0,15.0,3.3684210526315788,22.0,19.0,10.035087719298245,1.0,0.0,171.0,207.0,161.0,64.0,0.0,3.0,0.7543859649122807,19.0,1.0,0.15789473684210525,6.114035087719298,10.894736842105264,0.0,0.29895510630686534,1.2280701754385965,0.3072151812584575,0.2142828940350877,2.199952146184375,13.343559081094307,1.749707669019699,-1.3916874914838557,-1.5767300860923634,-0.9090136320967424,-2.485743710869237,13.035087719298245,141.0820784994204,92.14223302876019,2.237446090266,1.168468906447204,177.78734800262293,41.623534282221804,412.341895549094,110.31614686803844,0.0,106.72358423353151,107.77522368863981,108.40278837274724,53.13182973843879,0.0,0.0,0.0,0.0,5.664818070175439,19.0,107.63157894736842,1073.0,1003071.9824561403
STL,111749.4535945542,1874.9999999999998,21.73219325917317,1874.9999999999998,1874.9999999999998,37.0,28.0,2.074142454785521,70.0,67.0,51.37041341524157,3.6573136310808567,1.0,602.3000000000001,601.0,352.0,139.0,3.0,17.0,0.0,16.0,0.2389663467602148,0.25381793688247606,1.2204051137306988,8.967033965394617,0.04478910324515877,0.2606904736764925,1.0245391002530102,0.26151556001415527,0.435613047285406,2.465740507160791,26.232333190770078,2.676010752096772,6.093654222718389,1.3581372979133406,2.6694481200639855,4.027585310514793,54.15606840444961,92.44987116238349,109.90441003149792,2.5246059642810303,-0.39159805237527,42.48519305237378,66.91039744938017,83.00927469478133,90.79692793258972,73.37276671947102,93.06354412202079,89.91337214755686,92.27739264794073,108.01104024332804,0.0,0.0,0.0,0.0,6.891675850904863,69.99999999999999,482.4174177639907,1069.9999999999998,1001706.9473684211
