Team,xMLBAMID,Season,Age,SeasonMin,SeasonMax,W,L,ERA,G,GS,CG,ShO,SV,IP,H,R,ER,HR,BB,HBP,WP,BK,SO,K/9,BB/9,K/BB,H/9,HR/9,AVG,WHIP,BABIP,LOB%,FIP,RAR,WAR,RA9-Wins,LOB-Wins,BIP-Wins,BS-Wins,Games,ERA-,FIP-,kwERA,E-F,K/9+,BB/9+,K/BB+,H/9+,HR/9+,AVG+,WHIP+,BABIP+,LOB%+,rFTeamV,rBTeamV,rTV,Events,Q,TG,TIP,teamid,playerid
BOS,120445.13596750371,1905.0000000000002,30.35221565731168,1905.0000000000002,1905.0000000000002,78.0,74.0,2.8398399818782534,183.0,153.0,22.65672082717873,2.8970457902511084,1.0,1353.9999999999998,1198.0,564.0,428.0,33.0,292.0,44.0,3.9922451994091586,0.02968980797636633,652.0,4.326825567810627,1.9374355919370507,3.0341740643995574,7.948836403265882,0.21897010587933008,0.23808072619175671,1.098474666133659,0.26808330177331563,0.654815317313885,2.619476220148593,29.399057664903797,17.062465962022543,3.2555065796857745,-0.35530773606178867,0.08007076284249741,-0.27523697698089894,31.529320531757758,104.66827928980287,94.09531197499116,2.4356609898268435,0.22036376172966077,103.3500324171235,78.56995888473871,178.71148269647253,99.91141680108235,171.22506888430456,99.75800624824254,94.86185063784775,99.3888637246996,98.55103821285711,0.0,0.0,0.0,0.0,1.579786870753324,153.0,241.70737238564206,3.0000000000000004,1010224.6168389956
BRO,118751.45674791915,1905.0000000000002,25.827511890606424,1905.0000000000002,1905.0000000000002,48.0,104.0,3.7552162588957723,188.0,155.0,20.968043995243757,1.2371432818073722,3.0,1345.6,1416.0,806.0,562.0,24.0,476.0,64.0,2.6427615933412607,0.1851961950059453,556.0,3.714515120466675,3.1803058813916207,1.1686333198751488,9.461243086557754,0.16038010415738582,0.2710450134661844,1.4046165519943752,0.2996996912605855,0.59938934859022,3.130468141003794,12.644667235879709,7.691445484757423,-1.2243792606311699,-1.3681401008414493,-1.2233053398269864,-2.5914454484595413,30.486102853745543,129.59880434101464,110.32785632767572,3.094456239325913,0.6247481178919787,101.7657666913868,119.10990679778979,85.4867582244744,110.00422716462153,107.72295263394413,107.08685699885625,112.16135133221538,107.02295934692425,91.8118633789038,0.0,0.0,0.0,0.0,1.4434243898632582,155.0,223.7309526949235,22.000000000000004,1008571.3857758621
BSN,121528.79769832078,1904.9999999999998,29.326577880718006,1904.9999999999998,1904.9999999999998,51.0,103.0,3.517773187920034,174.0,156.0,32.811667631731325,3.436160972785176,0.0,1381.6000000000001,1390.0,733.0,541.0,36.0,433.0,28.0,6.284959467284307,0.6703097857556456,533.0,3.469763357880281,2.8158090971706633,1.386673309145194,9.04392176254025,0.2341989598625649,0.2618690350178716,1.317747873301213,0.2858645932664865,0.6254587308026924,3.088113148844485,26.29965949856223,10.914656857959926,1.8539996665805905,-0.8677038615725862,-0.1994194991608351,-1.0671233643368359,37.75673132599884,118.15801155061229,105.95513774419804,3.0384271691488722,0.4296600390755489,95.060355632098,105.45864820323754,101.58366532463809,105.15210474182007,157.3050696826863,103.46153041803112,105.22471914114881,102.08243663915897,95.80505894912048,0.0,0.0,0.0,0.0,2.0164767501447596,156.0,314.57019917538344,16.0,1011278.0101331788
CHC,118764.29991467576,1904.9999999999998,26.56427758816837,1904.9999999999998,1904.9999999999998,92.0,61.0,2.040165222996146,177.0,155.0,20.944823663253693,3.5633532423208187,2.0,1406.4,1135.0,442.0,319.0,14.0,385.0,51.0,3.178825369738339,0.3841012514220705,627.0,4.009569155359815,2.4620453413320633,1.683131889458902,7.258667344674447,0.08954779065834688,0.22219319417130226,1.0800791873340565,0.2509200891433952,0.7283345845264505,2.6893148702002896,24.737465077292793,17.235558927059174,5.99952841951036,1.4978782554475993,1.7221214087029433,3.2199997086845027,27.235779294653014,69.12971496865345,93.37427130999434,2.7352820098155926,-0.6491496472041438,109.84929821636149,92.20936666937021,123.12287044042384,84.39526224946592,60.14681473268773,87.78604891511817,86.24641438631853,89.60373094402274,111.56313635358856,0.0,0.0,0.0,0.0,1.414206332480091,155.0,219.2021883290782,17.0,1008573.9522184299
CHW,119502.50045617233,1904.9999999999998,25.936276229910867,1904.9999999999998,1904.9999999999998,92.0,60.0,1.9867007491609516,190.0,158.0,25.73324443820619,3.0100357919854024,0.0,1424.9,1163.0,450.0,315.0,11.0,329.0,35.0,7.112920204926661,0.0,613.0,3.866041844145263,2.074885121748552,1.91429220039301,7.3348555499226995,0.06943922449471412,0.22405543393341465,1.0455267412968057,0.2523806071293473,0.7128295563843077,2.528011279499511,22.916065388340236,13.96711665391922,5.561851115040682,1.520412265208656,1.4312448346352977,2.951657158421652,35.70004912625447,78.91897954608507,97.78018112328579,2.649349995522696,-0.5413105303385596,92.34380810052944,84.14403006984534,112.75094639352844,92.19409896560005,54.29844384297965,93.88128025231201,90.28938456984433,93.56726660262443,107.28229943150707,0.0,0.0,0.0,0.0,1.7328966355533721,158.00000000000003,273.79786771117983,4.0,1009298.5799705243
CIN,116726.8082563426,1905.0,26.710001466490688,1905.0,1905.0,79.0,74.0,3.0115075922170464,194.0,155.0,21.8919929608447,1.8685291098401524,2.0,1363.8,1409.0,691.0,457.0,22.0,439.0,54.0,6.401818448452852,0.10573397858923596,547.0,3.6058024867179164,2.8935170292728425,1.30876546136017,9.284996967913065,0.14493818420504642,0.2669570002580023,1.3531682219095453,0.29465732158169744,0.6487683671396098,3.0128269160033128,26.950908328924278,16.185213930904865,2.6410159191705613,0.2774727439625572,-0.6668551263210535,-0.3893823883657249,33.39609913477049,94.44763380878747,96.57017417072714,3.0289968644083114,-0.001319323786265777,98.7873901970969,108.36899233217696,95.80401245021844,107.95504420896756,97.35103511747575,105.47172864716399,108.05310255933358,105.22232577641256,99.37552777117452,0.0,0.0,0.0,0.0,1.5654920648188881,155.0,242.6516173617688,18.0,1006584.9876081536
CLE,116955.59690093268,1905.0000000000002,26.85701696408901,1905.0000000000002,1905.0000000000002,76.0,78.0,2.8448482015033933,170.0,155.0,23.30975985899978,2.664316662994786,0.0,1361.6999999999998,1251.0,587.0,431.0,23.0,334.0,64.0,5.203201880002939,0.0,555.0,3.6641575871464696,2.205634380531524,1.779495245971947,8.258240705414854,0.1519123888236722,0.24502737579807687,1.1626527873273755,0.27134414935852585,0.6588913819027687,2.802836194914191,16.295045090752957,10.818338006734848,2.0906331815728887,0.13651286434195353,0.09893390070134049,0.23544677880254714,26.9596827495043,109.65873681629891,105.47598692695382,2.7769352550580253,0.04201200658920208,87.52162514484127,89.44638124453252,103.60807274007783,103.80041647647548,118.7888599508043,102.66871609828516,100.40413170685446,100.59778622800239,99.16449455567711,0.0,0.0,0.0,0.0,1.447062788426232,155.00000000000003,224.29505276839328,5.000000000000001,1006809.7785855917
DET,116885.4339131728,1905.0000000000007,27.884701159678862,1905.0000000000007,1905.0000000000007,79.0,74.0,2.8301347630574605,185.0,154.0,26.058950341956596,3.663841807909606,1.0,1345.1999999999996,1226.0,608.0,424.0,11.0,474.0,51.0,3.8716176033303613,0.2581028843294678,578.0,3.860040703394607,3.162916898419429,1.242254319148826,8.185665116850144,0.07342981642730498,0.24264024299833864,1.2609535572521748,0.27261704676605814,0.6618161166622064,2.937568116562197,17.708993446057512,9.533924012444913,2.515997877423693,0.31312986794242176,0.21038861719558014,0.523518482701969,33.826122509664,106.66846129388843,108.21124962101864,3.0339022567420306,-0.10743335350473669,92.20046557807278,128.2676191657029,73.16821876005919,102.8881911505531,57.418912620227104,101.66848557748328,108.89316949869833,101.06969860052205,99.60467338781379,0.0,0.0,0.0,0.0,1.7099759128754097,154.00000000000003,263.33621810424063,6.000000000000003,1006740.8848498367
NYG,118391.98407131377,1905.0000000000002,27.144965658336986,1905.0000000000002,1905.0000000000002,105.0,48.0,2.3913756927396608,197.0,155.0,23.461201227531784,3.5946222417068534,15.0,1368.6,1160.0,504.0,364.0,25.0,364.0,31.0,10.644673388864533,0.741341516878562,760.0,4.992374692770873,2.3911733821081236,2.175714925302499,7.620556681050678,0.1642772677232356,0.23055860692528912,1.1124144514620888,0.2676143641278619,0.694650854610551,2.514451995565495,38.333081908372705,21.072398994117975,5.977420734619687,0.5693803087159138,1.0043853797507394,1.5737657410569132,37.7650153441473,79.21497556614472,85.49006801517373,2.378881571528264,-0.12307630282583482,136.7750087814086,89.55504574158373,159.15583818677226,88.60288659681463,110.34057137422624,91.0911300448781,88.82844783532971,95.56526765923898,106.4036085705007,0.0,0.0,0.0,0.0,1.752020857080228,155.0,271.5631288291243,30.000000000000004,1008208.6595060647
NYH,116448.46082869082,1905.0,28.956215181058504,1905.0,1905.0,63.0,65.0,2.8082815119299953,191.0,129.0,15.835393454038998,3.171483286908078,3.0,1148.8,1021.0,515.0,361.0,22.0,339.0,38.0,6.48624651810585,0.17844707520891365,558.0,4.366454602719636,2.6412608440877334,1.9990138940503133,7.976241402442332,0.17213615852529007,0.2389255993551493,1.1797224718366741,0.270846395730164,0.6490730482277159,2.7794809928072475,25.337547608897676,14.069496400654316,2.5115873926373666,-0.5151764199333551,0.06327101892680138,-0.4519054156165144,32.94925139275766,98.23664740285662,94.90293513280095,2.6784369969825033,0.028800519122747975,104.29660675397108,107.11259604576631,117.74101591112456,100.25587882750256,134.60296547152828,100.11201584683897,101.87823203185845,100.41324967831616,97.68681559627403,0.0,0.0,0.0,0.0,1.4398852324164348,152.00000000000003,218.86297879730222,9.000000000000002,1006310.4919045962
