Team,xMLBAMID,Season,Age,SeasonMin,SeasonMax,W,L,ERA,G,GS,CG,ShO,SV,IP,TBF,H,R,ER,HR,BB,HBP,WP,BK,SO,K/9,BB/9,K/BB,H/9,HR/9,AVG,WHIP,BABIP,LOB%,FIP,TTO%,RAR,WAR,RA9-Wins,LOB-Wins,BIP-Wins,BS-Wins,Games,ERA-,FIP-,K%,BB%,K-BB%,kwERA,E-F,K/9+,BB/9+,K/BB+,H/9+,HR/9+,AVG+,WHIP+,BABIP+,LOB%+,K%+,BB%+,rFTeamV,rBTeamV,rTV,Events,Q,TG,TIP,teamid,playerTeamId,playerid
AC,,1928.0,28.941772697865,1928.0,1928.0,27.0,26.0,4.448438050118329,84.0,55.0,7.382228788518361,0.4221190375685943,3.0,473.8,2112.0,529.0,304.0,235.0,39.0,185.0,9.0,0.8256648374841705,,245.0,4.644240346975434,3.502052580439675,1.3919768352005066,9.991266212564572,0.7394138263293208,0.2743805522410966,1.4992576436671388,0.29831818747967526,0.6366085617961165,4.287099541342777,0.22338119267201348,11.764496281022836,5.149314736947417,1.4874720477517542,0.39578339931291306,-0.016264939920504224,0.3795184729508379,15.338117349092443,88.85565091512302,99.09633730147443,0.11717545426973407,0.08764516875263824,0.029530285517095828,3.644758136818148,0.16133850877555236,121.93354604981057,105.62986215494927,121.47244782717591,97.46504014811781,113.02403391852468,98.29620023920228,99.4603656577001,100.28385667967474,106.71641581580263,124.11728879804976,106.65449509198919,0.0,0.0,0.0,0.0,1.7096673005487546,55.0,94.03159766465917,1097.0,,1015450.5310257493
BBB,120181.0,1928.0,28.41817909104544,1928.0,1928.0,40.0,46.0,3.8592992213862467,133.0,84.0,7.463601000277855,0.7793831619894415,5.0,719.8000000000001,3125.0,776.0,411.0,310.0,36.0,171.0,23.0,1.028063350930814,,367.0,4.579575341335213,2.13243949131639,2.588976892531258,9.673321039556125,0.44728763955979284,0.263305706729169,1.3117511700969462,0.29179760733737387,0.6161610918727423,3.4619452994222097,0.18526049941511527,15.48626286103684,9.50258513353765,1.6020315095925122,-0.0013774423585714531,-0.042128794387947616,-0.04350622830781529,20.09294248402334,95.66515470744764,94.1197387340141,0.11989906676437898,0.05413615867185329,0.06576290620033341,3.2099667188609975,0.3973539219640371,117.58495312497352,86.85415673394616,162.97145271498798,99.27576388398832,110.19083138723634,98.45575007063285,96.77578147385681,100.41369034290759,99.9354007015269,120.95051879030264,86.62968832276134,0.0,0.0,0.0,0.0,1.2883330953042509,86.99999999999999,112.08507081618669,1149.0,,1014754.6207279797
BBS,,1928.0,28.001184600197433,1928.0,1928.0,28.0,28.0,4.508766456431515,85.0,58.0,9.142209966515656,1.0545597793972816,0.0,507.70000000000005,2283.0,541.0,318.0,257.0,32.0,197.0,21.0,0.16151270435296433,,206.0,3.643884444767097,3.470609185241553,1.05497209171558,9.517073850915214,0.5534382923284097,0.2588282357412224,1.4430758929063074,0.27558943234621236,0.6232148548808351,4.297303769517265,0.19129676053574943,16.439087829543233,5.432464077137411,2.6816301155502993,0.11064543217634834,0.9737353680095135,1.0843807968619372,16.488871380736654,90.06068507570609,99.30016240285052,0.09191183892259207,0.0860021313177073,0.005909702123301163,3.928205124852639,0.21146268691424933,95.6694138440866,104.681457919384,92.0114058167928,92.83928235297817,84.59650887847634,92.72461870994073,95.73328279268011,92.64326580062585,104.47119257058155,97.3569752640201,104.65510070715776,0.0,0.0,0.0,0.0,1.8526939767579276,59.99999999999999,111.1615747379369,1097.9999999999998,,1016014.8369115619
BOS,119510.54286568503,1928.0,24.647881007549138,1928.0,1928.0,57.0,94.0,4.351720734452071,283.0,152.0,12.480005979520143,0.6476567755437626,9.0,1337.9,5944.0,1476.0,758.0,648.0,48.0,451.0,37.0,1.7183646012407503,0.25868899020853575,402.0,2.700224768412394,3.0290449044312524,0.9292225013663203,9.91286839704587,0.32255305400954176,0.2701032900285658,1.4379903668307916,0.28459727852728783,0.6392479983257343,3.985391905646547,0.15123074527916885,23.308754973006053,12.948599960654974,1.8872732056907782,-0.3700057872684447,-0.035245487263887126,-0.4052512736766762,34.6873458404963,108.99007967359044,99.90533302491802,0.06774718391957543,0.07543125829209955,-0.0076840742753568995,4.0913304475513055,0.3663288288055241,88.9490875813239,96.57390862052124,96.15168815984089,102.25877521103985,81.48291971699226,102.03317958913426,100.86906232727969,101.58203992658626,96.98318141009473,89.15595414403947,96.07777576936247,0.0,0.0,0.0,0.0,1.26363875999701,154.0,194.60043181534778,2.9999999999999996,,1009306.6110322147
BRO,117891.63867775706,1928.0,31.528825469668725,1928.0,1928.0,77.0,76.0,3.249526611406158,296.0,155.0,12.185572924135954,2.5068119891008176,15.0,1394.6,5983.0,1378.0,639.0,504.0,59.0,468.0,31.0,1.4652230030116165,0.21805535637458773,551.0,3.552759059512025,3.017051711691276,1.3622499295159904,8.883814958552207,0.3804934390405898,0.25055956256260487,1.3223185189159428,0.26983976491614126,0.6956605604495912,3.859414490593115,0.18141637925570056,30.878786352158414,18.141924023628235,3.938170278525825,-0.0806190432620308,0.9906341282825261,0.9100150426238814,37.380969453606774,83.0513328357383,92.10350524206619,0.09382629294421341,0.07769017874731107,0.016136114476552423,3.805488185485288,-0.6098878791869576,128.40858572535845,96.39297422161421,154.10703966072836,91.63209227957829,76.42673956731332,92.3182957456426,92.79398238741913,95.2257355204958,102.94984133430273,132.36980176138715,96.88684501682964,0.0,0.0,0.0,0.0,1.3196174523160764,155.0,204.54084415892592,22.000000000000004,9.0,1007728.9637171951
BSN,116013.62525215476,1928.0,28.59490188886851,1928.0,1928.0,42.0,84.0,4.740549001505782,251.0,122.0,8.092151109481017,0.20640014670823398,6.0,1090.6000000000001,4877.0,1257.0,690.0,577.0,74.0,422.0,24.0,2.6684393911608284,0.18072620575829815,295.0,2.4283961035062296,3.4686889606990965,0.7292765489226114,10.327180737145785,0.607234905373868,0.28185632335572497,1.5328744108716532,0.28927951795473944,0.6357164335631762,4.58628931486423,0.16173729433522832,9.0674310693394,3.413039502920583,-0.025817690225543127,-0.947682453462553,0.07008734068857371,-0.8775951125645897,31.53640198056116,125.00027994975217,114.1901757603522,0.06073305864753347,0.08600714498441224,-0.0252740878241335,4.302410594131087,0.15425968664155285,87.77035087626685,110.82251069009166,82.50075672269017,106.51968582292984,121.97052355544032,103.84954040950561,107.56978674182186,102.08597267647094,94.07879332004806,85.68198353928216,107.25887142365822,0.0,0.0,0.0,0.0,1.0967182367504122,152.99999999999997,167.79767721822537,16.0,,1005865.4297634327
CAG,,1928.0,28.116671879887388,1928.0,1928.0,41.0,31.0,2.9228735005497124,89.0,71.0,12.177040975914919,2.2824522990303406,5.0,639.4000000000001,2676.0,600.0,255.0,208.0,22.0,167.0,19.0,1.3468877072255239,,307.0,4.316461207379053,2.3469993175055297,1.8907768165717858,8.433322553479801,0.3092751147534902,0.24003398887601476,1.1978135412205924,0.26729879628142245,0.7056405926180793,3.385907765878104,0.18625725686581168,19.085559070128962,9.129461212083697,3.8273264701045,1.1957969705798233,0.6330066635286505,1.828803606784046,18.875508289020953,72.45282875991923,92.2349036920044,0.1153938485048483,0.06266141192055051,0.05273243674069439,3.3663323262223037,-0.46303426532839254,110.82924745320426,95.59316801587279,119.19359442040138,86.54985554115254,76.19097647234301,89.75394688859565,88.36991660775382,91.98313448746681,114.46793323221563,116.40579342603341,100.27195176478914,0.0,0.0,0.0,0.0,1.792630691273068,75.99999999999999,136.2398189094837,1150.9999999999998,,1015677.7597747887
CHC,116414.7228024369,1928.0,28.552219321148822,1928.0,1928.0,91.0,63.0,3.396442505420744,276.0,154.0,11.622062663185378,1.8949811430229186,14.0,1378.8,5879.0,1383.0,615.0,521.0,56.0,508.0,32.0,2.8487815491731943,0.022483318827966347,531.0,3.4617446799588723,3.3115021958004984,1.071216736024079,9.01513688499371,0.36506793132050297,0.2578947967289708,1.3696265645326897,0.277614805805747,0.7116444904373369,3.9584500151066853,0.18693670366260515,27.87420903747155,17.525208458304405,4.031807197470241,0.6756089333980336,0.6845022225255335,1.3601111263309074,36.20583115752829,85.44537524675508,93.15109831634454,0.09082817629605454,0.08656723358862779,0.004260944115172613,3.947990244830223,-0.5620075096859423,125.11902187840943,105.80048878767096,120.87766816743726,92.98661203693044,73.32833854313456,95.02095179360292,96.11383451755687,97.9695267761869,105.31528115210416,128.14006776097222,107.95735314147889,0.0,0.0,0.0,0.0,1.3080758543661153,153.99999999999997,201.44353642061134,17.0,,1006278.3621264868
CHW,116118.25946653102,1928.0,29.19688930881605,1928.0,1928.0,72.0,82.0,3.9845293412408114,248.0,155.0,14.368413402136786,0.9159095864525041,11.0,1375.8999999999996,6250.0,1518.0,723.0,610.0,66.0,501.0,32.0,1.6270077767279603,0.26237371902027773,418.0,2.7307127726801648,3.2734341187871316,0.9110130081902756,9.914543704172853,0.431450458710572,0.26524567393026954,1.465330869217776,0.27708340809789694,0.6816832669009378,4.20413002525066,0.157689980579984,17.059917007134672,9.93188108690083,2.493148112379882,0.3863326152618747,0.44392237835348825,0.8302549990196602,31.168326186496113,100.62529112001499,106.26189935396484,0.06727049675267098,0.0797817550774039,-0.012511259786321683,4.149256668463698,-0.21960068400984872,89.9534040343532,104.36567876579653,92.959300643713,102.27605727794983,108.99243597902208,100.19818522205303,102.78688521604485,98.900094793761,103.46138971676106,88.52863044699163,101.61906311252892,0.0,0.0,0.0,0.0,1.2811443825859439,155.00000000000003,198.5774389985724,4.0,,1005997.8004942221
CIN,117275.95968154263,1928.0,32.16916222335842,1928.0,1928.0,78.0,74.0,3.9335619036427065,273.0,153.0,10.082535972536705,1.5529179753122495,11.0,1369.0999999999997,5876.0,1516.0,685.0,600.0,58.0,410.0,16.0,1.166532758746622,0.1673362062668907,355.0,2.328868034807365,2.685100444988221,0.8994983219779418,9.947508059591406,0.38056428505368617,0.2779209746628088,1.4036231671755142,0.28937608978049495,0.6784689654824339,3.9892315060071497,0.13896664482287638,22.5789849794827,13.424182137474418,2.4226517606103237,0.43680351269765083,-0.16796614346946437,0.26883736771675143,31.74895917025784,103.5977089183135,98.32937566033834,0.060121709954714796,0.06897618671974293,-0.00885447734277993,4.105375287000516,-0.05566960236444362,84.17307385085746,85.78733237260437,101.75740935306014,102.60355272155253,76.44096985156197,102.39956707470589,98.49955331506459,102.12005261699042,100.40568126236012,84.81949363532924,86.01968945101932,0.0,0.0,0.0,0.0,1.209862026148565,153.0,185.10893847183792,18.0,,1007122.1498064422
