Team,xMLBAMID,Season,Age,SeasonMin,SeasonMax,W,L,ERA,G,GS,CG,ShO,SV,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,K/9,BB/9,K/BB,H/9,HR/9,AVG,WHIP,BABIP,LOB%,FIP,TTO%,RAR,WAR,RA9-Wins,LOB-Wins,BIP-Wins,BS-Wins,Games,ERA-,FIP-,K%,BB%,K-BB%,kwERA,E-F,K/9+,BB/9+,K/BB+,H/9+,HR/9+,AVG+,WHIP+,BABIP+,LOB%+,K%+,BB%+,rFTeamV,rBTeamV,rTV,Events,Q,TG,TIP,teamid,playerid
BBB,,1937.0,24.37310073157006,1937.0,1937.0,14.0,14.0,5.7954584893993415,38.0,28.0,3.8011265164644716,0.1169844020797227,0.0,230.8,1046.0,279.0,184.0,150.0,17.0,76.0,0.0,6.0,0.9436741767764298,0.0,132.0,5.113291626592197,2.9175269504019465,2.39250864809792,10.794898333815734,0.6547868931847064,0.28830059993440554,1.5236028093575202,0.3209314520846947,0.539107966169844,4.06003895807352,0.2133306931152513,2.019297970771996,1.218845196068287,0.06615341300438557,0.11571685291432893,-0.26515322179207496,-0.14943635722289775,6.667677642980936,129.74635493514322,110.50232835958246,0.1271012670883882,0.0701810977729636,0.05692016927209705,3.724116257726628,1.735419531325822,93.72418702003058,97.92905185063086,130.6495605753126,111.21454012754306,185.39451733053772,109.05068316232881,108.094427192184,106.04567956959987,96.40443667400861,93.17209992377586,94.21102882455264,0.0,0.0,0.0,0.0,1.539207677642981,28.0,43.09778169267512,1115.0,1015226.2335355288
BOS,119455.63979848869,1937.0,30.094038623005883,1937.0,1937.0,64.0,54.0,4.288662187094032,235.0,116.0,10.466741300494451,1.110458065118015,14.0,1071.8999999999999,4796.0,1198.0,589.0,512.0,62.0,440.0,0.0,10.0,2.9860994495755206,0.4125384830674504,520.0,4.3588858463597875,3.686292918008101,1.2457306873477008,10.037636188999794,0.5192428602123861,0.2749325337788842,1.5248810118897658,0.3008454536145624,0.6821948899076408,4.238395896021101,0.2132361171611158,34.5697637848064,17.3179001766257,3.57294590232093,0.4972610190720665,-0.1723992826362959,0.3248617344298952,34.99048418695774,89.33793182502016,86.75350253657422,0.10893163251609293,0.09140586191715647,0.017525773253101968,4.196849009122564,0.05026629107293214,119.09750430891297,93.89037469458427,133.6349588243638,100.30737149128623,78.39942062696508,99.18838298435323,98.49913864954,102.3144360590057,102.75078674549653,119.53375738952877,93.50065982951804,0.0,0.0,0.0,0.0,1.154673195260752,154.00000000000003,177.8196696523344,3.0,1009253.4844668347
BRO,115282.46649774771,1936.9999999999995,28.262199699699696,1936.9999999999995,1936.9999999999995,51.0,75.0,4.204317845886696,255.0,123.0,7.77346096096096,0.572072072072072,8.0,1065.6000000000001,4700.0,1153.0,615.0,500.0,59.0,401.0,0.0,19.0,2.969031531531531,0.7447447447447446,505.0,4.253083129982275,3.3738243093352023,1.3362886518534158,9.698974207639665,0.4944720231723097,0.2683327117565231,1.452533168552763,0.2934149516667341,0.6435905713691817,4.147427680511404,0.20575440655311558,18.64762581761803,10.961093503981829,0.8442735551778149,-0.8056977824321961,-0.19463332354051954,-1.000331080685245,32.020833333333314,106.19867339097591,98.48363033903999,0.10855795079954954,0.08485584472316064,0.023702106125187684,4.122733001253148,0.05689016537529258,113.7256075506021,112.07885061281596,107.56066736544929,101.85891561957753,96.45256549567787,100.53331614568772,104.31372986426294,102.33669176412245,95.04713749750398,112.66703051715201,109.41169941822771,0.0,0.0,0.0,0.0,0.9765198733108105,154.99999999999997,151.3605173117853,22.0,1005175.0050675675
BSN,117726.92677595628,1936.9999999999995,31.386572989851675,1936.9999999999995,1936.9999999999995,75.0,66.0,3.1065400882341994,236.0,143.0,14.628883684621389,2.6593286494925836,8.0,1281.0,5348.0,1260.0,511.0,443.0,53.0,356.0,0.0,11.0,0.8900858704137393,0.22794691647150664,368.0,2.580506020925401,2.496567710464746,1.12223720625605,8.836429637164025,0.3715530939352422,0.2525793243354829,1.259221927514308,0.26438842377735317,0.7205256220546448,4.0214887953383815,0.14497307400156131,18.890295319990845,9.471634294837713,4.154223592088694,0.845438065150699,1.4974306127459251,2.3428686242600048,30.5408274785324,85.81534493670765,104.22422358161293,0.06880882134894614,0.0662893289882904,0.002519492409055425,4.376924389760263,-0.9149487071041815,69.00161742640358,82.93628055608323,90.33121888427365,92.80044688450252,72.47578720024453,94.63116479187897,90.43107505542143,92.21287625736461,106.40910690297251,71.4133367530155,85.47234787093863,0.0,0.0,0.0,0.0,1.2980326947697112,151.99999999999997,197.30082255057482,16.0,1007562.8162373145
CAG,,1937.0,30.12981174487216,1937.0,1937.0,19.0,23.0,3.9787153113719538,76.0,43.0,4.145224719101123,1.5067415730337077,3.0,356.0,1576.0,375.0,213.0,160.0,15.0,127.0,1.0,11.0,1.4398876404494383,0.0,195.0,4.8946056935958735,3.1741175875716747,1.69437605419382,9.301121528732953,0.37302277989043225,0.25567141013542466,1.3861376795894031,0.28718963039145895,0.6180166774325841,3.801885723045107,0.21419454235112365,6.739887460053302,2.748563562054187,1.63077181878845,0.39058487928718355,0.5314528718674452,0.9220377646904606,14.416011235955054,89.07385152001278,104.72289929095612,0.1253047334550562,0.0797113801994382,0.04559335325561798,3.860038063564584,0.17682958832684628,89.7157785857835,106.54171532862166,92.58878193256594,95.82489074936782,105.61661962218605,96.70858106673231,98.34174468863192,94.89633790136362,110.51506077979148,91.8551434716154,107.00447032294423,0.0,0.0,0.0,0.0,1.6301528174157298,46.00000000000001,74.98708392488822,1117.0000000000002,1015422.9171348314
CHC,116363.07655328135,1936.9999999999998,29.67251802753296,1936.9999999999998,1936.9999999999998,93.0,61.0,3.986143078051881,298.0,154.0,10.506300531721173,1.7071163231116613,12.0,1372.9,5950.0,1428.0,681.0,609.0,91.0,498.0,0.0,22.0,3.794595382038022,0.0984048364775293,594.0,3.8885082107086726,3.25969144297337,1.3317583113256608,9.347075553630896,0.5956296719562099,0.26214362531623897,1.400751888511585,0.2808743996170081,0.6997349807684462,4.331094966836452,0.19830129104377592,17.984626815414398,11.088441848754883,2.4495393966581522,0.37060515552713585,0.3399779435625165,0.7105830821881387,37.3785417728895,101.48231900700584,103.93679607752867,0.1000319010656275,0.08302516307815572,0.01700673729550586,4.203077424822518,-0.34495188878456984,103.9770315352833,108.28734302198326,107.19601079997074,98.1632654881349,116.18455090128676,98.21451803985467,100.59505508616958,97.96282259905547,103.33869075653996,103.81825807782101,107.05125093516179,0.0,0.0,0.0,0.0,1.2104795309199503,153.99999999999997,186.41381854387197,17.0,1006226.1466239347
CHW,117977.44078361531,1936.9999999999995,29.150712377560104,1936.9999999999995,1936.9999999999995,86.0,68.0,4.1680432392130635,262.0,154.0,9.299643811219946,1.6818788958147817,21.0,1347.6000000000001,5890.0,1435.0,730.0,626.0,115.0,532.0,0.0,17.0,2.838676165034134,0.1061887800534283,533.0,3.5500771022689617,3.543991982989955,1.10697754497848,9.555522445610508,0.7656591171544451,0.26797105347453215,1.4555016031778292,0.28053818956268445,0.6929103710440783,4.736358700672981,0.19902534903086966,20.231245868812508,13.9842997379601,2.641705942418427,0.19847672638442151,0.6042473270657613,0.8027240888282775,27.87110418521817,88.7592440295934,99.29006080882456,0.0906620859631938,0.08896394921786879,0.0016981358251706746,4.386780642021179,-0.568315461459919,96.99848490814368,90.26595080711336,117.52236616676274,95.48954770801336,115.60530877229418,96.67686510367402,94.01760078208954,95.40814499026592,104.29598276754315,99.48606570186661,91.00278415831251,0.0,0.0,0.0,0.0,1.0469607131196197,153.99999999999997,161.23212689948596,4.0,1007813.3710299793
CIN,116273.20572228273,1937.0000000000005,28.607292800497593,1937.0000000000005,1937.0000000000005,53.0,95.0,3.868965780738163,292.0,151.0,9.314647799720106,1.6066708132483287,17.0,1286.1999999999998,5608.0,1343.0,659.0,554.0,36.0,498.0,0.0,18.0,3.7882910900326547,0.46687917897683107,555.0,3.874293369006626,3.47468612709209,1.2104381535220028,9.378851159805352,0.25147008538153354,0.2625940867131191,1.428170809655271,0.2888835591082296,0.6664343812152077,3.9026628627460673,0.1935404864694449,22.44413254885146,13.56489591486752,1.7386819797017283,-0.33906682093774454,-0.10640745203336145,-0.4454742896455598,37.66140569118333,102.66512837450703,96.96410007203376,0.09924837614989894,0.08789980985072307,0.011348569563053957,4.270975453058108,-0.03369708200790383,103.59693280234191,115.42949236782145,97.43069751466062,98.49697384932796,49.05218848350071,98.38328754144668,102.56414604758409,100.7562415488634,98.4207711335773,103.00507706782432,113.33653708967046,0.0,0.0,0.0,0.0,1.1362359539729436,155.00000000000003,176.11651892406985,18.0,1006144.5018659618
CLE,115854.63625192012,1936.9999999999995,29.005683563748075,1936.9999999999995,1936.9999999999995,80.0,66.0,4.381812834601171,294.0,152.0,8.542857142857143,0.38202764976958525,15.0,1302.0,5783.0,1451.0,732.0,635.0,58.0,556.0,0.0,25.0,2.090168970814132,0.45345622119815665,613.0,4.229383498082149,3.836374550184726,1.075574854844854,10.01190058673251,0.40012047191976524,0.2774915947876871,1.5386972374352483,0.30615969514100577,0.6700802686835637,4.174747245662051,0.2125662284439324,27.276017042706087,18.605222318321466,2.2575912200303576,0.2703084633366623,-0.5118155509336477,-0.2415070875134382,32.60752688172043,95.88018426183497,89.73447293969933,0.10652701951305682,0.09610062958064518,0.010426387258064518,4.282041636731155,0.20706558893912222,115.55912156028218,97.71297398152656,115.38160107979434,100.05019235383101,60.4133741322249,100.11162447903067,99.39159275252032,104.12175479467794,100.92610732535358,116.89510373391283,98.30302136934995,0.0,0.0,0.0,0.0,1.0611153087557603,156.0,165.53402164535404,5.0,1005730.1585253455
CT,,1937.0000000000002,26.69265463917526,1937.0000000000002,1937.0000000000002,19.0,12.0,2.8933881558954226,44.0,33.0,5.905780780780781,0.8303303303303303,0.0,266.4,1134.0,247.0,127.0,86.0,6.0,57.0,0.0,9.0,0.4924924924924925,,196.0,6.597396831339346,1.9191902778063437,3.5189303888513517,8.313485174230637,0.20201953905605285,0.2300570009458552,1.13696393911522,0.280388860047412,0.6180106978153154,2.766679533793995,0.2282427781906907,13.398707001774877,5.534915998578072,2.2322303475616305,0.1721471983795376,0.5801124881625083,0.7522596904543696,10.29466966966967,64.77599094646527,81.54712641512408,0.17284045619744745,0.050228054921171175,0.12261240274399403,2.935809453637996,0.12670862210142783,120.92712476051399,64.41910817674918,192.1609393948835,85.64975805403355,57.19924348587956,87.01984361159863,80.66371693594716,92.6491530023874,110.51399207996444,126.70140017603393,67.42608678530077,0.0,0.0,0.0,0.0,1.723959084084084,40.0,68.95834199873894,1119.0,1015320.0026276277
