Team,xMLBAMID,Season,Age,SeasonMin,SeasonMax,W,L,ERA,G,GS,CG,ShO,SV,IP,TBF,H,R,ER,HR,BB,HBP,WP,BK,SO,K/9,BB/9,K/BB,H/9,HR/9,AVG,WHIP,BABIP,LOB%,FIP,TTO%,RAR,WAR,RA9-Wins,LOB-Wins,BIP-Wins,BS-Wins,Games,ERA-,FIP-,K%,BB%,K-BB%,kwERA,E-F,K/9+,BB/9+,K/BB+,H/9+,HR/9+,AVG+,WHIP+,BABIP+,LOB%+,K%+,BB%+,rFTeamV,rBTeamV,rTV,Events,Q,TG,TIP,teamid,playerid
BBB,110530.0,1940.0,26.4054794520548,1940.0,1940.0,8.0,14.0,4.58166508173542,46.0,22.0,0.922615803814714,0.0,3.0,183.5,0.0,209.0,109.0,94.0,0.0,47.0,7.0,0.0,,94.0,4.585340618655294,2.284503264283525,2.2023447817166213,10.192663980283937,,0.28452699414434307,1.3863519160630513,,,,,2.1535534726339076,1.0975012890994549,0.21427004481348583,,,,7.9356948228882835,121.29899368684593,,,,,3.5252888627880568,,86.16214410056675,75.43403499883598,125.7048067047582,114.04958553519465,,,104.27597583882185,,,,,0.0,0.0,0.0,0.0,1.4986929482288829,22.0,32.971295506168126,1115.0,1013371.7841961853
BEG,,1940.0000000000005,26.13694758478931,1940.0000000000005,1940.0000000000005,30.0,18.0,4.835147087114184,89.0,46.0,5.279669504256385,0.6364546820230347,6.0,399.3999999999999,0.0,425.0,250.0,217.0,0.0,189.0,6.0,0.6014021031547322,,217.0,4.863033816943369,4.194931397637969,1.231937142183275,9.473874311620646,,0.26939920180235233,1.5187561899176238,,,,,21.990728145943745,6.062972497195005,1.9710332122358554,,,,17.68652979469204,100.06205386984763,,,,,4.0181190643157665,,109.83124776558375,117.13180830845285,99.74929300557228,96.12210441118972,,,101.72165163328306,,,,,0.0,0.0,0.0,0.0,1.6932825413119683,56.000000000000014,94.82380091905236,1132.0000000000005,1015313.6334501754
BOS,116433.69914269108,1940.0000000000002,29.129613484452197,1940.0000000000002,1940.0000000000002,82.0,72.0,4.886815482071078,332.0,154.0,4.839218250508574,0.3307904678872421,16.0,1376.3999999999999,6242.0,1568.0,825.0,749.0,124.0,625.0,23.0,3.0580499854693404,0.08718395815170009,613.0,3.997403286264999,4.078062800880969,1.0883008719202265,10.229127318388478,0.8086322415064147,0.27976685501033166,1.5896877910299385,0.29675897021117115,0.684640009141238,4.567416491266596,0.21788578552891605,11.173599216702701,11.871988466009498,1.0289981695250938,0.350581625681382,-0.3894104171406009,-0.038828791065162696,28.46919500145307,108.39495131990586,102.31150974296942,0.09831590614719558,0.0996523757468759,-0.0013364672144725387,4.270669505730587,0.31939899080448175,102.91944381849174,110.43745021887,103.48019398734554,106.68605374046622,111.50109297912915,104.53751821472116,107.72912232811144,104.52703385579223,101.50031624390299,100.34917377656554,106.98444688101276,0.0,0.0,0.0,0.0,0.796449529933159,154.0,122.65318034880731,3.0,1006298.3121185702
BRO,117696.01518751061,1940.0000000000002,31.438825725436963,1940.0000000000002,1940.0000000000002,75.0,52.0,3.4093671618019137,263.0,128.0,7.702613269981334,2.3547429153232646,10.0,1178.6,4946.0,1122.0,497.0,447.0,80.0,317.0,26.0,1.3444764975394536,0.1306634990666893,512.0,3.9056759309124796,2.4178923899209837,1.7110003946114034,8.557657812364779,0.6103584445267397,0.24351673301676588,1.2195055780317514,0.26013332642068804,0.7153154078041746,3.7640914327268598,0.18322637222467333,20.732395091516832,14.823580846190453,2.7951852771471417,0.019476868989773893,0.6643306831832806,0.6838075643338626,32.35007636178517,87.4203897920157,93.16478502668453,0.10339637853130834,0.06371360692177158,0.03968277292550484,3.778438644406841,-0.354724270924947,111.26072693824233,79.0757695946033,149.14064822698475,93.10991639280114,109.35260104348471,93.87291608193182,89.60648778330318,94.50215145132118,103.83769518869258,113.84832427399023,80.54049219440789,0.0,0.0,0.0,0.0,1.008246953164772,156.0,157.28641699903105,22.0,1007533.2987442728
BSN,119291.98707873657,1939.9999999999998,27.87078736587577,1939.9999999999998,1939.9999999999998,65.0,82.0,4.32736111626541,293.0,147.0,10.172736889829228,1.152637146743237,11.0,1323.4,5803.0,1406.0,722.0,638.0,83.0,555.0,34.0,1.954737796584555,0.3920205531207495,433.0,2.936630038097747,3.7636780713506055,0.8665437189202054,9.53873231147841,0.5631093920152598,0.2686838912307622,1.478045598092113,0.280643681852816,0.686198240385371,4.3703291138726845,0.18295708245881817,6.997562623751817,3.0225765421055257,1.194663713449291,0.565045583291784,-0.0647578861516403,0.5002877259448518,28.245428441892095,119.09823686111974,116.68381032840568,0.07436996432900106,0.09428430655508539,-0.019914345439776333,4.493604025390942,-0.04296799760727349,83.65558191897904,123.08891050693425,75.47962583496985,103.7843049451914,100.88740024991367,103.57456779914881,108.60341864312295,101.95322564483996,99.61094488110851,81.88774048330063,119.18497401810244,0.0,0.0,0.0,0.0,1.0333810420129967,151.99999999999997,157.07404214931933,16.0,1009100.1125887864
CAG,,1940.0,23.111344537815125,1940.0,1940.0,7.0,13.0,4.473956008328076,31.0,20.0,2.4259485924112605,0.042839657282741736,0.0,163.4,0.0,174.0,97.0,82.0,0.0,72.0,6.0,0.0,,77.0,4.2238519577278035,3.923160414692825,1.2873448785312116,9.511046017091802,,0.26943530973716534,1.4926896035316253,,,,,1.901626632948984,1.302916258573532,0.1905391776849911,,,,5.837209302325581,118.44740982329894,,,,,4.130115773087047,,79.36948883590956,129.54230560961813,73.71065729943403,106.42270346140324,,,112.27428132010117,,,,,0.0,0.0,0.0,0.0,1.7263353977968177,20.0,34.52673204642614,1117.0,1015405.5104039168
CBR,,1940.0000000000002,29.458051420838967,1940.0000000000002,1940.0000000000002,9.0,9.0,4.365273336182093,35.0,20.0,3.574589127686473,0.45006321112515807,1.0,158.2,0.0,180.0,107.0,78.0,0.0,59.0,9.0,0.0,,94.0,5.26564326645532,3.2792787028070074,1.996477733489254,10.07262300492041,,0.28315227947894533,1.4835446341919354,,,,,-0.6194003742051636,-0.007621620781719685,-0.04722623300753938,,,,8.872945638432364,115.57005005838313,,,,,3.6279708507932082,,98.94556405703945,108.28140554925506,118.29172253035159,112.70640150460824,,,111.58643244791848,,,,,0.0,0.0,0.0,0.0,2.419716700379267,20.0,48.394239599575144,1123.0000000000002,1015690.0056890014
CHC,118417.36750845386,1940.0000000000002,29.67810633858552,1940.0000000000002,1940.0000000000002,75.0,79.0,3.540440248394424,305.0,154.0,10.635513346283908,1.9848190517303403,14.0,1389.8999999999999,5961.0,1418.0,636.0,548.0,74.0,430.0,16.0,0.8572559176919203,0.23404561479243113,564.0,3.6472468064045933,2.7760526081113324,1.439179012318872,9.16634477555041,0.47853345311140144,0.25672034997437704,1.3269330426290824,0.2750279846362995,0.7020360658694871,3.7188515393673183,0.17903451412044033,26.373630945730042,16.77810213714838,3.013348498873569,0.19782419345524618,0.104735657445166,0.3025598192781948,36.07252320310814,93.07480677921994,94.32923059086401,0.0950610240391395,0.0715439334765091,0.0235170901453342,3.9724268259918234,-0.1784112909728943,103.8988738906846,90.78919199902155,125.35858387100514,99.73261544133211,85.73466665907601,98.96275944211877,97.50001280478637,99.91313537204748,101.91001918296406,104.6703787440789,90.43882165687972,0.0,0.0,0.0,0.0,1.211078744513994,154.0,186.5063487532688,17.000000000000004,1008236.8944528383
CHW,117995.86005346433,1940.0000000000002,30.798930713098763,1940.0000000000002,1940.0000000000002,82.0,72.0,3.7362477055884247,246.0,155.0,12.994653565493822,1.4435373166678709,18.0,1384.1,5916.0,1335.0,672.0,576.0,111.0,480.0,14.0,3.8298533342966556,0.2788815837005997,574.0,3.7253251078083176,3.1117583214775575,1.316240299680659,8.664167568289526,0.7197972287985349,0.24583369012566128,1.3084362099741207,0.25791324594922,0.6919154187421428,4.157666702900749,0.19630297750451559,27.38560338936422,15.977371977642179,3.850546136910787,-0.26214100753050557,1.4513796765816693,1.1892386997197588,28.534282205042988,86.30876303280472,97.08637770658461,0.09730127477133155,0.08031212894371795,0.016989145472147967,4.050762139785081,-0.4214189973123236,95.91436257034131,84.26909331732061,125.13885206881062,90.36409637264784,99.2517656541503,91.85807181609982,88.66941377936134,90.84445390819242,102.57892139583691,99.31355853703566,86.2212140842389,0.0,0.0,0.0,0.0,1.2303998750090313,155.0,190.71223103088,4.0,1007831.0631457263
CIN,119924.74060096836,1939.9999999999998,29.9386926801481,1939.9999999999998,1939.9999999999998,100.0,53.0,3.049193846427415,261.0,155.0,16.476858444887498,1.8478353745371683,11.0,1404.4,5791.0,1263.0,528.0,477.0,73.0,445.0,18.0,1.5875106807177441,0.3547422386784392,557.0,3.563482316022992,2.843298387019097,1.4450678758978923,8.071567237823007,0.4672510612841822,0.23664011509108449,1.2127628472046783,0.2526294507637329,0.7385721570556819,3.747341148483837,0.18412342516234692,28.02152779070559,16.66560755390674,5.127640468993907,0.6442605269411262,1.623483164103055,2.267743760670557,30.39525776132156,80.4684407634281,95.44355499090527,0.09570162374608374,0.07578403806038166,0.019917584468100255,4.015620879756234,-0.6981473020564223,101.51268050026395,92.98842623346728,125.87152897978162,87.82110329145021,83.71329888189256,91.22205850238079,89.11104730450077,91.77611706133054,107.21372636804257,105.37573757221762,95.79874941045878,0.0,0.0,0.0,0.0,1.3566851538023355,155.0,210.28631765154543,17.999999999999993,1009716.7588293932
