Team,xMLBAMID,Season,Age,SeasonMin,SeasonMax,W,L,ERA,G,GS,CG,ShO,SV,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,K/9,BB/9,K/BB,H/9,HR/9,AVG,WHIP,BABIP,LOB%,FIP,TTO%,RAR,WAR,RA9-Wins,LOB-Wins,BIP-Wins,BS-Wins,Games,ERA-,FIP-,K%,BB%,K-BB%,kwERA,E-F,K/9+,BB/9+,K/BB+,H/9+,HR/9+,AVG+,WHIP+,BABIP+,LOB%+,K%+,BB%+,rFTeamV,rBTeamV,rTV,Events,Q,TG,TIP,teamid,playerTeamId,playerid
ATL,119231.48081632654,1971.0000000000002,28.375102040816326,1971.0000000000002,1971.0000000000002,82.0,80.0,3.728736453166082,383.0,162.0,5.95952380952381,1.4459863945578229,31.0,1470.0,6298.0,1523.0,694.0,610.0,150.0,484.0,65.0,28.0,4.713945578231293,0.8044897959183673,822.0,5.024828295642176,2.9594592510639126,1.9255076117863947,9.309790432341243,0.916849629263118,0.2625856409904397,1.363249964822795,0.2843808253025919,0.7350507887918368,3.7023951039178096,0.23108009512585037,16.307754174998017,13.230223059654236,1.784083732731488,0.1457153698041731,-0.25612942531654215,-0.11041405450020518,33.358979591836736,100.27710519329199,102.03104165126301,0.13090997843673466,0.07631850090544218,0.05459147783197278,3.502459196406096,0.026341349248272534,92.55277679849647,94.84242855799259,110.6682863411023,108.96442749922923,129.0996583345475,106.54582607354057,105.18655362881347,103.56315996235806,100.49485750463874,91.60593592147018,92.91863052694924,0.0,0.0,0.0,0.0,1.0023814523809524,162.0,162.38562373025079,16.0,,1009039.6680272107
BAL,116546.57864274345,1971.0000000000005,29.539863984951527,1971.0000000000005,1971.0000000000005,100.0,55.0,2.969467636431262,314.0,157.0,14.014614382867892,2.4749674432064825,22.0,1382.2,5647.0,1213.0,509.0,457.0,121.0,398.0,35.0,18.0,4.816669078281001,0.40804514542034437,776.0,5.042167733399415,2.58632980835543,2.0487488029756906,7.880756243912184,0.7866521722298927,0.23147221789993327,1.1630095613630682,0.25174894836729006,0.7686664878432934,3.368122831749637,0.22899126753002463,27.06056367761922,17.63703491538763,4.473326949800769,0.16472779600461263,1.2402612493811287,1.404989039273659,33.85935465200406,86.03489553531662,94.90412097853519,0.13715466961872375,0.07033524103458254,0.06681943069743887,3.355723751425049,-0.3986551953183754,93.02200014281223,76.71776935337188,127.4221796847688,94.88610275117891,101.84384921803968,95.78020458126298,89.64065944778119,94.15580957602536,103.81293244982518,96.05172730052895,79.19745550124615,0.0,0.0,0.0,0.0,1.4201754666473734,158.0,224.38774978302092,2.0,,1006408.6973665172
BOS,117985.86793500902,1971.0000000000007,29.18254409109846,1971.0000000000007,1971.0000000000007,85.0,77.0,3.8293515143914196,409.0,162.0,6.159213998055827,1.4712539925010415,35.0,1440.1999999999998,6188.0,1424.0,667.0,614.0,136.0,535.0,52.0,42.0,3.357103180113873,0.0,871.0,5.433100955007645,3.336290240721106,1.7324178042063605,8.882304223802647,0.848145472733995,0.2532753785939876,1.3576216071693061,0.2793225679205215,0.73979150842383,3.6682593563744765,0.2490181357498959,19.122008514609576,16.364962875843048,1.8869517058715557,0.15203252046526414,-0.44204679384068174,-0.2900142634614429,31.774336897653104,103.983646524033,97.09651506075956,0.14082499193723097,0.08623246185182613,0.05459253066240799,3.50244654885719,0.1610921580169431,100.23425330832785,98.96369146605481,107.74793510043645,106.94496887884708,109.80507356285617,104.80206997289051,104.64066693018479,104.46852980311475,99.91319663027264,98.62211454670691,97.09771971492731,0.0,0.0,0.0,0.0,0.9655292639911126,162.00000000000003,156.4158840261554,3.0000000000000004,,1007816.2704485488
CAL,118913.43194585449,1971.0000000000007,26.68060913705584,1971.0000000000007,1971.0000000000007,76.0,86.0,3.09451560910359,405.0,162.0,6.653942470389171,1.4330964467005076,32.0,1477.4999999999998,6168.0,1246.0,576.0,510.0,101.0,607.0,71.0,36.0,7.0138071065989855,0.3359052453468698,904.0,5.491473590801092,3.6850212383902115,1.5296714849380713,7.564663731898985,0.6142929199837035,0.22479765818570452,1.2499649966987998,0.2525027236775178,0.7512557012588833,3.4194158687796206,0.260596437327242,18.49945508340894,13.042869430035353,2.547842824543794,-0.5892803338215437,1.0588528120658927,0.46957244926096026,38.26159052453469,94.1360491470527,101.2046168549413,0.14667391376514385,0.09751684351945855,0.04915707229915398,3.5676720750959903,-0.32490025967603053,101.3111590405879,109.30802735048772,95.13810323265207,91.08027680688174,79.52937489664285,93.01835825379115,96.34287654471397,94.43772664075674,101.46150346068181,102.71821353779774,109.80393150352741,0.0,0.0,0.0,0.0,1.2188780751269037,162.00000000000006,197.45809108922128,1.0,,1008725.9783417938
CHC,117464.66831683168,1971.0000000000007,28.86598800725143,1971.0000000000007,1971.0000000000007,83.0,79.0,3.6003162431991687,362.0,162.0,13.386278064426161,2.392971691535351,13.0,1434.1999999999998,6064.0,1448.0,644.0,575.0,132.0,410.0,53.0,26.0,4.5119230232882455,0.9755961511644123,898.0,5.624571071885192,2.5652704773836543,3.0289749831222985,9.068495669041491,0.8269553901744603,0.25616388786611743,1.2926406829361274,0.2846318209130639,0.7333638224571192,3.3051848024814303,0.2376782791849115,32.84098527562318,22.832920107990503,3.5494740047661124,0.014455077092143456,-0.47895535291396596,-0.46450026995998406,33.115325617068756,94.35282545726955,89.01787381896143,0.14912194165876447,0.06665738917793894,0.08246455361874216,3.1679822854579647,0.29513144071773934,103.59949442549876,82.20977595678087,174.08992241895498,106.14024515778983,116.44184053958675,103.94015811359239,99.73843537646535,103.65456520576541,100.2642182622051,104.34999094158472,81.1561180376856,0.0,0.0,0.0,0.0,1.2731740447636315,162.00000000000006,206.25452954671718,17.000000000000007,,1007307.5262167064
CHW,117519.70773480662,1971.0000000000002,26.279212707182328,1971.0000000000002,1971.0000000000002,79.0,83.0,3.126987562980139,421.0,162.0,8.811256906077348,3.271063535911602,32.0,1448.0,6089.0,1348.0,597.0,504.0,100.0,468.0,38.0,29.0,6.0904696132596685,0.42506906077348067,976.0,6.056086026882309,2.902785002419591,2.4304921258812153,8.364533492068944,0.6202272583262797,0.2400408173681932,1.2519242771653927,0.27495963556956776,0.7351279820000001,3.0289231831141192,0.25241648717403314,40.4414849178773,26.932600876316428,4.121372042244007,-0.3869890695813405,-0.2725882764905691,-0.6595773151669219,42.373480662983425,86.484737834583,81.21318528869749,0.16024387820303865,0.07577273947237569,0.08447113915883978,3.1439032638335114,0.09806437986601929,111.72758722917787,86.10471471140737,151.16475205671165,100.71089116697907,80.2976634499649,99.32578001787815,96.4938909464036,102.83676359199976,99.28336000260528,112.22148788232066,85.32007800855504,0.0,0.0,0.0,0.0,1.32880010359116,162.0,215.26548677663115,4.0,,1007377.7514502764
CIN,117140.16870398667,1971.0000000000005,24.764272815668846,1971.0000000000005,1971.0000000000005,79.0,83.0,3.3508529927161432,417.0,162.0,3.6592582303097663,0.8556743992221142,38.0,1439.7999999999997,5988.0,1298.0,581.0,538.0,112.0,501.0,68.0,27.0,2.9998610918183086,0.19204056118905402,750.0,4.6713926261531915,3.120932226113355,1.687428250406306,8.08813652184854,0.6962673641089813,0.23742430391061545,1.2454520831068774,0.2577053471423499,0.745374326371024,3.5149399370663392,0.22693947237185721,12.134969483354656,8.653785321861506,2.130013171298286,-0.03631524351927544,0.7370603335016112,0.700745073553464,35.08174746492569,100.22193838181799,107.86818894820085,0.12547004285664679,0.08287023040561188,0.0425998160932074,3.646359131321105,-0.1640869443501966,86.04281253579512,100.01718779641355,96.78130451981464,94.66584366681583,98.03993582700069,96.33645044213547,96.09742579297841,93.84873280700388,101.90627333031236,87.79927152219865,100.895430540545,0.0,0.0,0.0,0.0,0.9502328767884429,162.00000000000006,153.93786799399322,18.0,,1006992.1889845814
CLE,115690.3425964619,1971.0,25.15002089427497,1971.0,1971.0,60.0,102.0,4.27538981075508,487.0,162.0,2.6069090402563027,0.5366346287783814,32.0,1435.8,6326.0,1352.0,747.0,684.0,154.0,770.0,69.0,48.0,6.005153921158935,0.7303942053210755,937.0,5.856730418244968,4.812777249906428,1.2623900000536288,8.45107861710708,0.9630103623793907,0.24425159242838893,1.4737617630015012,0.26946661407279976,0.7301781061819195,4.245030841695048,0.2940947323171751,5.052611683650109,4.144641995429993,0.6445999723791802,0.011890512091076649,0.07449704226104331,0.08638754376275268,36.55209639225519,118.70465337254399,115.29250118524341,0.1485555848217022,0.12137553168686448,0.027180053176626272,3.8313962796396916,0.030358969060032263,108.04971325995342,142.7604220523817,78.5144988358237,101.75291421309551,124.67604565758995,101.06814417877099,113.59233895682256,100.78233639617237,98.61485015511198,104.03598007041202,136.66880649459605,0.0,0.0,0.0,0.0,0.8472556637414681,162.0,137.25538538438494,5.0,,1005573.2350605935
DET,116546.09067284732,1971.0,26.75488130355387,1971.0,1971.0,90.0,69.0,3.635149705092725,394.0,162.0,11.418598117713163,1.7602191319005478,30.0,1423.8,6080.0,1315.0,622.0,576.0,122.0,587.0,30.0,46.0,4.880460738867819,0.3647984267453294,978.0,6.174817542333023,3.7040663418001554,1.9692809727855034,8.29992478574522,0.7702460494248046,0.24082797136196876,1.333776791949486,0.27394438422671263,0.7504614665261975,3.523043844945806,0.27728032399564545,31.821149656487613,16.586793195456266,3.4963258834057838,0.013402569478199514,-0.28140336927258724,-0.26800078650367937,38.97225733951397,102.72315458776845,96.94030521417923,0.1621314911701082,0.09510394836002249,0.06702754323289788,3.353226399439546,0.1121058601469194,113.91804253157744,109.87295833724548,122.47966841479219,99.93298760580888,99.71983207781146,99.65149414134748,102.80279299369711,102.4570527223829,101.35423738648987,113.54341486975956,107.08701045391051,0.0,0.0,0.0,0.0,1.2945546846467204,162.0,209.71793928118234,6.0,,1006408.5058997051
HOU,115981.8968383756,1971.0000000000002,26.173616789315894,1971.0000000000002,1971.0000000000002,79.0,83.0,3.1309988519588954,407.0,162.0,6.327200872172255,1.4871218315617336,25.0,1467.6,6121.0,1318.0,567.0,512.0,75.0,475.0,52.0,60.0,5.755451076587626,0.24223221586263288,914.0,5.59129944942184,2.9032130246350447,2.019139660318888,8.062928365440335,0.45866561338930467,0.23504868280981256,1.21846015445282,0.26949310775315016,0.7394739211651676,2.961344173086006,0.23875294957822296,22.990273236968466,20.587523628026247,2.913027523580454,-0.29202419671015023,0.4754094149106106,0.18338521125095114,32.90133551376397,92.25396029823715,89.95293216497123,0.1494155545094031,0.07714441901676206,0.07227113603979288,3.2903032914551567,0.16965467887288976,102.98666133620796,93.039893615226,116.0497754840765,94.37080025511999,64.58373553137113,95.37252678024724,94.01476448787861,98.14148966371297,101.09958039247535,104.5554495394433,93.92419327141909,0.0,0.0,0.0,0.0,1.005136963750341,162.0,162.8322977727946,21.0,,1005855.8948623603
