Team,xMLBAMID,Season,Age,SeasonMin,SeasonMax,W,L,ERA,G,GS,QS,CG,ShO,SV,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,K/9,BB/9,K/BB,H/9,HR/9,AVG,WHIP,BABIP,LOB%,FIP,TTO%,Starting,Start-IP,Relieving,Relief-IP,RAR,WAR,RA9-Wins,LOB-Wins,BIP-Wins,BS-Wins,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,Games,WPA/LI,Clutch,SD,MD,ERA-,FIP-,K%,BB%,K-BB%,kwERA,E-F,K/9+,BB/9+,K/BB+,H/9+,HR/9+,AVG+,WHIP+,BABIP+,LOB%+,K%+,BB%+,rFTeamV,rBTeamV,rTV,Events,Q,TG,TIP,teamid,playerid
ATL,116599.89775910364,1982.0000000000002,29.88014153029633,1982.0000000000002,1982.0000000000002,81.0,68.0,3.7376269194673624,407.0,159.0,8.727701606958574,2.2007223942208465,0.7684652808491819,50.0,1356.6,5731.0,1359.0,640.0,565.0,117.0,441.0,51.0,22.0,4.042827657378742,0.683841957835766,754.0,4.987209703212033,2.917661926100995,1.7213123750147425,8.990926999014624,0.7741314904345767,0.2573219975918905,1.3231765472350685,0.2817205582765198,0.7146672668752764,3.7475423871029307,0.22926557101208908,13.121728345169007,134.53673375818374,4.478145012762833,45.91903517105376,14.831350834590138,14.241842728108168,1.6445436338198562,0.014094594768278007,-0.023864252814347807,-0.009769668577442953,2.016023924574256,-12.082314442124282,12.383023976604685,14.882803320884705,1.6184224411845207,1.1188393603130782,1.0350974140331206,1.0852987698187424,1.4512176263264793,262.0,39.17470145953118,0.5762901394737144,-5.843590910812045,8.279301194161876,5.414713253722541,99.18545433244789,99.50973010818446,0.13205640169467786,0.07689677561108653,0.055159625899307084,3.790891345826864,-0.009915467635567216,94.3821805971888,95.36014776360514,99.66899957750495,102.57914031059192,116.16497172138834,102.16519754818073,100.7112037222399,100.35648059871703,99.89385105944739,95.00624546783553,95.54333734489619,0.0,0.0,0.0,0.0,0.9412003553000148,162.00000000000003,152.47456870352505,16.0,1006463.7534276869
BAL,118066.5723972603,1982.0,29.180616438356168,1982.0,1982.0,94.0,68.0,3.9880735355614165,394.0,163.0,12.139726027397261,5.99582191780822,1.0678767123287671,34.0,1460.0,6185.0,1436.0,687.0,648.0,147.0,488.0,41.0,22.0,4.462260273972603,1.0261643835616439,719.0,4.4229067902839505,3.002830314021617,1.5218976633465753,8.837140994615693,0.904980527245477,0.25270877133688213,1.3155523676263678,0.26823632110827506,0.724760289260274,4.086993306762027,0.21894295019520552,20.346084262156584,197.1665270775544,2.8700661760489883,28.647159064078853,18.8738752803084,14.989019750617445,2.413232096452011,-0.28201743970733545,0.7733061933139823,0.4912887595185678,4.090100217843428,-13.666403013849502,14.277882949399949,43.1966018229723,4.598597716540098,1.0302574623862928,0.9982933564506126,1.054668044245868,1.4833184297173572,230.0,37.861301369863014,0.921087975069013,-2.6810618901595564,4.708219178082191,3.402260273972603,99.6419273318466,99.49389360315934,0.11659474672260274,0.0785631098671233,0.03803163840410959,3.9964272033314088,-0.09891977120061154,91.50396282762611,92.45866540113784,101.9826006905134,97.08597870752281,98.30382814062395,97.43160952651257,95.86911626058985,96.18984428889902,101.48965130224346,92.88505086667966,93.1472821375579,0.0,0.0,0.0,0.0,1.1287307883561644,163.0,183.9831421503792,2.0,1007896.3680821918
BOS,117948.0558963402,1982.0000000000005,28.419188090150943,1982.0000000000005,1982.0000000000005,89.0,73.0,4.0444809375773705,376.0,162.0,8.340754014749466,2.961265421462541,0.8984078847611828,33.0,1450.8999999999999,6246.0,1557.0,713.0,653.0,155.0,478.0,36.0,35.0,2.048935143703908,0.5289820111654835,816.0,5.054677957722129,2.96106209993656,1.8437792569742921,9.643825208878946,0.9598796985400262,0.27081757579067794,1.4005430343128338,0.2939781594718278,0.7353918450168859,4.039109439280293,0.23113031685436625,17.408999765991084,155.1900189721683,6.252978389036767,63.154160171693704,16.028118550227976,14.718184756115079,2.15989818764806,1.0048721324137893,-0.4948796278859546,0.5099925236595841,9.13242189376615,-11.225822982568628,12.2375648340516,51.11809739470482,5.084446866065264,1.0584020733763242,1.0098073176922353,1.0499635096683226,1.483796100570804,214.0,34.052105589634024,0.16002489289657715,4.92540399448596,6.228478875180922,3.348197670411469,93.91772285919912,97.75650455012767,0.13052967196498724,0.07590474161141361,0.05462493393273141,3.797307655559225,0.005371498297077253,104.57445428537572,91.17260094639303,123.63232393975657,105.94831625508195,104.26726993580657,104.41344064855994,102.0626972278995,105.42089627197723,102.97840978149759,103.98629023409681,89.99542126658362,0.0,0.0,0.0,0.0,0.9158737052863741,162.00000000000003,148.3716574384997,3.0,1007782.242745882
CAL,119837.33367670371,1982.0000000000014,31.56323296354993,1982.0000000000014,1982.0000000000014,80.0,53.0,3.7152747908370802,327.0,148.0,10.510459587955628,5.966244057052299,1.7033280507131543,15.0,1261.9999999999995,5303.0,1230.0,563.0,522.0,108.0,409.0,23.0,41.0,3.0717908082408885,0.2713946117274169,613.0,4.36150868326548,2.9109341227010446,1.5360549229112526,8.754520637584434,0.7690038632892693,0.25304136826553575,1.29616164003172,0.271564336341742,0.7307385753248814,3.925727319804943,0.21272127469651356,22.61973887185591,164.77843587722404,3.576548342635843,29.234969267899167,21.544643066010536,16.956919209565967,2.5402310271040442,-0.2162883434781183,0.5191449910681253,0.302856645375939,5.175206301733851,-11.601994662212357,12.10648205196943,65.76279699802399,6.6794769912958145,1.0295681509884833,0.9944463975578484,1.0268372152894802,1.3969147579442414,202.0,33.369334389857386,0.9277216876926354,-3.307271922723971,3.1597464342313795,2.509904912836768,91.63273677478034,93.52790040780239,0.11539018877020607,0.07697493287955627,0.03841525582725833,3.9918237828647745,-0.21045252896786276,90.23371898829255,89.62913515253435,102.19217008286067,96.1783007346997,83.53331518232625,97.55984193376486,94.45604296613573,97.38327426801449,102.32680289958208,91.92544240538146,91.26428406536432,0.0,0.0,0.0,0.0,0.9859916045958802,162.00000000000009,159.73060606217427,1.0,1009627.5347860543
CHC,117657.05033580282,1982.0000000000002,30.268365298068268,1982.0000000000002,1982.0000000000002,73.0,89.0,3.9283785071237265,516.0,162.0,9.473793533199474,1.2044589074292047,0.5193519351935194,43.0,1444.3,6182.0,1510.0,709.0,632.0,125.0,452.0,67.0,29.0,2.544346742366544,1.6221699092986224,764.0,4.751137616497072,2.8081063933526247,1.7689917132140138,9.388465060628143,0.776741671930657,0.2643128719912149,1.3551746059978629,0.28783426076985735,0.7081315694793326,3.778893024521897,0.21650871434951185,11.240162776373193,132.1709785747884,4.104209004589864,40.1137148147824,12.3376304026535,13.023617001250386,1.1713547643489701,0.011430917997376175,-0.20916117970417522,-0.19773026327456517,-1.8066174973500893,-10.573601913602479,10.382136811448724,-28.01020196080208,-3.047543527558446,1.0295530415406144,0.9952207696307974,0.9963037032493414,1.2364225109613458,354.0,40.61863878695562,-0.44844111669964676,0.632221105921009,6.797410510281797,4.607629993768607,103.55021879662839,101.62821201780669,0.12377762430658451,0.07262233501557849,0.051155290274873644,3.838943369739629,0.14948548260183073,89.91455247480678,91.77946156492476,102.31738689601532,107.11472519583491,116.55665151148399,104.94080192994934,103.14667843006322,102.53434674172223,98.98031274659358,89.05018874633872,90.23239526631544,0.0,0.0,0.0,0.0,0.8560875344457523,162.0,138.68636895299477,17.000000000000004,1007494.3742989682
CHW,115590.68349996352,1982.0000000000002,27.431073487557466,1982.0000000000002,1982.0000000000002,82.0,74.0,3.853536320851789,380.0,161.0,10.455228782018535,4.458877618039844,1.0181712033861199,37.0,1370.3,5875.0,1445.0,678.0,588.0,93.0,436.0,30.0,25.0,3.0,1.1546376705830839,714.0,4.679339481710903,2.857334927882464,1.7619043801043566,9.470021867320984,0.6094699706390548,0.266431102094045,1.3697063105781608,0.2928530779069273,0.6937623402933663,3.5641624773735643,0.21131666151207762,27.52160193796104,156.4955228479033,3.9241681218363134,35.05944857405219,27.22180515411913,21.926759650930762,2.118873986602401,-0.10244462547463165,-0.6421510184544337,-0.7445956309653108,-0.022271350026130676,-12.564920911752596,12.555927520176478,9.940699001774192,1.1437638637144119,1.0111792231728804,0.9632088825845729,1.035617848383748,1.2943633127520477,237.0,38.96205210537838,0.26120295167857743,-3.232723628055273,6.001313580967672,3.6786834999635114,93.4550411409107,86.87537218145424,0.12157277532803035,0.07394472389987594,0.047628050047434874,3.8812702529990895,0.2893738434782243,96.80920858041158,87.97878881216306,118.46008971207954,104.0388901716831,66.2038899698018,102.72224018033832,99.81551229967882,105.01744076642545,97.14894599182584,96.8507883697773,87.67155452129023,0.0,0.0,0.0,0.0,1.0272410019703713,162.0,166.413118558096,4.0,1005473.6462088593
CIN,118583.38669468804,1982.0000000000005,26.64243785781579,1982.0000000000005,1982.0000000000005,58.0,96.0,3.712266539854198,405.0,162.0,12.779476773679251,3.6521487064280027,0.8063627799115879,29.0,1379.8999999999999,5885.0,1353.0,634.0,571.0,102.0,522.0,71.0,25.0,5.11515327197623,1.016885281542141,955.0,6.209526019768093,3.393487226212054,2.0138695569439813,8.796164231667213,0.6632110848058038,0.25237904353630286,1.354405717542141,0.29091391599874455,0.7243563978295529,3.480017141744082,0.2694772245278644,23.406715029812226,155.06490131748592,1.387439146884205,28.921467163506517,21.71797483575907,17.270813200622797,2.323571619225735,0.11131111402055115,-0.33736064646581226,-0.22604952986949517,-5.145852338522673,-11.858240312130551,11.709934339261222,-30.16909956932068,-3.30438844114542,1.0303207757997146,0.9633790830012596,0.9911160768370485,1.2710029769458209,269.0,34.45525038046235,-0.059168916718559304,-2.7027169875614323,2.9255743169794917,2.6149720994274954,99.94343325073851,95.08704198128247,0.16388510874048845,0.08835072394231466,0.07553438443727807,3.54639423866516,0.23224939811011652,117.51432987532793,110.91190532754226,112.98624865201481,100.357056064863,99.5204275549212,100.20268411253731,103.088155867775,103.63140320831208,101.24816614282162,117.90499181060113,109.77473348249265,0.0,0.0,0.0,0.0,0.9835570744256833,162.00000000000003,159.33601565796081,17.999999999999996,1008402.0231900864
CLE,118356.31315367586,1982.0000000000005,27.12687991449729,1982.0000000000005,1982.0000000000005,71.0,72.0,4.032005942519723,356.0,140.0,10.010077105122528,4.038476219558746,0.5775250019085427,30.0,1309.8999999999999,5635.0,1292.0,662.0,589.0,110.0,513.0,30.0,16.0,5.505687457057791,0.7502099396900527,778.0,5.326406946934448,3.511925640678565,1.721229460684022,8.847841347153178,0.7521496090549292,0.25153077914565597,1.3733074430924164,0.2780186768852824,0.698491500041988,3.826429627347156,0.24949746991831437,23.27553155245045,146.50431082257742,5.399271879345179,39.90845824650159,23.919688400118595,18.386766022071242,2.0554934115110615,-0.479043429922897,0.014262686405566667,-0.46478074004344516,0.33332228288054466,-12.041032010425603,12.151054735767785,-17.025397658348083,-1.8097494458779693,1.0402591302118693,1.0250549659086494,1.1015347981410442,1.6092437954841277,199.0,34.222307046339424,0.2610650530584223,-1.4701294807206904,5.341781815405756,4.019772501717688,96.51896156128713,91.79745685384445,0.13904845046721123,0.09103080600427514,0.048017644492709365,3.876595103823772,0.2055763151725664,110.19615976257298,108.13396821291005,115.65224658929979,97.20353417022848,81.70251588686082,96.9774358364042,100.07794000698614,99.69780799448952,97.81117973528075,110.77276385904074,107.92943525462178,0.0,0.0,0.0,0.0,0.9611985403465916,162.00000000000003,155.7142772943211,5.000000000000001,1008179.5073669745
DET,121567.61884758105,1982.0000000000002,26.804592872645802,1982.0000000000002,1982.0000000000002,83.0,77.0,3.7946014899474347,378.0,161.0,12.11895260099419,6.884127984317021,0.8664146187775678,27.0,1428.3,6028.0,1349.0,672.0,604.0,168.0,546.0,50.0,23.0,5.5604564867324795,0.3945249597423511,720.0,4.5262811182882094,3.429134730824916,1.3564857605552054,8.482135864361112,1.0563049308343475,0.2463286393824642,1.3234745105762253,0.25777408069971314,0.7434005902800532,4.427769846320599,0.237630221963173,16.814993684945424,164.28430910717046,1.855637622535776,45.26774258709828,16.178607929474744,11.19321276480332,2.4930349152521116,-0.1367829316911545,0.9681949971336267,0.8314120469150996,2.39883454144001,-12.121986836261764,12.628739078466907,35.449000269174576,3.9788042828440666,0.991299551918508,0.9957391394683245,1.038461151686176,1.4035492369113665,222.0,32.073794020863964,0.30713509456385285,0.7735470103701712,2.9494503955751594,2.462017783378842,93.52023225269092,105.2018483650713,0.11958199173562979,0.09022872814464748,0.02935326518728559,4.100567668971066,-0.6331683563731637,93.64263793780749,105.58479418976567,91.1445157497816,93.18584623957223,114.74149471579406,94.97175614658457,96.4464318142559,92.43807319520593,104.09989042522513,95.2648348968784,106.97846174165386,0.0,0.0,0.0,0.0,1.0410088370790451,162.0,168.6435862132617,6.0,1011321.7275782399
HOU,119520.42072480186,1982.000000000001,31.70522569163567,1982.000000000001,1982.000000000001,64.0,76.0,3.470275785598022,369.0,135.0,14.273014075392336,6.461737582915388,1.940058243002751,30.0,1236.1999999999996,5207.0,1162.0,539.0,479.0,76.0,429.0,37.0,32.0,9.785228927358036,0.9043035107587772,756.0,5.491883113813915,3.1144728997888227,1.8906743410038838,8.430318789481948,0.5524739552519443,0.24300555525869244,1.282754632141197,0.2753574484232981,0.7211351049231518,3.40976507888566,0.2415863809577739,21.548666875605043,182.01527599785484,-1.3240626882458495,35.48075572638664,17.658431503246128,10.844613760709763,2.3148725316953955,-0.2751580457531713,0.6112998942432475,0.33614183835717815,-3.5528599359095097,-12.620079200875152,13.074091954904745,-19.072498679161072,-2.3329382091760635,1.0568515653815747,1.0078017734614642,1.0276398385229684,1.313629107867232,215.0,34.925254813137045,0.42086948930016016,-3.646632982112031,2.8731596828992085,3.3082025562206767,102.69270186619096,100.99514657582262,0.1454505066995632,0.08155998981718172,0.06389051644555899,3.6861206543607703,0.060510706712361764,103.93304767850451,101.79266942229187,108.8798617812523,96.18305810558411,82.90338551221808,96.48110457188554,97.6345623365014,98.08976881013125,100.79790434269725,104.64245874491617,101.33732582506028,0.0,0.0,0.0,0.0,1.082872353988028,162.00000000000009,175.4251461006681,21.0,1009318.673839185
